Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Ada, fannkuch-redux, 25,243.464538574218750000, 162.407714843750000000, 0.000000000000000000, 23.634460449218750000, 9782, 31.2, 5168
Ada, fannkuch-redux, 25,242.448059082031250000, 161.745910644531250000, 0.000000000000000000, 23.537658691406250000, 9742, 31.8, 4920
Ada, fannkuch-redux, 25,243.903625488281250000, 162.487915039062500000, 0.000854492187500000, 23.665710449218750000, 9795, 31.8, 5036
Ada, fannkuch-redux, 25,243.082763671875000000, 162.106079101562500000, 0.000000000000000000, 23.588562011718750000, 9762, 31.2, 5040
Ada, fannkuch-redux, 25,242.697753906250000000, 161.841552734375000000, 0.000000000000000000, 23.554443359375000000, 9749, 31.5, 5196
Ada, fannkuch-redux, 25,242.977294921875000000, 161.966430664062500000, 0.000000000000000000, 23.584533691406250000, 9761, 32.2, 5220
Ada, fannkuch-redux, 25,243.922912597656250000, 162.207824707031250000, 0.000000000000000000, 23.673522949218750000, 9798, 32.2, 5060
Ada, fannkuch-redux, 25,241.777282714843750000, 161.270812988281250000, 0.000854492187500000, 23.472595214843750000, 9715, 31.8, 4920
Ada, fannkuch-redux, 25,242.262451171875000000, 161.369628906250000000, 0.000000000000000000, 23.506103515625000000, 9728, 31.5, 5068
Ada, fannkuch-redux, 25,243.277526855468750000, 162.156616210937500000, 0.000000000000000000, 23.619873046875000000, 9776, 32.2, 5040
Ada, fannkuch-redux, 25,242.674682617187500000, 161.677734375000000000, 0.000793457031250000, 23.547119140625000000, 9745, 31.8, 5040
Ada, fannkuch-redux, 25,243.147888183593750000, 162.012390136718750000, 0.000000000000000000, 23.636840820312500000, 9783, 31.8, 5200
Ada, fannkuch-redux, 25,242.849243164062500000, 161.998229980468750000, 0.000000000000000000, 23.571411132812500000, 9755, 32.5, 4868
Ada, fannkuch-redux, 25,242.872009277343750000, 162.065612792968750000, 0.000793457031250000, 23.568969726562500000, 9755, 32.5, 5224
Ada, fannkuch-redux, 25,244.096313476562500000, 162.691406250000000000, 0.000000000000000000, 23.690063476562500000, 9804, 32.0, 5036
Ada, fannkuch-redux, 25,243.792968750000000000, 162.523681640625000000, 0.000000000000000000, 23.653747558593750000, 9790, 32.0, 5040
Ada, fannkuch-redux, 25,241.887329101562500000, 161.391235351562500000, 0.000000000000000000, 23.470397949218750000, 9713, 31.8, 5040
Ada, fannkuch-redux, 25,243.793884277343750000, 162.313842773437500000, 0.000000000000000000, 23.670837402343750000, 9796, 31.8, 5092
Ada, fannkuch-redux, 25,242.734436035156250000, 162.016113281250000000, 0.000793457031250000, 23.551940917968750000, 9748, 32.2, 5220
Ada, fannkuch-redux, 25,242.542419433593750000, 161.562988281250000000, 0.000000000000000000, 23.537292480468750000, 9742, 31.8, 4864
