Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Ada, regex-redux, 25,114.175537109375000000, 71.652282714843750000, 0.000000000000000000, 12.059509277343750000, 4842, 30.8, 154968
Ada, regex-redux, 25,113.907653808593750000, 71.458862304687500000, 0.000000000000000000, 12.016357421875000000, 4829, 30.0, 154760
Ada, regex-redux, 25,114.347106933593750000, 71.619079589843750000, 0.000000000000000000, 12.056152343750000000, 4847, 30.0, 154668
Ada, regex-redux, 25,114.458312988281250000, 71.772583007812500000, 0.000000000000000000, 12.055847167968750000, 4845, 31.2, 155000
Ada, regex-redux, 25,113.949157714843750000, 71.471496582031250000, 0.000000000000000000, 12.030578613281250000, 4830, 31.0, 154776
Ada, regex-redux, 25,114.018981933593750000, 71.561706542968750000, 0.000000000000000000, 12.027221679687500000, 4832, 30.5, 154956
Ada, regex-redux, 25,114.095031738281250000, 71.652221679687500000, 0.000000000000000000, 12.010742187500000000, 4827, 30.8, 154524
Ada, regex-redux, 25,114.227172851562500000, 71.575622558593750000, 0.000000000000000000, 12.036010742187500000, 4836, 30.5, 154668
Ada, regex-redux, 25,114.262145996093750000, 71.637451171875000000, 0.000000000000000000, 12.032226562500000000, 4837, 31.0, 154644
Ada, regex-redux, 25,114.311157226562500000, 71.623413085937500000, 0.000000000000000000, 12.072448730468750000, 4849, 30.5, 154668
Ada, regex-redux, 25,114.493286132812500000, 71.782531738281250000, 0.000671386718750000, 12.073547363281250000, 4850, 30.5, 154728
Ada, regex-redux, 25,114.491271972656250000, 71.680236816406250000, 0.000000000000000000, 12.122802734375000000, 4870, 30.8, 154976
Ada, regex-redux, 25,114.366333007812500000, 71.694641113281250000, 0.000000000000000000, 12.052917480468750000, 4845, 31.2, 154656
Ada, regex-redux, 25,114.219482421875000000, 71.691040039062500000, 0.000000000000000000, 12.027343750000000000, 4830, 31.2, 154704
Ada, regex-redux, 25,114.736999511718750000, 71.830444335937500000, 0.000000000000000000, 12.108520507812500000, 4866, 31.0, 154944
Ada, regex-redux, 25,114.315917968750000000, 71.726684570312500000, 0.000915527343750000, 12.035217285156250000, 4838, 30.5, 154728
Ada, regex-redux, 25,114.333618164062500000, 71.648193359375000000, 0.000000000000000000, 12.051940917968750000, 4843, 31.0, 154700
Ada, regex-redux, 25,114.155700683593750000, 71.615417480468750000, 0.000000000000000000, 12.038208007812500000, 4834, 31.5, 154640
Ada, regex-redux, 25,114.817932128906250000, 71.731628417968750000, 0.000000000000000000, 12.155944824218750000, 4882, 31.0, 154524
Ada, regex-redux, 25,113.857360839843750000, 71.460266113281250000, 0.000000000000000000, 11.991027832031250000, 4817, 31.0, 154648
