Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C++, mandelbrot, 25,27.370117187500000000, 22.761230468750000000, 0.000000000000000000, 2.688293457031250000, 1107, 31.0, 33804
C++, mandelbrot, 25,27.337402343750000000, 22.739074707031250000, 0.000000000000000000, 2.683410644531250000, 1106, 31.2, 33836
C++, mandelbrot, 25,27.320861816406250000, 22.725769042968750000, 0.000000000000000000, 2.681274414062500000, 1105, 31.2, 33828
C++, mandelbrot, 25,27.266052246093750000, 22.693115234375000000, 0.000000000000000000, 2.675598144531250000, 1103, 31.5, 33772
C++, mandelbrot, 25,27.324462890625000000, 22.732727050781250000, 0.000305175781250000, 2.680664062500000000, 1105, 31.8, 33864
C++, mandelbrot, 25,27.321105957031250000, 22.731445312500000000, 0.000000000000000000, 2.680358886718750000, 1105, 31.5, 33844
C++, mandelbrot, 25,27.341613769531250000, 22.740478515625000000, 0.000000000000000000, 2.682800292968750000, 1106, 32.0, 33884
C++, mandelbrot, 25,27.418029785156250000, 22.781555175781250000, 0.000000000000000000, 2.690551757812500000, 1109, 31.0, 33736
C++, mandelbrot, 25,27.391723632812500000, 22.771850585937500000, 0.000000000000000000, 2.687866210937500000, 1108, 31.5, 33832
C++, mandelbrot, 25,27.365905761718750000, 22.760192871093750000, 0.000000000000000000, 2.682983398437500000, 1106, 31.2, 33864
C++, mandelbrot, 25,27.343627929687500000, 22.738037109375000000, 0.000000000000000000, 2.683044433593750000, 1106, 32.0, 33864
C++, mandelbrot, 25,27.432128906250000000, 22.696594238281250000, 0.000000000000000000, 2.741394042968750000, 1130, 31.0, 33780
C++, mandelbrot, 25,27.291625976562500000, 22.704650878906250000, 0.000000000000000000, 2.678527832031250000, 1103, 31.2, 33800
C++, mandelbrot, 25,27.348205566406250000, 22.739562988281250000, 0.000000000000000000, 2.685302734375000000, 1106, 31.2, 33820
C++, mandelbrot, 25,27.308837890625000000, 22.721984863281250000, 0.000000000000000000, 2.677795410156250000, 1104, 30.8, 33732
C++, mandelbrot, 25,27.312866210937500000, 22.720886230468750000, 0.000000000000000000, 2.677917480468750000, 1104, 31.0, 33944
C++, mandelbrot, 25,27.217041015625000000, 22.664306640625000000, 0.000000000000000000, 2.671203613281250000, 1101, 31.2, 33900
C++, mandelbrot, 25,27.265991210937500000, 22.691223144531250000, 0.000000000000000000, 2.673095703125000000, 1103, 30.8, 33820
C++, mandelbrot, 25,27.302124023437500000, 22.722290039062500000, 0.000000000000000000, 2.678405761718750000, 1104, 31.2, 33844
C++, mandelbrot, 25,27.312805175781250000, 22.722106933593750000, 0.000000000000000000, 2.680603027343750000, 1104, 30.8, 33828
