Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C++, n-body, 25,38.502380371093750000, 26.595092773437500000, 0.000000000000000000, 5.167968750000000000, 2138, 30.5, 1660
C++, n-body, 25,38.494262695312500000, 26.596740722656250000, 0.000000000000000000, 5.165283203125000000, 2137, 30.8, 1644
C++, n-body, 25,38.494262695312500000, 26.592834472656250000, 0.000000000000000000, 5.165222167968750000, 2137, 30.2, 1744
C++, n-body, 25,38.482727050781250000, 26.584655761718750000, 0.000000000000000000, 5.165222167968750000, 2137, 31.0, 1744
C++, n-body, 25,38.481750488281250000, 26.592956542968750000, 0.000000000000000000, 5.167663574218750000, 2138, 29.2, 1692
C++, n-body, 25,38.715698242187500000, 26.757385253906250000, 0.000000000000000000, 5.184631347656250000, 2145, 29.5, 1740
C++, n-body, 25,38.484130859375000000, 26.584899902343750000, 0.000000000000000000, 5.165161132812500000, 2137, 30.5, 1684
C++, n-body, 25,38.484191894531250000, 26.587890625000000000, 0.000000000000000000, 5.165161132812500000, 2137, 30.0, 1696
C++, n-body, 25,38.506774902343750000, 26.605224609375000000, 0.000000000000000000, 5.166259765625000000, 2137, 30.5, 1744
C++, n-body, 25,38.475402832031250000, 26.579650878906250000, 0.000000000000000000, 5.167846679687500000, 2138, 30.0, 1724
C++, n-body, 25,38.478454589843750000, 26.580017089843750000, 0.000000000000000000, 5.165222167968750000, 2137, 30.8, 1704
C++, n-body, 25,38.651916503906250000, 26.608276367187500000, 0.000000000000000000, 5.223388671875000000, 2161, 31.0, 1600
C++, n-body, 25,38.498657226562500000, 26.600524902343750000, 0.000000000000000000, 5.165161132812500000, 2137, 29.8, 1712
C++, n-body, 25,38.500549316406250000, 26.602172851562500000, 0.000000000000000000, 5.167663574218750000, 2138, 29.5, 1696
C++, n-body, 25,38.505737304687500000, 26.602172851562500000, 0.000488281250000000, 5.167602539062500000, 2137, 29.8, 1648
C++, n-body, 25,38.490722656250000000, 26.593872070312500000, 0.000000000000000000, 5.165222167968750000, 2137, 29.2, 1692
C++, n-body, 25,38.508422851562500000, 26.603698730468750000, 0.000000000000000000, 5.167602539062500000, 2137, 29.2, 1716
C++, n-body, 25,38.489318847656250000, 26.591796875000000000, 0.000000000000000000, 5.165405273437500000, 2137, 29.8, 1736
C++, n-body, 25,38.487548828125000000, 26.602111816406250000, 0.000000000000000000, 5.165405273437500000, 2137, 30.0, 1700
C++, n-body, 25,38.558471679687500000, 26.645751953125000000, 0.000000000000000000, 5.165283203125000000, 2137, 28.8, 1680
