Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fannkuch-redux, 25,70.468383789062500000, 46.980895996093750000, 0.000000000000000000, 6.838684082031250000, 2829, 31.0, 1856
C, fannkuch-redux, 25,70.328613281250000000, 46.912414550781250000, 0.000000000000000000, 6.823974609375000000, 2824, 31.8, 1788
C, fannkuch-redux, 25,70.450134277343750000, 46.979858398437500000, 0.000000000000000000, 6.838500976562500000, 2829, 32.8, 1732
C, fannkuch-redux, 25,70.422790527343750000, 46.949707031250000000, 0.000000000000000000, 6.836242675781250000, 2829, 31.5, 1732
C, fannkuch-redux, 25,70.477722167968750000, 46.981872558593750000, 0.000000000000000000, 6.840942382812500000, 2830, 31.8, 1896
C, fannkuch-redux, 25,70.466979980468750000, 46.990661621093750000, 0.000000000000000000, 6.838684082031250000, 2830, 31.5, 1896
C, fannkuch-redux, 25,70.474853515625000000, 46.993530273437500000, 0.000000000000000000, 6.838500976562500000, 2830, 31.5, 1736
C, fannkuch-redux, 25,70.378234863281250000, 46.931579589843750000, 0.000000000000000000, 6.831359863281250000, 2827, 32.2, 1896
C, fannkuch-redux, 25,70.451049804687500000, 46.952392578125000000, 0.000000000000000000, 6.838500976562500000, 2830, 32.0, 1756
C, fannkuch-redux, 25,70.344238281250000000, 46.908935546875000000, 0.000000000000000000, 6.828796386718750000, 2825, 31.8, 1840
C, fannkuch-redux, 25,70.444946289062500000, 46.976135253906250000, 0.000000000000000000, 6.836059570312500000, 2829, 31.8, 1780
C, fannkuch-redux, 25,70.525329589843750000, 46.970092773437500000, 0.000793457031250000, 6.867553710937500000, 2842, 32.0, 1892
C, fannkuch-redux, 25,70.463562011718750000, 46.975280761718750000, 0.000000000000000000, 6.835998535156250000, 2829, 32.0, 1892
C, fannkuch-redux, 25,70.428039550781250000, 46.976501464843750000, 0.000000000000000000, 6.831176757812500000, 2827, 31.5, 1848
C, fannkuch-redux, 25,70.381591796875000000, 46.917968750000000000, 0.000000000000000000, 6.833801269531250000, 2827, 31.5, 1732
C, fannkuch-redux, 25,70.461059570312500000, 46.969970703125000000, 0.000000000000000000, 6.838623046875000000, 2829, 31.8, 1876
C, fannkuch-redux, 25,70.458923339843750000, 46.978820800781250000, 0.000000000000000000, 6.838500976562500000, 2829, 32.2, 1808
C, fannkuch-redux, 25,70.394775390625000000, 46.932189941406250000, 0.000000000000000000, 6.833618164062500000, 2828, 32.0, 1888
C, fannkuch-redux, 25,70.562011718750000000, 47.050903320312500000, 0.000000000000000000, 6.845764160156250000, 2833, 31.5, 1812
C, fannkuch-redux, 25,70.459106445312500000, 46.976867675781250000, 0.000732421875000000, 6.836059570312500000, 2829, 31.8, 1824
