Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fasta, 25,12.008056640625000000, 5.506958007812500000, 0.000000000000000000, 1.764221191406250000, 729, 27.8, 1400
C, fasta, 25,12.047180175781250000, 5.551574707031250000, 0.000000000000000000, 1.763427734375000000, 729, 30.8, 1400
C, fasta, 25,12.058898925781250000, 5.565002441406250000, 0.000000000000000000, 1.763061523437500000, 729, 27.8, 1484
C, fasta, 25,12.037963867187500000, 5.521118164062500000, 0.000000000000000000, 1.760620117187500000, 729, 30.0, 1400
C, fasta, 25,12.113952636718750000, 5.595092773437500000, 0.000000000000000000, 1.763122558593750000, 730, 27.8, 1420
C, fasta, 25,12.063049316406250000, 5.562561035156250000, 0.000000000000000000, 1.763000488281250000, 729, 29.5, 1452
C, fasta, 25,12.014404296875000000, 5.529052734375000000, 0.000000000000000000, 1.760620117187500000, 729, 27.5, 1448
C, fasta, 25,12.019165039062500000, 5.534667968750000000, 0.000000000000000000, 1.763000488281250000, 729, 29.8, 1448
C, fasta, 25,12.478698730468750000, 5.976928710937500000, 0.000000000000000000, 1.770935058593750000, 731, 27.5, 1516
C, fasta, 25,12.056030273437500000, 5.561523437500000000, 0.000000000000000000, 1.763183593750000000, 729, 30.0, 1552
C, fasta, 25,12.288696289062500000, 5.687805175781250000, 0.000000000000000000, 1.765441894531250000, 729, 27.2, 1564
C, fasta, 25,12.183837890625000000, 5.531921386718750000, 0.000000000000000000, 1.821289062500000000, 753, 29.8, 1400
C, fasta, 25,12.009887695312500000, 5.533996582031250000, 0.000000000000000000, 1.768005371093750000, 731, 28.0, 1400
C, fasta, 25,12.034606933593750000, 5.557495117187500000, 0.000000000000000000, 1.763122558593750000, 729, 29.8, 1492
C, fasta, 25,11.980957031250000000, 5.517944335937500000, 0.000000000000000000, 1.762939453125000000, 730, 28.0, 1460
C, fasta, 25,12.027648925781250000, 5.538574218750000000, 0.000000000000000000, 1.763122558593750000, 729, 29.5, 1488
C, fasta, 25,12.005798339843750000, 5.535766601562500000, 0.000000000000000000, 1.765502929687500000, 730, 27.2, 1400
C, fasta, 25,12.043151855468750000, 5.549926757812500000, 0.000000000000000000, 1.760559082031250000, 729, 29.2, 1436
C, fasta, 25,11.952453613281250000, 5.457946777343750000, 0.000000000000000000, 1.763122558593750000, 729, 27.8, 1516
C, fasta, 25,12.027160644531250000, 5.560180664062500000, 0.000000000000000000, 1.763061523437500000, 729, 30.0, 1500
