Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, k-nucleotide, 25,97.364318847656250000, 62.587463378906250000, 0.000000000000000000, 11.391479492187500000, 3982, 31.5, 129980
C, k-nucleotide, 25,95.564392089843750000, 61.528198242187500000, 0.000854492187500000, 10.856933593750000000, 3909, 31.8, 129952
C, k-nucleotide, 25,94.854248046875000000, 60.850646972656250000, 0.000000000000000000, 10.606933593750000000, 3889, 30.5, 129912
C, k-nucleotide, 25,98.683227539062500000, 63.241271972656250000, 0.000000000000000000, 11.590454101562500000, 4037, 31.0, 129952
C, k-nucleotide, 25,95.702941894531250000, 61.328552246093750000, 0.000000000000000000, 10.845458984375000000, 3937, 31.5, 129852
C, k-nucleotide, 25,98.264770507812500000, 63.010437011718750000, 0.000000000000000000, 11.566040039062500000, 4030, 32.5, 129984
C, k-nucleotide, 25,98.747253417968750000, 63.300964355468750000, 0.000000000000000000, 11.634765625000000000, 4038, 32.5, 129972
C, k-nucleotide, 25,98.794982910156250000, 63.372924804687500000, 0.000000000000000000, 11.646850585937500000, 4041, 32.8, 129852
C, k-nucleotide, 25,96.966186523437500000, 62.177307128906250000, 0.000915527343750000, 11.107543945312500000, 3976, 32.0, 130092
C, k-nucleotide, 25,96.772583007812500000, 62.077209472656250000, 0.000000000000000000, 11.064697265625000000, 3972, 31.5, 129988
C, k-nucleotide, 25,97.340759277343750000, 62.291809082031250000, 0.000000000000000000, 11.207214355468750000, 4005, 31.8, 129884
C, k-nucleotide, 25,97.367980957031250000, 62.227600097656250000, 0.000000000000000000, 11.150878906250000000, 4013, 32.0, 129984
C, k-nucleotide, 25,96.448547363281250000, 61.971557617187500000, 0.000000000000000000, 11.016967773437500000, 3947, 32.2, 130212
C, k-nucleotide, 25,95.780761718750000000, 61.394958496093750000, 0.000000000000000000, 10.868469238281250000, 3933, 31.2, 130280
C, k-nucleotide, 25,97.568420410156250000, 62.369323730468750000, 0.000000000000000000, 11.183471679687500000, 4014, 31.2, 129884
C, k-nucleotide, 25,98.765441894531250000, 63.281616210937500000, 0.000854492187500000, 11.695007324218750000, 4044, 31.5, 129952
C, k-nucleotide, 25,98.084228515625000000, 62.774719238281250000, 0.000000000000000000, 11.523803710937500000, 4025, 32.2, 129956
C, k-nucleotide, 25,96.313720703125000000, 61.726867675781250000, 0.000000000000000000, 10.940795898437500000, 3961, 31.2, 129956
C, k-nucleotide, 25,98.034729003906250000, 62.790954589843750000, 0.000000000000000000, 11.454223632812500000, 4019, 32.2, 129888
C, k-nucleotide, 25,97.209594726562500000, 62.213867187500000000, 0.000000000000000000, 11.184204101562500000, 3991, 32.8, 130252
