Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, reverse-complement, 25,2.152282714843750000, 1.191101074218750000, 0.000000000000000000, 0.385253906250000000, 98, 27.5, 127452
C, reverse-complement, 25,2.127014160156250000, 1.183410644531250000, 0.000000000000000000, 0.379760742187500000, 97, 27.5, 127164
C, reverse-complement, 25,2.125427246093750000, 1.183715820312500000, 0.000000000000000000, 0.385131835937500000, 98, 27.5, 127200
C, reverse-complement, 25,2.155944824218750000, 1.199890136718750000, 0.000000000000000000, 0.386657714843750000, 98, 27.5, 127236
C, reverse-complement, 25,2.143493652343750000, 1.195129394531250000, 0.000000000000000000, 0.382873535156250000, 97, 27.5, 127088
C, reverse-complement, 25,2.133789062500000000, 1.187133789062500000, 0.000000000000000000, 0.379821777343750000, 98, 27.5, 127320
C, reverse-complement, 25,2.133972167968750000, 1.190246582031250000, 0.000000000000000000, 0.380371093750000000, 97, 27.5, 127320
C, reverse-complement, 25,2.134094238281250000, 1.186828613281250000, 0.000000000000000000, 0.381530761718750000, 98, 27.5, 127140
C, reverse-complement, 25,2.142272949218750000, 1.183776855468750000, 0.000000000000000000, 0.378234863281250000, 97, 27.5, 127200
C, reverse-complement, 25,2.147460937500000000, 1.195861816406250000, 0.000000000000000000, 0.383178710937500000, 97, 30.2, 127168
C, reverse-complement, 25,2.158508300781250000, 1.195861816406250000, 0.000000000000000000, 0.389099121093750000, 99, 27.8, 127164
C, reverse-complement, 25,2.293640136718750000, 1.198669433593750000, 0.000000000000000000, 0.425231933593750000, 114, 27.8, 127140
C, reverse-complement, 25,2.172607421875000000, 1.205383300781250000, 0.000000000000000000, 0.387390136718750000, 99, 27.8, 127128
C, reverse-complement, 25,2.133728027343750000, 1.189453125000000000, 0.000000000000000000, 0.384338378906250000, 98, 27.8, 127380
C, reverse-complement, 25,2.138000488281250000, 1.191040039062500000, 0.000000000000000000, 0.378356933593750000, 97, 27.8, 127160
C, reverse-complement, 25,2.113342285156250000, 1.177307128906250000, 0.000000000000000000, 0.372619628906250000, 97, 27.8, 127288
C, reverse-complement, 25,2.104980468750000000, 1.173339843750000000, 0.000000000000000000, 0.374694824218750000, 97, 27.8, 127328
C, reverse-complement, 25,2.133972167968750000, 1.189758300781250000, 0.000000000000000000, 0.373962402343750000, 97, 27.8, 127300
C, reverse-complement, 25,2.104370117187500000, 1.172546386718750000, 0.000000000000000000, 0.373352050781250000, 96, 27.8, 127272
C, reverse-complement, 25,2.114807128906250000, 1.177307128906250000, 0.000000000000000000, 0.376831054687500000, 97, 30.8, 127160
