Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
CSharp, binary-trees, 25,400.082824707031250000, 194.508544921875000000, 0.000732421875000000, 74.418701171875000000, 23384, 29.8, 1852516
CSharp, binary-trees, 25,404.545532226562500000, 188.200439453125000000, 0.000549316406250000, 79.158691406250000000, 25213, 29.8, 1821128
CSharp, binary-trees, 25,408.769470214843750000, 185.897460937500000000, 0.000000000000000000, 81.818725585937500000, 26219, 30.2, 1932380
CSharp, binary-trees, 25,406.055297851562500000, 190.922668457031250000, 0.000610351562500000, 78.343322753906250000, 24910, 30.2, 2299072
CSharp, binary-trees, 25,414.612426757812500000, 193.792846679687500000, 0.000000000000000000, 80.304321289062500000, 25599, 30.8, 2290176
CSharp, binary-trees, 25,406.075805664062500000, 190.509094238281250000, 0.000000000000000000, 78.621704101562500000, 24964, 30.0, 2244748
CSharp, binary-trees, 25,407.331481933593750000, 188.933288574218750000, 0.000854492187500000, 79.623962402343750000, 25346, 30.2, 2023184
CSharp, binary-trees, 25,413.731384277343750000, 189.960083007812500000, 0.000000000000000000, 81.728759765625000000, 26169, 30.2, 2243372
CSharp, binary-trees, 25,405.687072753906250000, 186.587951660156250000, 0.000671386718750000, 80.037658691406250000, 25629, 30.2, 2301972
CSharp, binary-trees, 25,400.581970214843750000, 185.009399414062500000, 0.000793457031250000, 78.944824218750000000, 25169, 30.2, 1925288
CSharp, binary-trees, 25,406.169189453125000000, 193.238281250000000000, 0.000000000000000000, 77.441467285156250000, 24437, 30.8, 1979908
CSharp, binary-trees, 25,407.899902343750000000, 189.691345214843750000, 0.000854492187500000, 79.878417968750000000, 25435, 30.8, 2255124
CSharp, binary-trees, 25,411.681091308593750000, 192.103576660156250000, 0.000000000000000000, 79.984008789062500000, 25492, 31.8, 2184040
CSharp, binary-trees, 25,410.215393066406250000, 187.961364746093750000, 0.000793457031250000, 81.451599121093750000, 26112, 31.5, 2320524
CSharp, binary-trees, 25,410.883911132812500000, 184.992309570312500000, 0.000854492187500000, 82.850341796875000000, 26663, 29.8, 2021288
CSharp, binary-trees, 25,412.920288085937500000, 187.359252929687500000, 0.000000000000000000, 82.468750000000000000, 26608, 30.2, 2268224
CSharp, binary-trees, 25,406.792175292968750000, 182.768676757812500000, 0.000549316406250000, 82.035827636718750000, 26483, 30.8, 2248564
CSharp, binary-trees, 25,404.215087890625000000, 185.366210937500000000, 0.001098632812500000, 80.072692871093750000, 25578, 29.5, 1961188
CSharp, binary-trees, 25,407.709045410156250000, 189.974731445312500000, 0.000000000000000000, 79.493408203125000000, 25283, 30.2, 2113944
CSharp, binary-trees, 25,407.789123535156250000, 187.914978027343750000, 0.000671386718750000, 80.852416992187500000, 25766, 31.0, 2194952
