Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
CSharp, fannkuch-redux, 25,70.653991699218750000, 47.495544433593750000, 0.000000000000000000, 6.943969726562500000, 2871, 32.0, 29872
CSharp, fannkuch-redux, 25,70.600708007812500000, 47.447448730468750000, 0.000000000000000000, 6.936157226562500000, 2867, 32.0, 29720
CSharp, fannkuch-redux, 25,70.735473632812500000, 47.481201171875000000, 0.000000000000000000, 6.965332031250000000, 2880, 32.5, 30208
CSharp, fannkuch-redux, 25,70.753051757812500000, 47.522277832031250000, 0.000000000000000000, 6.960510253906250000, 2879, 32.8, 29724
CSharp, fannkuch-redux, 25,71.278015136718750000, 47.670166015625000000, 0.000732421875000000, 7.098510742187500000, 2935, 32.0, 29752
CSharp, fannkuch-redux, 25,70.981933593750000000, 47.691772460937500000, 0.000000000000000000, 6.977722167968750000, 2885, 31.8, 30444
CSharp, fannkuch-redux, 25,70.668518066406250000, 47.493713378906250000, 0.000000000000000000, 6.941406250000000000, 2870, 32.0, 29672
CSharp, fannkuch-redux, 25,71.078308105468750000, 47.714843750000000000, 0.000000000000000000, 7.001647949218750000, 2895, 32.5, 29864
CSharp, fannkuch-redux, 25,70.587402343750000000, 47.446899414062500000, 0.000000000000000000, 6.941284179687500000, 2870, 32.0, 30192
CSharp, fannkuch-redux, 25,70.591552734375000000, 47.470031738281250000, 0.000000000000000000, 6.921875000000000000, 2862, 32.2, 30228
CSharp, fannkuch-redux, 25,70.932250976562500000, 47.642028808593750000, 0.000000000000000000, 6.974975585937500000, 2885, 31.8, 29728
CSharp, fannkuch-redux, 25,71.172180175781250000, 47.692932128906250000, 0.000000000000000000, 7.025817871093750000, 2906, 31.0, 29744
CSharp, fannkuch-redux, 25,70.463439941406250000, 47.464904785156250000, 0.000732421875000000, 6.880737304687500000, 2845, 32.2, 30224
CSharp, fannkuch-redux, 25,71.661193847656250000, 48.102355957031250000, 0.000000000000000000, 7.023498535156250000, 2903, 31.2, 29868
CSharp, fannkuch-redux, 25,70.922180175781250000, 47.725830078125000000, 0.000000000000000000, 6.938781738281250000, 2869, 32.0, 30224
CSharp, fannkuch-redux, 25,71.255493164062500000, 47.960388183593750000, 0.000000000000000000, 6.955749511718750000, 2877, 32.0, 30360
CSharp, fannkuch-redux, 25,70.705810546875000000, 47.550964355468750000, 0.000000000000000000, 6.906250000000000000, 2854, 32.0, 30240
CSharp, fannkuch-redux, 25,70.568908691406250000, 47.477355957031250000, 0.000000000000000000, 6.909606933593750000, 2857, 33.0, 30212
CSharp, fannkuch-redux, 25,70.616943359375000000, 47.524597167968750000, 0.000000000000000000, 6.910217285156250000, 2857, 31.8, 30084
CSharp, fannkuch-redux, 25,70.587402343750000000, 47.486083984375000000, 0.000000000000000000, 6.892578125000000000, 2850, 32.0, 30248
