Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
CSharp, k-nucleotide, 25,101.219055175781250000, 65.025817871093750000, 0.000793457031250000, 11.382141113281250000, 4218, 31.8, 183556
CSharp, k-nucleotide, 25,102.478332519531250000, 65.663269042968750000, 0.000000000000000000, 11.945983886718750000, 4264, 30.5, 183396
CSharp, k-nucleotide, 25,102.824951171875000000, 65.919311523437500000, 0.000000000000000000, 11.583862304687500000, 4274, 31.2, 183772
CSharp, k-nucleotide, 25,101.767272949218750000, 65.132324218750000000, 0.000000000000000000, 11.466918945312500000, 4236, 31.2, 183516
CSharp, k-nucleotide, 25,102.612487792968750000, 65.585815429687500000, 0.000000000000000000, 11.483764648437500000, 4297, 31.2, 183780
CSharp, k-nucleotide, 25,103.386474609375000000, 66.382690429687500000, 0.000000000000000000, 11.959899902343750000, 4293, 31.5, 183348
CSharp, k-nucleotide, 25,103.053100585937500000, 65.973632812500000000, 0.000000000000000000, 11.752746582031250000, 4315, 30.8, 183620
CSharp, k-nucleotide, 25,101.635253906250000000, -262078.905944824218750000, 0.000000000000000000, 11.536010742187500000, 4250, 32.0, 183648
CSharp, k-nucleotide, 25,102.090393066406250000, 65.443237304687500000, 0.000000000000000000, 11.541137695312500000, 4250, 31.2, 183680
CSharp, k-nucleotide, 25,101.812133789062500000, 65.297241210937500000, 0.000000000000000000, 11.430480957031250000, 4227, 31.8, 183556
CSharp, k-nucleotide, 25,103.095336914062500000, 66.346862792968750000, 0.000000000000000000, 12.090881347656250000, 4259, 31.0, 183556
CSharp, k-nucleotide, 25,102.535522460937500000, 65.741088867187500000, 0.000000000000000000, 11.670593261718750000, 4257, 31.8, 183332
CSharp, k-nucleotide, 25,102.421813964843750000, 65.687316894531250000, 0.000000000000000000, 11.565673828125000000, 4245, 31.2, 183308
CSharp, k-nucleotide, 25,101.973205566406250000, 65.402770996093750000, 0.000732421875000000, 11.514282226562500000, 4237, 31.0, 183308
CSharp, k-nucleotide, 25,102.661437988281250000, 65.978332519531250000, 0.000000000000000000, 11.675537109375000000, 4244, 31.2, 183220
CSharp, k-nucleotide, 25,101.711853027343750000, 65.457702636718750000, 0.000000000000000000, 11.410034179687500000, 4204, 31.2, 183444
CSharp, k-nucleotide, 25,102.519104003906250000, 65.648986816406250000, 0.000000000000000000, 11.979370117187500000, 4247, 31.5, 183656
CSharp, k-nucleotide, 25,103.046813964843750000, 65.997436523437500000, 0.000000000000000000, 12.019592285156250000, 4270, 32.0, 183424
CSharp, k-nucleotide, 25,103.242980957031250000, 66.424743652343750000, 0.000000000000000000, 11.770080566406250000, 4257, 32.0, 183468
CSharp, k-nucleotide, 25,101.761352539062500000, 65.285522460937500000, 0.000793457031250000, 11.437194824218750000, 4228, 31.5, 183844
