Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
CSharp, spectral-norm, 25,26.375000000000000000, 17.220397949218750000, 0.000000000000000000, 2.652954101562500000, 1095, 31.5, 34084
CSharp, spectral-norm, 25,26.052551269531250000, 17.021850585937500000, 0.000000000000000000, 2.629028320312500000, 1083, 31.2, 34504
CSharp, spectral-norm, 25,26.170776367187500000, 17.097290039062500000, 0.000000000000000000, 2.640930175781250000, 1089, 32.0, 34308
CSharp, spectral-norm, 25,26.230529785156250000, 17.108642578125000000, 0.000793457031250000, 2.665100097656250000, 1099, 31.5, 34336
CSharp, spectral-norm, 25,25.182983398437500000, 16.434692382812500000, 0.000000000000000000, 2.550964355468750000, 1052, 31.5, 33836
CSharp, spectral-norm, 25,25.228698730468750000, 16.481323242187500000, 0.000000000000000000, 2.546142578125000000, 1050, 30.8, 34476
CSharp, spectral-norm, 25,25.214416503906250000, 16.378479003906250000, 0.000000000000000000, 2.589660644531250000, 1068, 30.8, 34244
CSharp, spectral-norm, 25,26.559875488281250000, 17.283569335937500000, 0.000000000000000000, 2.703735351562500000, 1115, 30.8, 34032
CSharp, spectral-norm, 25,26.736022949218750000, 17.330993652343750000, 0.000000000000000000, 2.744750976562500000, 1132, 31.2, 33836
CSharp, spectral-norm, 25,25.372253417968750000, 16.473754882812500000, 0.000000000000000000, 2.601684570312500000, 1073, 31.2, 34236
CSharp, spectral-norm, 25,26.308654785156250000, 17.173767089843750000, 0.000000000000000000, 2.672058105468750000, 1102, 31.5, 34300
CSharp, spectral-norm, 25,26.476196289062500000, 17.220336914062500000, 0.000000000000000000, 2.693908691406250000, 1111, 30.8, 34308
CSharp, spectral-norm, 25,25.059448242187500000, 16.450988769531250000, 0.000000000000000000, 2.485900878906250000, 1025, 31.5, 34496
CSharp, spectral-norm, 25,26.298095703125000000, 17.248962402343750000, 0.000000000000000000, 2.629211425781250000, 1084, 31.8, 34212
CSharp, spectral-norm, 25,26.181091308593750000, 17.191040039062500000, 0.000000000000000000, 2.619079589843750000, 1079, 31.0, 34328
CSharp, spectral-norm, 25,26.196533203125000000, 17.166381835937500000, 0.000000000000000000, 2.631164550781250000, 1085, 30.8, 34276
CSharp, spectral-norm, 25,26.276794433593750000, 17.190551757812500000, 0.000000000000000000, 2.647705078125000000, 1092, 31.0, 34428
CSharp, spectral-norm, 25,26.261535644531250000, 17.218383789062500000, 0.000000000000000000, 2.621215820312500000, 1081, 31.0, 34296
CSharp, spectral-norm, 25,26.694091796875000000, 17.475585937500000000, 0.000000000000000000, 2.667541503906250000, 1099, 31.0, 34212
CSharp, spectral-norm, 25,26.111450195312500000, 17.115966796875000000, 0.000000000000000000, 2.611938476562500000, 1077, 31.0, 34420
