Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Dart, binary-trees, 25,285.024658203125000000, 174.069152832031250000, 0.000000000000000000, 51.505371093750000000, 11836, 31.8, 463720
Dart, binary-trees, 25,295.808349609375000000, 180.366149902343750000, 0.000000000000000000, 53.473510742187500000, 12278, 32.0, 518156
Dart, binary-trees, 25,286.860290527343750000, 174.917968750000000000, 0.000000000000000000, 52.065063476562500000, 11917, 32.2, 533032
Dart, binary-trees, 25,280.709289550781250000, 170.267272949218750000, 0.000000000000000000, 51.190979003906250000, 11806, 31.5, 492252
Dart, binary-trees, 25,284.518188476562500000, 172.996948242187500000, 0.000793457031250000, 51.581298828125000000, 11897, 31.8, 487512
Dart, binary-trees, 25,284.069580078125000000, 173.165100097656250000, 0.000000000000000000, 51.147277832031250000, 11782, 31.5, 502180
Dart, binary-trees, 25,285.845703125000000000, 173.684387207031250000, 0.000793457031250000, 51.914123535156250000, 11918, 32.5, 493088
Dart, binary-trees, 25,289.139892578125000000, 176.207580566406250000, 0.000000000000000000, 52.408264160156250000, 12034, 32.0, 490372
Dart, binary-trees, 25,290.976257324218750000, 177.046081542968750000, 0.000000000000000000, 52.508178710937500000, 12079, 31.5, 492496
Dart, binary-trees, 25,279.310852050781250000, 170.534423828125000000, 0.000000000000000000, 50.228088378906250000, 11589, 32.0, 476404
Dart, binary-trees, 25,289.369445800781250000, 175.605651855468750000, 0.000000000000000000, 52.652099609375000000, 12082, 32.2, 500936
Dart, binary-trees, 25,287.209960937500000000, 175.340759277343750000, 0.000000000000000000, 51.792785644531250000, 11934, 31.8, 483852
Dart, binary-trees, 25,277.098693847656250000, 168.663574218750000000, 0.000000000000000000, 50.119384765625000000, 11567, 31.0, 516592
Dart, binary-trees, 25,288.246459960937500000, 175.426696777343750000, 0.000793457031250000, 51.938232421875000000, 11952, 31.8, 483320
Dart, binary-trees, 25,282.694396972656250000, 172.318298339843750000, 0.000000000000000000, 50.873962402343750000, 11746, 32.2, 483796
Dart, binary-trees, 25,296.086181640625000000, 181.324462890625000000, 0.000793457031250000, 52.806335449218750000, 12203, 31.8, 517604
Dart, binary-trees, 25,287.580932617187500000, 175.826049804687500000, 0.000000000000000000, 51.876159667968750000, 11927, 31.8, 494940
Dart, binary-trees, 25,290.868957519531250000, 176.801818847656250000, 0.000915527343750000, 52.729431152343750000, 12141, 31.8, 492496
Dart, binary-trees, 25,291.936645507812500000, 178.254211425781250000, 0.000000000000000000, 52.687927246093750000, 12101, 31.8, 477252
Dart, binary-trees, 25,291.476745605468750000, 177.854797363281250000, 0.000854492187500000, 52.609436035156250000, 12084, 32.0, 471500
