Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Dart, mandelbrot, 25,120.639099121093750000, 81.613708496093750000, 0.000000000000000000, 11.759582519531250000, 4853, 32.0, 77460
Dart, mandelbrot, 25,120.290344238281250000, 81.428405761718750000, 0.000000000000000000, 11.711059570312500000, 4838, 32.2, 45588
Dart, mandelbrot, 25,120.438598632812500000, 81.482421875000000000, 0.000000000000000000, 11.728942871093750000, 4846, 31.0, 45508
Dart, mandelbrot, 25,120.630859375000000000, 81.619262695312500000, 0.000000000000000000, 11.764587402343750000, 4856, 32.5, 77228
Dart, mandelbrot, 25,120.431701660156250000, 81.487915039062500000, 0.000000000000000000, 11.722839355468750000, 4843, 32.5, 45772
Dart, mandelbrot, 25,120.456604003906250000, 81.535461425781250000, 0.000000000000000000, 11.739746093750000000, 4845, 31.2, 77512
Dart, mandelbrot, 25,120.285156250000000000, 81.481567382812500000, 0.000000000000000000, 11.726379394531250000, 4839, 31.5, 77680
Dart, mandelbrot, 25,120.370666503906250000, 81.518371582031250000, 0.000000000000000000, 11.721618652343750000, 4839, 32.0, 76116
Dart, mandelbrot, 25,120.140808105468750000, 81.390686035156250000, 0.000000000000000000, 11.690856933593750000, 4831, 31.5, 45608
Dart, mandelbrot, 25,120.527832031250000000, 81.545227050781250000, 0.000000000000000000, 11.766784667968750000, 4856, 30.5, 77420
Dart, mandelbrot, 25,120.468627929687500000, 81.541259765625000000, 0.000000000000000000, 11.747192382812500000, 4848, 31.2, 77300
Dart, mandelbrot, 25,120.462646484375000000, 81.443542480468750000, 0.000000000000000000, 11.777282714843750000, 4866, 32.5, 45596
Dart, mandelbrot, 25,120.244262695312500000, 81.463012695312500000, 0.000000000000000000, 11.720153808593750000, 4838, 32.0, 77336
Dart, mandelbrot, 25,120.281188964843750000, 81.475402832031250000, 0.000000000000000000, 11.723083496093750000, 4839, 32.2, 77444
Dart, mandelbrot, 25,120.422119140625000000, 81.518859863281250000, 0.000000000000000000, 11.744201660156250000, 4847, 32.0, 77464
Dart, mandelbrot, 25,120.148437500000000000, 81.384094238281250000, 0.000000000000000000, 11.699340820312500000, 4832, 31.0, 45888
Dart, mandelbrot, 25,120.406005859375000000, 81.544677734375000000, 0.000000000000000000, 11.730651855468750000, 4841, 32.2, 77256
Dart, mandelbrot, 25,120.152709960937500000, 81.390991210937500000, 0.000000000000000000, 11.698181152343750000, 4832, 31.8, 45660
Dart, mandelbrot, 25,120.082763671875000000, 81.333679199218750000, 0.000000000000000000, 11.700988769531250000, 4833, 31.5, 45844
Dart, mandelbrot, 25,120.081481933593750000, 81.354919433593750000, 0.000000000000000000, 11.696289062500000000, 4831, 31.2, 45692
