Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Dart, n-body, 25,111.117248535156250000, 55.218200683593750000, 0.000000000000000000, 14.848327636718750000, 6145, 30.8, 10792
Dart, n-body, 25,111.459411621093750000, 55.424011230468750000, 0.000000000000000000, 14.848571777343750000, 6144, 31.0, 10976
Dart, n-body, 25,110.646057128906250000, 55.001831054687500000, 0.000854492187500000, 14.846374511718750000, 6143, 30.8, 10980
Dart, n-body, 25,111.340637207031250000, 55.371582031250000000, 0.000000000000000000, 14.848510742187500000, 6144, 30.8, 10744
Dart, n-body, 25,112.878601074218750000, 56.133666992187500000, 0.000000000000000000, 14.848510742187500000, 6144, 29.8, 10660
Dart, n-body, 25,111.561828613281250000, 55.457336425781250000, 0.000000000000000000, 14.845886230468750000, 6144, 30.5, 11040
Dart, n-body, 25,112.960144042968750000, 56.193176269531250000, 0.000000000000000000, 14.843444824218750000, 6143, 29.8, 10944
Dart, n-body, 25,110.817871093750000000, 55.085571289062500000, 0.000854492187500000, 14.852050781250000000, 6145, 30.2, 10920
Dart, n-body, 25,110.645263671875000000, 54.970275878906250000, 0.000000000000000000, 14.853393554687500000, 6146, 29.2, 10780
Dart, n-body, 25,111.067321777343750000, 55.210937500000000000, 0.000000000000000000, 14.845886230468750000, 6144, 30.5, 10964
Dart, n-body, 25,111.074768066406250000, 55.204345703125000000, 0.000000000000000000, 14.845947265625000000, 6143, 31.0, 10788
Dart, n-body, 25,111.859313964843750000, 55.543273925781250000, 0.000000000000000000, 14.882507324218750000, 6158, 29.5, 10904
Dart, n-body, 25,111.243530273437500000, 55.298950195312500000, 0.000000000000000000, 14.848510742187500000, 6144, 30.5, 10964
Dart, n-body, 25,111.497131347656250000, 55.404357910156250000, 0.000854492187500000, 14.848693847656250000, 6145, 29.8, 10724
Dart, n-body, 25,110.804382324218750000, 55.051269531250000000, 0.000000000000000000, 14.848449707031250000, 6144, 29.8, 11028
Dart, n-body, 25,111.004699707031250000, 55.174377441406250000, 0.000000000000000000, 14.848632812500000000, 6144, 30.0, 10996
Dart, n-body, 25,110.718811035156250000, 55.027160644531250000, 0.000000000000000000, 14.848510742187500000, 6144, 30.5, 10804
Dart, n-body, 25,110.582092285156250000, 54.964233398437500000, 0.000000000000000000, 14.851074218750000000, 6145, 30.5, 10980
Dart, n-body, 25,110.827453613281250000, 55.073608398437500000, 0.000000000000000000, 14.851013183593750000, 6145, 30.2, 10660
Dart, n-body, 25,110.775024414062500000, 55.062683105468750000, 0.000854492187500000, 14.848754882812500000, 6145, 30.0, 10768
