Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Erlang, binary-trees, 25,117.465515136718750000, 70.779052734375000000, 0.000000000000000000, 16.998840332031250000, 5069, 30.2, 424728
Erlang, binary-trees, 25,118.262451171875000000, 70.692016601562500000, 0.000000000000000000, 17.183837890625000000, 5197, 30.0, 425168
Erlang, binary-trees, 25,119.382202148437500000, 71.124328613281250000, 0.000854492187500000, 17.385742187500000000, 5255, 30.2, 424464
Erlang, binary-trees, 25,118.694824218750000000, 69.652526855468750000, 0.000000000000000000, 17.806396484375000000, 5422, 29.5, 425260
Erlang, binary-trees, 25,118.691650390625000000, 71.819030761718750000, 0.000000000000000000, 16.980529785156250000, 5054, 31.2, 424928
Erlang, binary-trees, 25,119.428466796875000000, 71.584655761718750000, 0.000000000000000000, 17.145019531250000000, 5170, 31.5, 424608
Erlang, binary-trees, 25,118.001892089843750000, 71.504638671875000000, 0.000000000000000000, 16.859558105468750000, 5015, 31.2, 425252
Erlang, binary-trees, 25,118.109130859375000000, 71.665893554687500000, 0.000854492187500000, 16.784362792968750000, 4994, 31.2, 425540
Erlang, binary-trees, 25,119.738525390625000000, 71.076293945312500000, 0.000000000000000000, 17.505981445312500000, 5314, 30.2, 424464
Erlang, binary-trees, 25,118.400207519531250000, 70.839538574218750000, 0.000000000000000000, 17.126831054687500000, 5185, 31.2, 425752
Erlang, binary-trees, 25,117.805114746093750000, 70.700561523437500000, 0.000000000000000000, 17.100280761718750000, 5141, 30.8, 425048
Erlang, binary-trees, 25,117.976684570312500000, 71.412963867187500000, 0.000000000000000000, 16.879394531250000000, 5046, 31.0, 425764
Erlang, binary-trees, 25,119.593017578125000000, 70.722778320312500000, 0.000854492187500000, 17.554443359375000000, 5340, 30.5, 424352
Erlang, binary-trees, 25,119.052612304687500000, 72.451965332031250000, 0.000000000000000000, 16.681457519531250000, 5011, 30.8, 424756
Erlang, binary-trees, 25,119.919433593750000000, 72.818298339843750000, 0.000000000000000000, 16.789184570312500000, 5056, 30.8, 424764
Erlang, binary-trees, 25,119.544311523437500000, 70.238403320312500000, 0.000000000000000000, 17.675476074218750000, 5414, 30.5, 425200
Erlang, binary-trees, 25,117.936462402343750000, 71.099853515625000000, 0.000000000000000000, 16.954589843750000000, 5089, 31.0, 424828
Erlang, binary-trees, 25,118.654541015625000000, 70.973144531250000000, 0.000854492187500000, 17.110595703125000000, 5159, 29.8, 425048
Erlang, binary-trees, 25,117.974548339843750000, 71.132934570312500000, 0.000000000000000000, 16.939758300781250000, 5060, 30.2, 424632
Erlang, binary-trees, 25,117.925720214843750000, 71.707092285156250000, 0.000000000000000000, 16.755859375000000000, 4985, 31.2, 425388
