Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Erlang, k-nucleotide, 25,1897.661987304687500000, 1233.250549316406250000, 0.001708984375000000, 206.707336425781250000, 78875, 33.8, 862616
Erlang, k-nucleotide, 25,1850.859680175781250000, 1209.436462402343750000, 0.001586914062500000, 201.234313964843750000, 76587, 33.8, 890768
Erlang, k-nucleotide, 25,1885.667175292968750000, 1223.679382324218750000, 0.001708984375000000, 205.760925292968750000, 78521, 33.8, 893056
Erlang, k-nucleotide, 25,1855.786682128906250000, 1209.735534667968750000, 0.000854492187500000, 202.231445312500000000, 76887, 34.0, 906652
Erlang, k-nucleotide, 25,1860.785156250000000000, 1213.465026855468750000, 0.001708984375000000, 202.702270507812500000, 77186, 34.2, 906728
Erlang, k-nucleotide, 25,1907.784667968750000000, 1237.221801757812500000, 0.001708984375000000, 208.071716308593750000, 79430, 33.2, 886496
Erlang, k-nucleotide, 25,1913.698852539062500000, 1242.278747558593750000, 0.001770019531250000, 208.510925292968750000, 79601, 33.5, 899556
Erlang, k-nucleotide, 25,1933.373168945312500000, 1258.153442382812500000, 0.001647949218750000, 209.754333496093750000, 80027, 34.5, 864100
Erlang, k-nucleotide, 25,1858.460144042968750000, 1212.989501953125000000, 0.000793457031250000, 202.497070312500000000, 77073, 34.2, 897352
Erlang, k-nucleotide, 25,1877.598266601562500000, 1217.597961425781250000, 0.001647949218750000, 205.165527343750000000, 78307, 33.5, 897064
Erlang, k-nucleotide, 25,1855.507507324218750000, 1213.628784179687500000, 0.001708984375000000, 201.682312011718750000, 76800, 33.5, 899764
Erlang, k-nucleotide, 25,1877.098205566406250000, 1224.720886230468750000, 0.000854492187500000, 204.470886230468750000, 77782, 33.2, 890904
Erlang, k-nucleotide, 25,1886.647033691406250000, 1225.827758789062500000, 0.001647949218750000, 205.629638671875000000, 78492, 34.0, 882648
Erlang, k-nucleotide, 25,1854.429626464843750000, 1210.286315917968750000, 0.001647949218750000, 201.820739746093750000, 76826, 34.0, 892644
Erlang, k-nucleotide, 25,1857.641174316406250000, 1210.601928710937500000, 0.001770019531250000, 202.088928222656250000, 76901, 34.0, 899180
Erlang, k-nucleotide, 25,1872.624755859375000000, 1215.715942382812500000, 0.001770019531250000, 204.436828613281250000, 78026, 33.5, 900532
Erlang, k-nucleotide, 25,1906.116455078125000000, 1236.912658691406250000, 0.001647949218750000, 207.576110839843750000, 79267, 33.5, 880344
Erlang, k-nucleotide, 25,1874.797363281250000000, 1219.947875976562500000, 0.001708984375000000, 204.268127441406250000, 77933, 34.0, 900004
Erlang, k-nucleotide, 25,1933.741455078125000000, 1256.772705078125000000, 0.001770019531250000, 210.122192382812500000, 80154, 33.2, 910580
Erlang, k-nucleotide, 25,1868.344360351562500000, 1213.857910156250000000, 0.001647949218750000, 204.056213378906250000, 77832, 33.8, 890488
