Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Erlang, n-body, 25,1868.866638183593750000, 1001.016967773437500000, 0.001831054687500000, 221.285156250000000000, 91588, 32.8, 36344
Erlang, n-body, 25,1856.546997070312500000, 993.947692871093750000, 0.001831054687500000, 219.329956054687500000, 90779, 33.0, 36136
Erlang, n-body, 25,1848.662780761718750000, 989.377929687500000000, 0.001831054687500000, 218.919250488281250000, 90609, 32.2, 35928
Erlang, n-body, 25,1877.443237304687500000, 1005.267883300781250000, 0.001831054687500000, 221.640197753906250000, 91735, 32.2, 36296
Erlang, n-body, 25,1847.789550781250000000, 989.728698730468750000, 0.001831054687500000, 218.805053710937500000, 90560, 32.5, 35916
Erlang, n-body, 25,1842.023803710937500000, 985.303894042968750000, 0.001831054687500000, 218.172058105468750000, 90299, 33.0, 36300
Erlang, n-body, 25,1853.145751953125000000, 990.614685058593750000, 0.001831054687500000, 219.359741210937500000, 90790, 32.2, 36336
Erlang, n-body, 25,1853.589050292968750000, 992.219116210937500000, 0.001831054687500000, 219.461669921875000000, 90833, 32.2, 36356
Erlang, n-body, 25,1844.764953613281250000, 986.846069335937500000, 0.001831054687500000, 218.114624023437500000, 90276, 32.5, 35788
Erlang, n-body, 25,1849.238098144531250000, 989.725402832031250000, 0.001831054687500000, 218.957580566406250000, 90625, 32.2, 36456
Erlang, n-body, 25,1909.803894042968750000, 1023.762878417968750000, 0.001831054687500000, 226.087585449218750000, 93576, 32.8, 35908
Erlang, n-body, 25,1852.380676269531250000, 991.543212890625000000, 0.001831054687500000, 219.408264160156250000, 90811, 32.5, 36572
Erlang, n-body, 25,1849.632690429687500000, 988.817138671875000000, 0.001831054687500000, 219.013244628906250000, 90649, 32.2, 36104
Erlang, n-body, 25,1854.472167968750000000, 991.520324707031250000, 0.001831054687500000, 219.607788085937500000, 90894, 31.5, 36092
Erlang, n-body, 25,1848.366027832031250000, 988.457031250000000000, 0.001831054687500000, 218.882507324218750000, 90594, 32.2, 36624
Erlang, n-body, 25,1855.986389160156250000, 991.773010253906250000, 0.001831054687500000, 219.769104003906250000, 90960, 31.5, 35588
Erlang, n-body, 25,1851.594177246093750000, 990.792358398437500000, 0.001770019531250000, 219.227233886718750000, 90735, 32.8, 36536
Erlang, n-body, 25,1850.528259277343750000, 990.841003417968750000, 0.001831054687500000, 219.081604003906250000, 90674, 32.5, 35672
Erlang, n-body, 25,1863.726379394531250000, 995.714782714843750000, 0.001831054687500000, 220.747131347656250000, 91365, 31.2, 36588
Erlang, n-body, 25,1857.368530273437500000, 993.814636230468750000, 0.001831054687500000, 219.908569335937500000, 91017, 32.2, 36440
