Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Erlang, spectral-norm, 25,398.535156250000000000, 257.027709960937500000, 0.000854492187500000, 38.696655273437500000, 16005, 32.8, 41348
Erlang, spectral-norm, 25,399.290405273437500000, 257.324829101562500000, 0.000000000000000000, 38.768676757812500000, 16035, 33.0, 41380
Erlang, spectral-norm, 25,399.326416015625000000, 257.350524902343750000, 0.000854492187500000, 38.793395996093750000, 16046, 33.0, 39648
Erlang, spectral-norm, 25,398.468139648437500000, 256.895507812500000000, 0.000000000000000000, 38.709289550781250000, 16009, 32.5, 42432
Erlang, spectral-norm, 25,398.740905761718750000, 257.062011718750000000, 0.000854492187500000, 38.749816894531250000, 16025, 33.2, 42436
Erlang, spectral-norm, 25,398.647338867187500000, 257.027099609375000000, 0.000000000000000000, 38.704467773437500000, 16009, 33.5, 42840
Erlang, spectral-norm, 25,399.158264160156250000, 257.371398925781250000, 0.000000000000000000, 38.747497558593750000, 16028, 33.0, 39864
Erlang, spectral-norm, 25,399.491455078125000000, 257.465515136718750000, 0.000000000000000000, 38.787292480468750000, 16044, 33.5, 41436
Erlang, spectral-norm, 25,398.847351074218750000, 257.080627441406250000, 0.000000000000000000, 38.730712890625000000, 16017, 32.8, 43096
Erlang, spectral-norm, 25,398.667114257812500000, 257.152465820312500000, 0.000915527343750000, 38.708068847656250000, 16009, 32.2, 40852
Erlang, spectral-norm, 25,399.455688476562500000, 257.376220703125000000, 0.000000000000000000, 38.784423828125000000, 16041, 33.0, 43436
Erlang, spectral-norm, 25,398.521423339843750000, 256.876525878906250000, 0.000854492187500000, 38.750610351562500000, 16026, 33.0, 42736
Erlang, spectral-norm, 25,398.675048828125000000, 257.041320800781250000, 0.000000000000000000, 38.716003417968750000, 16012, 33.0, 42772
Erlang, spectral-norm, 25,399.013366699218750000, 257.287658691406250000, 0.000793457031250000, 38.743103027343750000, 16023, 32.5, 42848
Erlang, spectral-norm, 25,399.453979492187500000, 257.339294433593750000, 0.000000000000000000, 38.785766601562500000, 16041, 32.8, 41932
Erlang, spectral-norm, 25,398.668701171875000000, 257.039123535156250000, 0.000000000000000000, 38.711059570312500000, 16010, 33.0, 43616
Erlang, spectral-norm, 25,399.411010742187500000, 257.411804199218750000, 0.000915527343750000, 38.799133300781250000, 16046, 32.5, 41756
Erlang, spectral-norm, 25,398.914428710937500000, 257.087036132812500000, 0.000000000000000000, 38.736145019531250000, 16020, 33.5, 43232
Erlang, spectral-norm, 25,398.702636718750000000, 257.061218261718750000, 0.000000000000000000, 38.714965820312500000, 16011, 32.8, 42292
Erlang, spectral-norm, 25,398.649963378906250000, 257.004455566406250000, 0.000000000000000000, 38.709106445312500000, 16010, 33.0, 41952
