Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
FSharp, regex-redux, 25,62.106689453125000000, 37.454223632812500000, 0.000000000000000000, 7.831665039062500000, 2732, 30.0, 965344
FSharp, regex-redux, 25,61.989013671875000000, 37.310668945312500000, 0.000000000000000000, 7.812133789062500000, 2733, 30.2, 965428
FSharp, regex-redux, 25,62.407226562500000000, 37.474914550781250000, 0.000000000000000000, 7.869812011718750000, 2760, 30.5, 964960
FSharp, regex-redux, 25,62.695739746093750000, 37.695068359375000000, 0.000000000000000000, 7.924438476562500000, 2780, 31.2, 964828
FSharp, regex-redux, 25,61.422607421875000000, 37.161499023437500000, 0.000000000000000000, 7.739685058593750000, 2691, 30.2, 1043948
FSharp, regex-redux, 25,62.152954101562500000, 37.361083984375000000, 0.000000000000000000, 7.853515625000000000, 2749, 30.8, 965404
FSharp, regex-redux, 25,61.964233398437500000, 37.247619628906250000, 0.000000000000000000, 7.832580566406250000, 2745, 30.5, 965388
FSharp, regex-redux, 25,61.419616699218750000, 37.141601562500000000, 0.000000000000000000, 7.747497558593750000, 2699, 30.5, 965048
FSharp, regex-redux, 25,61.478820800781250000, 37.163391113281250000, 0.000000000000000000, 7.771423339843750000, 2705, 29.8, 1044244
FSharp, regex-redux, 25,61.356506347656250000, 37.190612792968750000, 0.000000000000000000, 7.718750000000000000, 2678, 31.0, 1044320
FSharp, regex-redux, 25,62.203491210937500000, 37.444946289062500000, 0.000000000000000000, 7.849670410156250000, 2739, 30.5, 965020
FSharp, regex-redux, 25,62.375671386718750000, 37.503051757812500000, 0.000000000000000000, 7.852233886718750000, 2752, 30.8, 965152
FSharp, regex-redux, 25,61.389831542968750000, 37.210144042968750000, 0.000000000000000000, 7.671081542968750000, 2665, 30.5, 1044248
FSharp, regex-redux, 25,61.982116699218750000, 37.359069824218750000, 0.000000000000000000, 7.767028808593750000, 2719, 30.5, 965356
FSharp, regex-redux, 25,62.296203613281250000, 37.508972167968750000, 0.000000000000000000, 7.822631835937500000, 2736, 31.0, 965084
FSharp, regex-redux, 25,62.135925292968750000, 37.429199218750000000, 0.000000000000000000, 7.785461425781250000, 2724, 31.0, 965112
FSharp, regex-redux, 25,62.172851562500000000, 37.467102050781250000, 0.000000000000000000, 7.782958984375000000, 2726, 30.0, 965400
FSharp, regex-redux, 25,61.461669921875000000, 37.226257324218750000, 0.000000000000000000, 7.726013183593750000, 2686, 30.8, 1044324
FSharp, regex-redux, 25,62.487792968750000000, 37.613830566406250000, 0.000000000000000000, 7.849060058593750000, 2747, 30.2, 965200
FSharp, regex-redux, 25,61.976013183593750000, 37.394531250000000000, 0.000000000000000000, 7.789123535156250000, 2719, 31.5, 964580
