Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
FSharp, spectral-norm, 25,42.649230957031250000, 27.931213378906250000, 0.000000000000000000, 4.249328613281250000, 1754, 31.5, 35736
FSharp, spectral-norm, 25,42.471557617187500000, 27.904663085937500000, 0.000000000000000000, 4.210449218750000000, 1738, 31.2, 35524
FSharp, spectral-norm, 25,42.703063964843750000, 27.976684570312500000, 0.000000000000000000, 4.236572265625000000, 1749, 30.8, 35636
FSharp, spectral-norm, 25,42.624755859375000000, 27.930847167968750000, 0.000000000000000000, 4.227172851562500000, 1745, 31.0, 35596
FSharp, spectral-norm, 25,42.569885253906250000, 27.927246093750000000, 0.000000000000000000, 4.205627441406250000, 1736, 30.8, 35208
FSharp, spectral-norm, 25,42.618896484375000000, 27.982482910156250000, 0.000000000000000000, 4.210266113281250000, 1739, 30.8, 35404
FSharp, spectral-norm, 25,42.600097656250000000, 27.929504394531250000, 0.000000000000000000, 4.229736328125000000, 1746, 30.5, 35704
FSharp, spectral-norm, 25,42.611633300781250000, 27.952087402343750000, 0.000000000000000000, 4.220153808593750000, 1743, 31.5, 35400
FSharp, spectral-norm, 25,42.681274414062500000, 27.914123535156250000, 0.000000000000000000, 4.254150390625000000, 1756, 30.8, 35728
FSharp, spectral-norm, 25,42.428894042968750000, 27.914672851562500000, 0.000000000000000000, 4.185974121093750000, 1729, 31.2, 35640
FSharp, spectral-norm, 25,42.477722167968750000, 27.901367187500000000, 0.000000000000000000, 4.222351074218750000, 1743, 31.2, 35504
FSharp, spectral-norm, 25,42.579772949218750000, 27.957031250000000000, 0.000000000000000000, 4.205444335937500000, 1736, 31.2, 35744
FSharp, spectral-norm, 25,42.439758300781250000, 27.932739257812500000, 0.000000000000000000, 4.159667968750000000, 1717, 31.2, 35616
FSharp, spectral-norm, 25,42.556823730468750000, 27.966186523437500000, 0.000000000000000000, 4.171447753906250000, 1722, 31.5, 35540
FSharp, spectral-norm, 25,42.524169921875000000, 27.941406250000000000, 0.000000000000000000, 4.169067382812500000, 1721, 31.5, 35668
FSharp, spectral-norm, 25,42.551269531250000000, 27.975341796875000000, 0.000000000000000000, 4.173767089843750000, 1724, 31.2, 35548
FSharp, spectral-norm, 25,42.371093750000000000, 27.909973144531250000, 0.000000000000000000, 4.157165527343750000, 1717, 31.0, 35580
FSharp, spectral-norm, 25,42.505065917968750000, 27.947509765625000000, 0.000000000000000000, 4.166687011718750000, 1720, 31.0, 35696
FSharp, spectral-norm, 25,42.680114746093750000, 28.043029785156250000, 0.000000000000000000, 4.193237304687500000, 1731, 31.2, 35152
FSharp, spectral-norm, 25,42.499145507812500000, 27.969421386718750000, 0.000000000000000000, 4.164184570312500000, 1720, 30.8, 35320
