Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, k-nucleotide, 25,239.556945800781250000, 156.910339355468750000, 0.000000000000000000, 24.546081542968750000, 9655, 31.5, 166288
Go, k-nucleotide, 25,239.244750976562500000, 156.651000976562500000, 0.000793457031250000, 24.559753417968750000, 9651, 32.0, 166408
Go, k-nucleotide, 25,238.610229492187500000, 156.138854980468750000, 0.000000000000000000, 24.391967773437500000, 9627, 32.5, 166408
Go, k-nucleotide, 25,240.372192382812500000, 157.249755859375000000, 0.000000000000000000, 24.630371093750000000, 9687, 32.5, 166372
Go, k-nucleotide, 25,239.795166015625000000, 156.802917480468750000, 0.000793457031250000, 24.698303222656250000, 9669, 32.2, 166340
Go, k-nucleotide, 25,237.836120605468750000, 155.763793945312500000, 0.000000000000000000, 24.220275878906250000, 9589, 32.2, 166300
Go, k-nucleotide, 25,240.411132812500000000, 157.182739257812500000, 0.000000000000000000, 24.650939941406250000, 9699, 31.5, 166380
Go, k-nucleotide, 25,238.305603027343750000, 156.050354003906250000, 0.000793457031250000, 24.265258789062500000, 9610, 32.0, 166304
Go, k-nucleotide, 25,239.315917968750000000, 156.555847167968750000, 0.000000000000000000, 24.442443847656250000, 9654, 32.0, 166328
Go, k-nucleotide, 25,239.263000488281250000, 156.460144042968750000, 0.000000000000000000, 24.539184570312500000, 9653, 32.8, 166340
Go, k-nucleotide, 25,239.274047851562500000, 156.594787597656250000, 0.000000000000000000, 24.545532226562500000, 9652, 32.2, 166440
Go, k-nucleotide, 25,237.557250976562500000, 155.456848144531250000, 0.000000000000000000, 24.410766601562500000, 9596, 32.2, 166364
Go, k-nucleotide, 25,238.488342285156250000, 156.023193359375000000, 0.000000000000000000, 24.395568847656250000, 9622, 32.2, 166416
Go, k-nucleotide, 25,238.467346191406250000, 156.120788574218750000, 0.000000000000000000, 24.289306640625000000, 9615, 31.8, 165812
Go, k-nucleotide, 25,237.817626953125000000, 155.611267089843750000, 0.000000000000000000, 24.234436035156250000, 9593, 32.0, 166412
Go, k-nucleotide, 25,239.249877929687500000, 156.598022460937500000, 0.000000000000000000, 24.469665527343750000, 9644, 32.5, 166364
Go, k-nucleotide, 25,237.619689941406250000, 155.405883789062500000, 0.000000000000000000, 24.215881347656250000, 9587, 33.2, 166312
Go, k-nucleotide, 25,239.518066406250000000, 156.582946777343750000, 0.000000000000000000, 24.636474609375000000, 9671, 32.5, 166316
Go, k-nucleotide, 25,240.440612792968750000, 157.326843261718750000, 0.000000000000000000, 24.720825195312500000, 9694, 32.2, 166312
Go, k-nucleotide, 25,238.639587402343750000, 156.382385253906250000, 0.000000000000000000, 24.355102539062500000, 9625, 32.0, 166364
