Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, n-body, 25,98.128356933593750000, 48.674926757812500000, 0.000000000000000000, 13.173461914062500000, 5452, 30.5, 1756
Go, n-body, 25,98.104980468750000000, 48.663818359375000000, 0.000000000000000000, 13.173217773437500000, 5452, 30.5, 1752
Go, n-body, 25,98.029724121093750000, 48.629638671875000000, 0.000000000000000000, 13.173339843750000000, 5452, 30.8, 1788
Go, n-body, 25,98.060668945312500000, 48.650268554687500000, 0.000000000000000000, 13.176269531250000000, 5452, 30.2, 1784
Go, n-body, 25,98.119812011718750000, 48.686767578125000000, 0.000000000000000000, 13.173339843750000000, 5452, 30.5, 1756
Go, n-body, 25,98.129394531250000000, 48.682067871093750000, 0.000000000000000000, 13.173400878906250000, 5452, 30.2, 1752
Go, n-body, 25,98.064697265625000000, 48.652343750000000000, 0.000793457031250000, 13.173278808593750000, 5452, 30.5, 1756
Go, n-body, 25,97.925415039062500000, 48.569274902343750000, 0.000000000000000000, 13.173339843750000000, 5452, 30.8, 1756
Go, n-body, 25,97.680480957031250000, 48.445739746093750000, 0.000000000000000000, 13.173278808593750000, 5452, 30.5, 1752
Go, n-body, 25,98.149536132812500000, 48.692565917968750000, 0.000000000000000000, 13.175720214843750000, 5452, 30.0, 1756
Go, n-body, 25,98.122192382812500000, 48.676330566406250000, 0.000000000000000000, 13.173461914062500000, 5452, 30.2, 1760
Go, n-body, 25,98.181640625000000000, 48.594177246093750000, 0.000000000000000000, 13.204772949218750000, 5465, 29.2, 1784
Go, n-body, 25,98.081726074218750000, 48.664245605468750000, 0.000000000000000000, 13.173217773437500000, 5452, 30.2, 1760
Go, n-body, 25,98.046691894531250000, 48.617980957031250000, 0.000854492187500000, 13.173278808593750000, 5452, 30.0, 1784
Go, n-body, 25,98.135375976562500000, 48.682495117187500000, 0.000000000000000000, 13.176879882812500000, 5452, 29.8, 1756
Go, n-body, 25,97.990234375000000000, 48.593750000000000000, 0.000000000000000000, 13.175720214843750000, 5452, 29.5, 1792
Go, n-body, 25,97.988647460937500000, 48.589782714843750000, 0.000000000000000000, 13.173278808593750000, 5452, 30.2, 1752
Go, n-body, 25,98.058715820312500000, 48.617675781250000000, 0.000000000000000000, 13.173217773437500000, 5452, 30.0, 1760
Go, n-body, 25,97.638488769531250000, 48.407165527343750000, 0.000000000000000000, 13.173156738281250000, 5452, 29.5, 1788
Go, n-body, 25,97.699218750000000000, 48.453918457031250000, 0.000000000000000000, 13.178894042968750000, 5453, 30.2, 1752
