Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, regex-redux, 25,80.101257324218750000, 46.808776855468750000, 0.000000000000000000, 9.581054687500000000, 3735, 30.5, 301800
Go, regex-redux, 25,79.327636718750000000, 46.296813964843750000, 0.000000000000000000, 9.546142578125000000, 3709, 30.2, 302060
Go, regex-redux, 25,79.042663574218750000, 46.180114746093750000, 0.000732421875000000, 9.526306152343750000, 3697, 31.0, 301988
Go, regex-redux, 25,79.688293457031250000, 46.600280761718750000, 0.000000000000000000, 9.510314941406250000, 3699, 29.8, 301112
Go, regex-redux, 25,80.132873535156250000, 46.611145019531250000, 0.000000000000000000, 9.690673828125000000, 3757, 30.0, 301808
Go, regex-redux, 25,78.663024902343750000, 46.075134277343750000, 0.000000000000000000, 9.457580566406250000, 3665, 30.5, 301968
Go, regex-redux, 25,80.333618164062500000, 46.847045898437500000, 0.000000000000000000, 9.630493164062500000, 3742, 30.8, 302052
Go, regex-redux, 25,79.526367187500000000, 46.495300292968750000, 0.000000000000000000, 9.518310546875000000, 3698, 31.2, 302116
Go, regex-redux, 25,78.764587402343750000, 46.012878417968750000, 0.000000000000000000, 9.495971679687500000, 3680, 30.2, 301840
Go, regex-redux, 25,79.838134765625000000, 46.463928222656250000, 0.000000000000000000, 9.656127929687500000, 3760, 30.8, 302416
Go, regex-redux, 25,80.904846191406250000, 47.098144531250000000, 0.000000000000000000, 9.696228027343750000, 3770, 31.2, 302604
Go, regex-redux, 25,79.723632812500000000, 46.374450683593750000, 0.000000000000000000, 9.615966796875000000, 3739, 31.2, 302296
Go, regex-redux, 25,80.127197265625000000, 46.663269042968750000, 0.000000000000000000, 9.640502929687500000, 3750, 30.8, 301640
Go, regex-redux, 25,80.954772949218750000, 47.033020019531250000, 0.000000000000000000, 9.752746582031250000, 3803, 30.2, 301768
Go, regex-redux, 25,80.115539550781250000, 46.667541503906250000, 0.000000000000000000, 9.609619140625000000, 3738, 31.2, 302104
Go, regex-redux, 25,80.401794433593750000, 47.010009765625000000, 0.000000000000000000, 9.649719238281250000, 3741, 31.2, 302780
Go, regex-redux, 25,80.171752929687500000, 46.791992187500000000, 0.000000000000000000, 9.593933105468750000, 3728, 31.5, 301840
Go, regex-redux, 25,80.268554687500000000, 46.792419433593750000, 0.000000000000000000, 9.656677246093750000, 3758, 31.5, 301820
Go, regex-redux, 25,80.692443847656250000, 47.081237792968750000, 0.000000000000000000, 9.655212402343750000, 3754, 30.5, 302940
Go, regex-redux, 25,79.621093750000000000, 46.469848632812500000, 0.000793457031250000, 9.559143066406250000, 3710, 31.0, 302196
