Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Haskell, fannkuch-redux, 25,840.149780273437500000, 512.381042480468750000, 0.000976562500000000, 207.351318359375000000, 33868, 37.5, 418976
Haskell, fannkuch-redux, 25,874.538879394531250000, 531.567077636718750000, 0.000915527343750000, 221.366882324218750000, 35247, 36.8, 419440
Haskell, fannkuch-redux, 25,815.646606445312500000, 498.534851074218750000, 0.000976562500000000, 196.564208984375000000, 32937, 37.2, 424020
Haskell, fannkuch-redux, 25,873.080871582031250000, 530.480041503906250000, 0.000915527343750000, 221.291259765625000000, 35194, 37.0, 299884
Haskell, fannkuch-redux, 25,814.509094238281250000, 496.923095703125000000, 0.000000000000000000, 197.320312500000000000, 32837, 37.2, 419268
Haskell, fannkuch-redux, 25,845.125183105468750000, 514.484436035156250000, 0.000000000000000000, 209.092773437500000000, 34067, 37.0, 419608
Haskell, fannkuch-redux, 25,802.662475585937500000, 489.576843261718750000, 0.000000000000000000, 193.595520019531250000, 32358, 37.2, 419488
Haskell, fannkuch-redux, 25,875.619262695312500000, 531.467407226562500000, 0.000000000000000000, 222.431884765625000000, 35307, 37.2, 419560
Haskell, fannkuch-redux, 25,799.221252441406250000, 487.703857421875000000, 0.000000000000000000, 192.954406738281250000, 32218, 36.5, 419308
Haskell, fannkuch-redux, 25,870.222351074218750000, 527.399658203125000000, 0.000915527343750000, 220.714660644531250000, 35078, 37.5, 419052
Haskell, fannkuch-redux, 25,805.884643554687500000, 491.761352539062500000, 0.000976562500000000, 194.461853027343750000, 32508, 37.0, 419396
Haskell, fannkuch-redux, 25,823.881164550781250000, 500.515869140625000000, 0.000976562500000000, 204.279418945312500000, 33223, 36.8, 419352
Haskell, fannkuch-redux, 25,871.999694824218750000, 529.370300292968750000, 0.000976562500000000, 221.149597167968750000, 35127, 37.0, 416892
Haskell, fannkuch-redux, 25,856.467163085937500000, 520.382751464843750000, 0.000915527343750000, 213.652832031250000000, 34541, 37.5, 541568
Haskell, fannkuch-redux, 25,859.874267578125000000, 522.979431152343750000, 0.000915527343750000, 214.373779296875000000, 34638, 37.5, 419228
Haskell, fannkuch-redux, 25,871.175659179687500000, 528.170715332031250000, 0.000915527343750000, 220.245483398437500000, 35097, 37.0, 419440
Haskell, fannkuch-redux, 25,866.115417480468750000, 525.535827636718750000, 0.000976562500000000, 216.132080078125000000, 34922, 37.0, 541300
Haskell, fannkuch-redux, 25,808.608032226562500000, 492.726257324218750000, 0.000915527343750000, 197.011291503906250000, 32578, 37.0, 418916
Haskell, fannkuch-redux, 25,803.341064453125000000, 490.078735351562500000, 0.000976562500000000, 193.845458984375000000, 32378, 37.8, 419388
Haskell, fannkuch-redux, 25,807.033020019531250000, 491.876464843750000000, 0.000976562500000000, 194.335388183593750000, 32527, 36.8, 419424
