Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Haskell, n-body, 25,103.641540527343750000, 52.268066406250000000, 0.000000000000000000, 13.758056640625000000, 5693, 34.5, 8488
Haskell, n-body, 25,104.102050781250000000, 52.562072753906250000, 0.000000000000000000, 13.755126953125000000, 5692, 34.8, 8428
Haskell, n-body, 25,103.172973632812500000, 51.943542480468750000, 0.000000000000000000, 13.757690429687500000, 5693, 35.0, 8052
Haskell, n-body, 25,104.342712402343750000, 52.577575683593750000, 0.000000000000000000, 13.830993652343750000, 5723, 34.8, 8416
Haskell, n-body, 25,103.449096679687500000, 52.091064453125000000, 0.000915527343750000, 13.755126953125000000, 5692, 34.2, 8140
Haskell, n-body, 25,104.132141113281250000, 52.498840332031250000, 0.000000000000000000, 13.827880859375000000, 5722, 34.0, 7920
Haskell, n-body, 25,103.852478027343750000, 52.339660644531250000, 0.000000000000000000, 13.803771972656250000, 5713, 33.8, 8204
Haskell, n-body, 25,104.080749511718750000, 52.435913085937500000, 0.000000000000000000, 13.827941894531250000, 5723, 34.0, 8420
Haskell, n-body, 25,103.260437011718750000, 51.981628417968750000, 0.000000000000000000, 13.755004882812500000, 5692, 33.8, 8036
Haskell, n-body, 25,103.525573730468750000, 52.167785644531250000, 0.000000000000000000, 13.830322265625000000, 5723, 34.2, 8204
Haskell, n-body, 25,103.954284667968750000, 52.385681152343750000, 0.000915527343750000, 13.851806640625000000, 5732, 34.2, 8420
Haskell, n-body, 25,103.905761718750000000, 52.306518554687500000, 0.000000000000000000, 13.864074707031250000, 5738, 33.5, 8296
Haskell, n-body, 25,102.985900878906250000, 51.924865722656250000, 0.000000000000000000, 13.706848144531250000, 5673, 33.5, 7992
Haskell, n-body, 25,103.133117675781250000, 52.059997558593750000, 0.000000000000000000, 13.730773925781250000, 5682, 33.8, 8488
Haskell, n-body, 25,102.932739257812500000, 51.909240722656250000, 0.000000000000000000, 13.730895996093750000, 5683, 33.8, 8064
Haskell, n-body, 25,103.433898925781250000, 52.214111328125000000, 0.000000000000000000, 13.757873535156250000, 5693, 33.2, 8324
Haskell, n-body, 25,103.177001953125000000, 52.043395996093750000, 0.000000000000000000, 13.755187988281250000, 5693, 32.8, 8412
Haskell, n-body, 25,103.585815429687500000, 52.272216796875000000, 0.000854492187500000, 13.779479980468750000, 5702, 32.8, 8000
Haskell, n-body, 25,103.423706054687500000, 52.187927246093750000, 0.000000000000000000, 13.780273437500000000, 5702, 33.2, 7984
Haskell, n-body, 25,103.234191894531250000, 52.053405761718750000, 0.000000000000000000, 13.709167480468750000, 5673, 32.8, 8424
