Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
JavaScript, fannkuch-redux, 25,344.724548339843750000, 227.940429687500000000, 0.000000000000000000, 33.555603027343750000, 13865, 33.2, 81324
JavaScript, fannkuch-redux, 25,330.934753417968750000, 218.705627441406250000, 0.000854492187500000, 32.220336914062500000, 13312, 32.5, 80848
JavaScript, fannkuch-redux, 25,336.848327636718750000, 222.748596191406250000, 0.000000000000000000, 32.798828125000000000, 13552, 33.5, 80612
JavaScript, fannkuch-redux, 25,339.274047851562500000, 224.009094238281250000, 0.000000000000000000, 33.027221679687500000, 13647, 32.8, 81956
JavaScript, fannkuch-redux, 25,344.959594726562500000, 227.903076171875000000, 0.000000000000000000, 33.587036132812500000, 13878, 32.2, 82048
JavaScript, fannkuch-redux, 25,344.356994628906250000, 227.574707031250000000, 0.000000000000000000, 33.519531250000000000, 13850, 32.5, 81832
JavaScript, fannkuch-redux, 25,338.172180175781250000, 223.488647460937500000, 0.000000000000000000, 32.937988281250000000, 13610, 32.0, 81796
JavaScript, fannkuch-redux, 25,331.857055664062500000, 219.313903808593750000, 0.000854492187500000, 32.316833496093750000, 13352, 32.2, 81888
JavaScript, fannkuch-redux, 25,350.894958496093750000, 231.686706542968750000, 0.000000000000000000, 34.165161132812500000, 14116, 32.8, 81276
JavaScript, fannkuch-redux, 25,330.354431152343750000, 218.461730957031250000, 0.000000000000000000, 32.138427734375000000, 13279, 32.8, 81032
JavaScript, fannkuch-redux, 25,338.107543945312500000, 223.397949218750000000, 0.000000000000000000, 32.890075683593750000, 13589, 32.8, 81404
JavaScript, fannkuch-redux, 25,338.439514160156250000, 223.597473144531250000, 0.000000000000000000, 32.996398925781250000, 13634, 33.5, 80740
JavaScript, fannkuch-redux, 25,344.197570800781250000, 227.513061523437500000, 0.000000000000000000, 33.474670410156250000, 13833, 33.0, 80640
JavaScript, fannkuch-redux, 25,350.941101074218750000, 231.783752441406250000, 0.000000000000000000, 34.131591796875000000, 14103, 32.5, 81412
JavaScript, fannkuch-redux, 25,331.175170898437500000, 219.008850097656250000, 0.000000000000000000, 32.219055175781250000, 13312, 32.2, 82180
JavaScript, fannkuch-redux, 25,337.206726074218750000, 223.113891601562500000, 0.000000000000000000, 32.793090820312500000, 13550, 33.0, 80928
JavaScript, fannkuch-redux, 25,337.894775390625000000, 223.452575683593750000, 0.000000000000000000, 32.873718261718750000, 13582, 32.5, 81688
JavaScript, fannkuch-redux, 25,344.732727050781250000, 227.909484863281250000, 0.000000000000000000, 33.535583496093750000, 13856, 32.5, 81704
JavaScript, fannkuch-redux, 25,330.501770019531250000, 218.494995117187500000, 0.000854492187500000, 32.159851074218750000, 13288, 32.5, 80948
JavaScript, fannkuch-redux, 25,349.912475585937500000, 231.323120117187500000, 0.000000000000000000, 34.041503906250000000, 14065, 33.0, 81280
