Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
JavaScript, n-body, 25,134.906738281250000000, 68.320861816406250000, 0.000000000000000000, 17.368530273437500000, 7185, 30.5, 46244
JavaScript, n-body, 25,134.805847167968750000, 68.239318847656250000, 0.000854492187500000, 17.379028320312500000, 7189, 29.5, 46196
JavaScript, n-body, 25,136.017578125000000000, 68.874694824218750000, 0.000000000000000000, 17.499267578125000000, 7240, 29.5, 46188
JavaScript, n-body, 25,136.100097656250000000, 68.969909667968750000, 0.000000000000000000, 17.499511718750000000, 7239, 29.8, 46112
JavaScript, n-body, 25,135.636352539062500000, 68.591613769531250000, 0.000000000000000000, 17.497497558593750000, 7238, 30.2, 46084
JavaScript, n-body, 25,135.590820312500000000, 68.516967773437500000, 0.000000000000000000, 17.603576660156250000, 7281, 29.8, 46100
JavaScript, n-body, 25,134.827209472656250000, 68.181945800781250000, 0.000793457031250000, 17.429077148437500000, 7210, 30.0, 46168
JavaScript, n-body, 25,135.024536132812500000, 68.195556640625000000, 0.000000000000000000, 17.460693359375000000, 7224, 29.0, 46104
JavaScript, n-body, 25,136.878479003906250000, 69.269897460937500000, 0.000000000000000000, 17.644897460937500000, 7299, 30.2, 46272
JavaScript, n-body, 25,137.965026855468750000, 69.761840820312500000, 0.000000000000000000, 17.729614257812500000, 7334, 30.5, 46124
JavaScript, n-body, 25,137.830749511718750000, 69.770935058593750000, 0.000000000000000000, 17.705139160156250000, 7324, 29.8, 46156
JavaScript, n-body, 25,134.680114746093750000, 68.161499023437500000, 0.000854492187500000, 17.446228027343750000, 7217, 30.5, 46144
JavaScript, n-body, 25,133.979797363281250000, 67.784973144531250000, 0.000000000000000000, 17.371093750000000000, 7186, 29.8, 46180
JavaScript, n-body, 25,134.924072265625000000, 68.337341308593750000, 0.000000000000000000, 17.424377441406250000, 7208, 30.8, 46188
JavaScript, n-body, 25,134.826416015625000000, 68.228149414062500000, 0.000000000000000000, 17.424499511718750000, 7208, 29.8, 46148
JavaScript, n-body, 25,137.831909179687500000, 69.728393554687500000, 0.000000000000000000, 17.710388183593750000, 7326, 30.0, 46128
JavaScript, n-body, 25,135.326660156250000000, 68.504760742187500000, 0.000000000000000000, 17.482543945312500000, 7231, 29.2, 46188
JavaScript, n-body, 25,135.346740722656250000, 68.567810058593750000, 0.000854492187500000, 17.383178710937500000, 7190, 30.0, 46124
JavaScript, n-body, 25,134.042053222656250000, 67.856262207031250000, 0.000000000000000000, 17.378173828125000000, 7189, 30.5, 46144
JavaScript, n-body, 25,135.754272460937500000, 68.669311523437500000, 0.000000000000000000, 17.449157714843750000, 7218, 28.8, 46040
