Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Julia, binary-trees, 25,343.706787109375000000, 197.247863769531250000, 0.000793457031250000, 48.487976074218750000, 15866, 31.2, 474396
Julia, binary-trees, 25,346.532653808593750000, 198.498168945312500000, 0.000000000000000000, 49.069946289062500000, 16048, 31.5, 474588
Julia, binary-trees, 25,343.368469238281250000, 197.096801757812500000, 0.000793457031250000, 48.506408691406250000, 15860, 31.8, 475052
Julia, binary-trees, 25,345.663330078125000000, 198.078918457031250000, 0.000000000000000000, 49.173278808593750000, 16043, 31.2, 475164
Julia, binary-trees, 25,341.762756347656250000, 195.996948242187500000, 0.000915527343750000, 48.347045898437500000, 15796, 31.5, 474464
Julia, binary-trees, 25,345.789672851562500000, 198.034851074218750000, 0.000000000000000000, 49.154296875000000000, 16032, 31.0, 473848
Julia, binary-trees, 25,345.161071777343750000, 198.257629394531250000, 0.000915527343750000, 48.913269042968750000, 15934, 31.8, 475048
Julia, binary-trees, 25,345.580627441406250000, 198.403076171875000000, 0.000000000000000000, 49.180786132812500000, 15999, 31.0, 474916
Julia, binary-trees, 25,342.575317382812500000, 196.675659179687500000, 0.000000000000000000, 48.475585937500000000, 15810, 32.0, 474416
Julia, binary-trees, 25,345.669555664062500000, 198.634399414062500000, 0.000000000000000000, 49.049682617187500000, 15931, 31.0, 474676
Julia, binary-trees, 25,344.396545410156250000, 197.403015136718750000, 0.000000000000000000, 48.820922851562500000, 15954, 31.5, 474976
Julia, binary-trees, 25,345.702941894531250000, 198.519287109375000000, 0.000000000000000000, 49.232421875000000000, 15970, 30.8, 474228
Julia, binary-trees, 25,345.058959960937500000, 197.977661132812500000, 0.000000000000000000, 49.018249511718750000, 15955, 30.2, 474576
Julia, binary-trees, 25,344.523803710937500000, 197.643920898437500000, 0.000915527343750000, 48.905944824218750000, 15935, 31.0, 474368
Julia, binary-trees, 25,342.491943359375000000, 196.856506347656250000, 0.000000000000000000, 48.353515625000000000, 15773, 31.2, 474932
Julia, binary-trees, 25,342.601623535156250000, 197.012084960937500000, 0.000793457031250000, 48.435974121093750000, 15782, 31.2, 474532
Julia, binary-trees, 25,343.695495605468750000, 197.627868652343750000, 0.000000000000000000, 48.510681152343750000, 15806, 30.8, 474552
Julia, binary-trees, 25,341.699645996093750000, 196.629760742187500000, 0.000854492187500000, 48.261962890625000000, 15705, 31.2, 474524
Julia, binary-trees, 25,344.488464355468750000, 197.834167480468750000, 0.000000000000000000, 48.623596191406250000, 15882, 31.2, 474448
Julia, binary-trees, 25,342.799133300781250000, 196.555053710937500000, 0.000976562500000000, 48.597229003906250000, 15875, 31.0, 474360
