Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Julia, fannkuch-redux, 25,469.323120117187500000, 239.059509277343750000, 0.000915527343750000, 59.461914062500000000, 24564, 30.5, 212180
Julia, fannkuch-redux, 25,472.736145019531250000, 240.715820312500000000, 0.000000000000000000, 59.432250976562500000, 24552, 31.0, 212456
Julia, fannkuch-redux, 25,467.820068359375000000, 238.309570312500000000, 0.000000000000000000, 59.461914062500000000, 24564, 31.0, 212192
Julia, fannkuch-redux, 25,470.429382324218750000, 239.455566406250000000, 0.000915527343750000, 59.488525390625000000, 24575, 31.2, 212268
Julia, fannkuch-redux, 25,466.898376464843750000, 237.488281250000000000, 0.000000000000000000, 59.453796386718750000, 24560, 30.8, 211876
Julia, fannkuch-redux, 25,467.106018066406250000, 237.628417968750000000, 0.000915527343750000, 59.419189453125000000, 24545, 30.5, 211808
Julia, fannkuch-redux, 25,468.872009277343750000, 238.524169921875000000, 0.000915527343750000, 59.548950195312500000, 24599, 30.8, 212444
Julia, fannkuch-redux, 25,467.484313964843750000, 237.757019042968750000, 0.000000000000000000, 59.530944824218750000, 24591, 30.8, 212408
Julia, fannkuch-redux, 25,467.488830566406250000, 237.779541015625000000, 0.000915527343750000, 59.423706054687500000, 24549, 30.0, 212512
Julia, fannkuch-redux, 25,465.644653320312500000, 236.839111328125000000, 0.000000000000000000, 59.489562988281250000, 24575, 30.2, 212348
Julia, fannkuch-redux, 25,465.623779296875000000, 236.859863281250000000, 0.000000000000000000, 59.500671386718750000, 24580, 30.0, 211820
Julia, fannkuch-redux, 25,464.780151367187500000, 236.301513671875000000, 0.000854492187500000, 59.470581054687500000, 24567, 31.0, 212180
Julia, fannkuch-redux, 25,464.415710449218750000, 236.149108886718750000, 0.000000000000000000, 59.506042480468750000, 24581, 30.5, 211808
Julia, fannkuch-redux, 25,464.134155273437500000, 235.987243652343750000, 0.000854492187500000, 59.516845703125000000, 24586, 30.8, 212568
Julia, fannkuch-redux, 25,464.629882812500000000, 236.271057128906250000, 0.000915527343750000, 59.481994628906250000, 24573, 30.8, 212188
Julia, fannkuch-redux, 25,465.797668457031250000, 236.966979980468750000, 0.000000000000000000, 59.477722167968750000, 24571, 30.8, 211828
Julia, fannkuch-redux, 25,466.401306152343750000, 237.313110351562500000, 0.000915527343750000, 59.494689941406250000, 24575, 30.5, 212236
Julia, fannkuch-redux, 25,466.179382324218750000, 237.171203613281250000, 0.000000000000000000, 59.487182617187500000, 24573, 30.5, 212504
Julia, fannkuch-redux, 25,465.545898437500000000, 236.810791015625000000, 0.000915527343750000, 59.460388183593750000, 24565, 30.5, 212392
Julia, fannkuch-redux, 25,463.927673339843750000, 235.994384765625000000, 0.000854492187500000, 59.400085449218750000, 24539, 30.2, 212444
