Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Julia, n-body, 25,69.389831542968750000, 46.473144531250000000, 0.000000000000000000, 9.204284667968750000, 3753, 29.5, 227484
Julia, n-body, 25,70.717773437500000000, 47.447570800781250000, 0.000000000000000000, 9.198852539062500000, 3752, 29.8, 227360
Julia, n-body, 25,68.988647460937500000, 46.167480468750000000, 0.000000000000000000, 9.212341308593750000, 3756, 30.0, 227304
Julia, n-body, 25,70.264343261718750000, 47.097656250000000000, 0.000000000000000000, 9.264648437500000000, 3777, 29.2, 227524
Julia, n-body, 25,68.937988281250000000, 46.140136718750000000, 0.000000000000000000, 9.209655761718750000, 3755, 29.8, 227512
Julia, n-body, 25,68.742797851562500000, 46.018676757812500000, 0.000000000000000000, 9.200744628906250000, 3753, 30.0, 227336
Julia, n-body, 25,68.900146484375000000, 46.026855468750000000, 0.000000000000000000, 9.256408691406250000, 3776, 30.0, 227312
Julia, n-body, 25,69.150085449218750000, 46.300231933593750000, 0.000000000000000000, 9.206176757812500000, 3754, 29.8, 227500
Julia, n-body, 25,68.747741699218750000, 46.013916015625000000, 0.000000000000000000, 9.204895019531250000, 3754, 30.0, 227356
Julia, n-body, 25,68.917541503906250000, 46.140563964843750000, 0.000000000000000000, 9.206176757812500000, 3754, 30.0, 227436
Julia, n-body, 25,68.835021972656250000, 46.098632812500000000, 0.000000000000000000, 9.193359375000000000, 3750, 29.8, 227304
Julia, n-body, 25,69.239196777343750000, 46.212951660156250000, 0.000000000000000000, 9.277954101562500000, 3783, 29.0, 227420
Julia, n-body, 25,68.966918945312500000, 46.160888671875000000, 0.000000000000000000, 9.212341308593750000, 3756, 29.8, 227468
Julia, n-body, 25,69.456359863281250000, 46.524169921875000000, 0.000000000000000000, 9.202941894531250000, 3752, 29.8, 226984
Julia, n-body, 25,69.493041992187500000, 46.543151855468750000, 0.000000000000000000, 9.208496093750000000, 3756, 29.2, 227304
Julia, n-body, 25,68.765869140625000000, 46.042114257812500000, 0.000000000000000000, 9.200988769531250000, 3753, 29.5, 227344
Julia, n-body, 25,69.647399902343750000, 46.671630859375000000, 0.000000000000000000, 9.203613281250000000, 3753, 29.8, 227668
Julia, n-body, 25,70.913574218750000000, 47.557373046875000000, 0.000000000000000000, 9.278564453125000000, 3786, 29.8, 227196
Julia, n-body, 25,68.716918945312500000, 46.014953613281250000, 0.000000000000000000, 9.196899414062500000, 3751, 29.2, 227768
Julia, n-body, 25,74.881774902343750000, 50.023193359375000000, 0.000000000000000000, 10.058837890625000000, 4108, 29.2, 227524
