Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Julia, regex-redux, 25,47.728698730468750000, 24.263977050781250000, 0.000000000000000000, 6.487792968750000000, 2491, 28.5, 410456
Julia, regex-redux, 25,47.767272949218750000, 24.272827148437500000, 0.000000000000000000, 6.485168457031250000, 2490, 28.8, 409676
Julia, regex-redux, 25,47.539489746093750000, 24.185668945312500000, 0.000000000000000000, 6.477416992187500000, 2486, 30.2, 409876
Julia, regex-redux, 25,47.250061035156250000, 24.025573730468750000, 0.000000000000000000, 6.472839355468750000, 2485, 30.0, 410148
Julia, regex-redux, 25,47.618652343750000000, 24.184265136718750000, 0.000000000000000000, 6.479675292968750000, 2488, 29.0, 410236
Julia, regex-redux, 25,47.750000000000000000, 24.255981445312500000, 0.000000000000000000, 6.481628417968750000, 2490, 29.5, 409700
Julia, regex-redux, 25,47.922729492187500000, 24.258911132812500000, 0.000000000000000000, 6.550598144531250000, 2517, 28.5, 410284
Julia, regex-redux, 25,47.967041015625000000, 24.376525878906250000, 0.000000000000000000, 6.491516113281250000, 2493, 28.8, 409892
Julia, regex-redux, 25,47.930175781250000000, 24.345397949218750000, 0.000000000000000000, 6.482177734375000000, 2490, 28.5, 409788
Julia, regex-redux, 25,47.747680664062500000, 24.279785156250000000, 0.000000000000000000, 6.494323730468750000, 2494, 30.5, 409760
Julia, regex-redux, 25,47.941894531250000000, 24.363647460937500000, 0.000000000000000000, 6.486267089843750000, 2490, 29.2, 410376
Julia, regex-redux, 25,48.071350097656250000, 24.330444335937500000, 0.000000000000000000, 6.593750000000000000, 2534, 29.8, 410220
Julia, regex-redux, 25,47.755859375000000000, 24.271362304687500000, 0.000000000000000000, 6.486755371093750000, 2490, 29.5, 409784
Julia, regex-redux, 25,47.464416503906250000, 24.136901855468750000, 0.000000000000000000, 6.479614257812500000, 2488, 29.5, 409756
Julia, regex-redux, 25,47.744995117187500000, 24.245971679687500000, 0.000000000000000000, 6.482421875000000000, 2489, 29.0, 410056
Julia, regex-redux, 25,47.807006835937500000, 24.286193847656250000, 0.000854492187500000, 6.491027832031250000, 2492, 28.2, 409832
Julia, regex-redux, 25,47.496276855468750000, 24.171386718750000000, 0.000000000000000000, 6.474426269531250000, 2486, 29.0, 410372
Julia, regex-redux, 25,47.600708007812500000, 24.213684082031250000, 0.000000000000000000, 6.474670410156250000, 2487, 30.0, 409940
Julia, regex-redux, 25,47.938781738281250000, 24.363342285156250000, 0.000000000000000000, 6.492370605468750000, 2493, 29.8, 409856
Julia, regex-redux, 25,48.067016601562500000, 24.436462402343750000, 0.000000000000000000, 6.513610839843750000, 2502, 29.0, 409924
