Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Lisp, binary-trees, 25,105.020446777343750000, 60.563049316406250000, 0.000000000000000000, 19.098144531250000000, 4680, 29.8, 302412
Lisp, binary-trees, 25,106.602966308593750000, 60.919372558593750000, 0.000793457031250000, 19.509399414062500000, 4827, 29.2, 290220
Lisp, binary-trees, 25,105.774902343750000000, 60.669250488281250000, 0.000000000000000000, 19.330017089843750000, 4769, 29.8, 288904
Lisp, binary-trees, 25,104.285034179687500000, 59.982910156250000000, 0.000000000000000000, 18.959960937500000000, 4678, 30.8, 291612
Lisp, binary-trees, 25,106.790466308593750000, 61.233398437500000000, 0.000000000000000000, 19.404296875000000000, 4811, 30.8, 315840
Lisp, binary-trees, 25,105.245971679687500000, 60.452575683593750000, 0.000000000000000000, 19.244750976562500000, 4720, 30.2, 339848
Lisp, binary-trees, 25,106.287170410156250000, 60.828430175781250000, 0.000000000000000000, 19.415405273437500000, 4794, 30.5, 349120
Lisp, binary-trees, 25,106.566467285156250000, 61.102905273437500000, 0.000000000000000000, 19.397949218750000000, 4772, 31.0, 322480
Lisp, binary-trees, 25,107.604736328125000000, 61.637451171875000000, 0.000000000000000000, 19.613830566406250000, 4849, 30.2, 319824
Lisp, binary-trees, 25,107.094604492187500000, 61.411315917968750000, 0.000854492187500000, 19.509094238281250000, 4806, 30.8, 333360
Lisp, binary-trees, 25,102.083923339843750000, 58.839965820312500000, 0.000000000000000000, 18.481628417968750000, 4556, 30.5, 337816
Lisp, binary-trees, 25,105.729675292968750000, 60.599487304687500000, 0.000000000000000000, 19.242126464843750000, 4764, 31.0, 323640
Lisp, binary-trees, 25,106.653015136718750000, 60.981262207031250000, 0.000000000000000000, 19.427185058593750000, 4809, 31.2, 317224
Lisp, binary-trees, 25,105.211608886718750000, 60.203125000000000000, 0.000000000000000000, 19.232849121093750000, 4745, 30.5, 342636
Lisp, binary-trees, 25,105.544189453125000000, 60.673706054687500000, 0.000000000000000000, 19.186889648437500000, 4709, 30.8, 308812
Lisp, binary-trees, 25,106.078308105468750000, 60.836425781250000000, 0.000000000000000000, 19.309570312500000000, 4765, 30.8, 321900
Lisp, binary-trees, 25,105.425598144531250000, 60.484252929687500000, 0.000000000000000000, 19.186462402343750000, 4723, 31.0, 304084
Lisp, binary-trees, 25,103.642211914062500000, 59.436279296875000000, 0.000000000000000000, 18.930419921875000000, 4660, 31.0, 343496
Lisp, binary-trees, 25,106.007080078125000000, 60.678649902343750000, 0.000000000000000000, 19.320434570312500000, 4787, 30.5, 347132
Lisp, binary-trees, 25,107.301330566406250000, 61.569091796875000000, 0.000000000000000000, 19.436584472656250000, 4807, 30.5, 315804
