Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Lisp, fasta, 25,75.220581054687500000, 37.481567382812500000, 0.000000000000000000, 9.663330078125000000, 3998, 30.2, 21884
Lisp, fasta, 25,75.238891601562500000, 37.483215332031250000, 0.000000000000000000, 9.658203125000000000, 3997, 30.0, 21836
Lisp, fasta, 25,75.280822753906250000, 37.499694824218750000, 0.000000000000000000, 9.663208007812500000, 3999, 29.2, 21836
Lisp, fasta, 25,75.211547851562500000, 37.515197753906250000, 0.000000000000000000, 9.663085937500000000, 3999, 30.8, 21836
Lisp, fasta, 25,75.170288085937500000, 37.441162109375000000, 0.000000000000000000, 9.658630371093750000, 3997, 30.0, 21836
Lisp, fasta, 25,75.277954101562500000, 37.502441406250000000, 0.000915527343750000, 9.667907714843750000, 4000, 30.0, 21844
Lisp, fasta, 25,75.194274902343750000, 37.445922851562500000, 0.000000000000000000, 9.660583496093750000, 3997, 29.2, 21844
Lisp, fasta, 25,75.231323242187500000, 37.468933105468750000, 0.000000000000000000, 9.665405273437500000, 4000, 29.2, 21872
Lisp, fasta, 25,75.285827636718750000, 37.497436523437500000, 0.000000000000000000, 9.665405273437500000, 4000, 29.5, 21884
Lisp, fasta, 25,75.140258789062500000, 37.422912597656250000, 0.000000000000000000, 9.653381347656250000, 3995, 30.2, 21880
Lisp, fasta, 25,75.202514648437500000, 37.451110839843750000, 0.000000000000000000, 9.662963867187500000, 3999, 29.2, 21720
Lisp, fasta, 25,75.287231445312500000, 37.443664550781250000, 0.000000000000000000, 9.696716308593750000, 4013, 29.5, 21888
Lisp, fasta, 25,75.148132324218750000, 37.503906250000000000, 0.000000000000000000, 9.653259277343750000, 3995, 30.8, 21700
Lisp, fasta, 25,75.142639160156250000, 37.490234375000000000, 0.000915527343750000, 9.658203125000000000, 3996, 30.2, 21844
Lisp, fasta, 25,75.177307128906250000, 37.484802246093750000, 0.000000000000000000, 9.660522460937500000, 3998, 30.0, 21900
Lisp, fasta, 25,75.231323242187500000, 37.472473144531250000, 0.000000000000000000, 9.665466308593750000, 3999, 29.2, 21872
Lisp, fasta, 25,75.292907714843750000, 37.505493164062500000, 0.000000000000000000, 9.665527343750000000, 3999, 30.0, 21844
Lisp, fasta, 25,75.184509277343750000, 37.441589355468750000, 0.000000000000000000, 9.660461425781250000, 3997, 29.5, 21844
Lisp, fasta, 25,75.232543945312500000, 37.477783203125000000, 0.000000000000000000, 9.665466308593750000, 4000, 29.8, 21848
Lisp, fasta, 25,75.187133789062500000, 37.444458007812500000, 0.000000000000000000, 9.660522460937500000, 3997, 29.8, 21708
