Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Lisp, reverse-complement, 25,20.100036621093750000, 9.943298339843750000, 0.000000000000000000, 2.888977050781250000, 1091, 30.0, 226072
Lisp, reverse-complement, 25,20.065917968750000000, 9.920593261718750000, 0.000000000000000000, 2.883789062500000000, 1090, 31.0, 225932
Lisp, reverse-complement, 25,20.099426269531250000, 9.940490722656250000, 0.000000000000000000, 2.886474609375000000, 1090, 30.0, 226068
Lisp, reverse-complement, 25,20.042785644531250000, 9.907043457031250000, 0.000793457031250000, 2.883850097656250000, 1090, 30.0, 226032
Lisp, reverse-complement, 25,20.072082519531250000, 9.926513671875000000, 0.000000000000000000, 2.883911132812500000, 1090, 30.0, 226068
Lisp, reverse-complement, 25,20.121093750000000000, 9.962280273437500000, 0.000000000000000000, 2.884155273437500000, 1090, 29.5, 226052
Lisp, reverse-complement, 25,20.114562988281250000, 9.931274414062500000, 0.000000000000000000, 2.889038085937500000, 1091, 29.2, 225996
Lisp, reverse-complement, 25,20.066894531250000000, 9.926269531250000000, 0.000000000000000000, 2.886291503906250000, 1090, 30.0, 226048
Lisp, reverse-complement, 25,20.066650390625000000, 9.923645019531250000, 0.000000000000000000, 2.883728027343750000, 1090, 29.5, 226108
Lisp, reverse-complement, 25,20.056396484375000000, 9.923583984375000000, 0.000000000000000000, 2.884033203125000000, 1090, 29.5, 226104
Lisp, reverse-complement, 25,20.063293457031250000, 9.923217773437500000, 0.000000000000000000, 2.888793945312500000, 1091, 30.0, 226072
Lisp, reverse-complement, 25,20.233093261718750000, 9.927368164062500000, 0.000000000000000000, 2.927429199218750000, 1108, 28.2, 225924
Lisp, reverse-complement, 25,20.101135253906250000, 9.952819824218750000, 0.000000000000000000, 2.886901855468750000, 1090, 29.5, 226072
Lisp, reverse-complement, 25,20.092224121093750000, 9.931640625000000000, 0.000000000000000000, 2.886108398437500000, 1091, 30.2, 226056
Lisp, reverse-complement, 25,20.224243164062500000, 10.028503417968750000, 0.000000000000000000, 2.900207519531250000, 1092, 28.2, 226064
Lisp, reverse-complement, 25,20.102539062500000000, 9.924255371093750000, 0.000000000000000000, 2.886169433593750000, 1091, 28.5, 226048
Lisp, reverse-complement, 25,20.080688476562500000, 9.908081054687500000, 0.000000000000000000, 2.886413574218750000, 1091, 29.0, 226136
Lisp, reverse-complement, 25,20.079101562500000000, 9.921936035156250000, 0.000000000000000000, 2.886352539062500000, 1091, 29.2, 226096
Lisp, reverse-complement, 25,20.057189941406250000, 9.909057617187500000, 0.000000000000000000, 2.886291503906250000, 1090, 28.0, 225944
Lisp, reverse-complement, 25,20.087646484375000000, 9.921386718750000000, 0.000000000000000000, 2.886596679687500000, 1091, 29.2, 226068
