Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Lua, k-nucleotide, 25,1656.088317871093750000, 873.339294433593750000, 0.001770019531250000, 201.730102539062500000, 82593, 31.8, 596360
Lua, k-nucleotide, 25,1657.925109863281250000, 872.739624023437500000, 0.001770019531250000, 202.584350585937500000, 82949, 31.8, 596400
Lua, k-nucleotide, 25,1641.018920898437500000, 863.869689941406250000, 0.001770019531250000, 201.911743164062500000, 82649, 31.5, 596480
Lua, k-nucleotide, 25,1623.646545410156250000, 854.371032714843750000, 0.001770019531250000, 201.713928222656250000, 82568, 31.2, 596372
Lua, k-nucleotide, 25,1627.030822753906250000, 856.369384765625000000, 0.001770019531250000, 201.596374511718750000, 82537, 31.8, 596476
Lua, k-nucleotide, 25,1632.320190429687500000, 858.913513183593750000, 0.001770019531250000, 201.766479492187500000, 82602, 31.5, 596380
Lua, k-nucleotide, 25,1647.784606933593750000, 867.396850585937500000, 0.001770019531250000, 202.710510253906250000, 82997, 31.8, 596376
Lua, k-nucleotide, 25,1634.303710937500000000, 860.067260742187500000, 0.001831054687500000, 201.741577148437500000, 82589, 31.8, 596400
Lua, k-nucleotide, 25,1631.064514160156250000, 858.534912109375000000, 0.001770019531250000, 201.613830566406250000, 82542, 31.5, 596284
Lua, k-nucleotide, 25,1653.280090332031250000, 870.129516601562500000, 0.001770019531250000, 203.549072265625000000, 83344, 31.2, 596372
Lua, k-nucleotide, 25,1637.931518554687500000, 863.083435058593750000, 0.001708984375000000, 203.164794921875000000, 83173, 31.5, 596356
Lua, k-nucleotide, 25,1623.517272949218750000, 854.057250976562500000, 0.001770019531250000, 200.208068847656250000, 81966, 30.2, 596428
Lua, k-nucleotide, 25,1636.159851074218750000, 860.527954101562500000, 0.001770019531250000, 202.639648437500000000, 82973, 31.5, 596424
Lua, k-nucleotide, 25,1621.174743652343750000, 854.516906738281250000, 0.001770019531250000, 199.321105957031250000, 81596, 32.0, 596328
Lua, k-nucleotide, 25,1634.381225585937500000, 859.504699707031250000, 0.001770019531250000, 202.582336425781250000, 82938, 31.5, 596412
Lua, k-nucleotide, 25,1624.388244628906250000, 855.408752441406250000, 0.001770019531250000, 200.825561523437500000, 82215, 31.5, 596372
Lua, k-nucleotide, 25,1636.242004394531250000, 860.674804687500000000, 0.001647949218750000, 202.448242187500000000, 82878, 31.2, 596420
Lua, k-nucleotide, 25,1628.825683593750000000, 857.234497070312500000, 0.001708984375000000, 201.615539550781250000, 82545, 31.5, 596424
Lua, k-nucleotide, 25,1633.921752929687500000, 859.849060058593750000, 0.001708984375000000, 201.813049316406250000, 82624, 31.0, 596404
Lua, k-nucleotide, 25,1641.385437011718750000, 864.687011718750000000, 0.001708984375000000, 202.360961914062500000, 82845, 31.5, 596368
