Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Lua, mandelbrot, 25,2130.820251464843750000, 1393.514953613281250000, 0.001770019531250000, 210.583862304687500000, 86779, 32.8, 282096
Lua, mandelbrot, 25,2148.210754394531250000, 1406.031494140625000000, 0.001708984375000000, 211.748535156250000000, 87262, 33.0, 282208
Lua, mandelbrot, 25,2128.209716796875000000, 1394.851867675781250000, 0.001647949218750000, 209.581115722656250000, 86365, 33.8, 282180
Lua, mandelbrot, 25,2181.016662597656250000, 1413.209960937500000000, 0.001708984375000000, 217.936645507812500000, 89824, 33.2, 282208
Lua, mandelbrot, 25,2176.420532226562500000, 1415.243103027343750000, 0.001708984375000000, 216.429321289062500000, 89200, 33.0, 282208
Lua, mandelbrot, 25,2161.363037109375000000, 1405.162414550781250000, 0.001770019531250000, 215.171569824218750000, 88680, 32.8, 282236
Lua, mandelbrot, 25,2136.184997558593750000, 1392.794494628906250000, 0.001770019531250000, 211.916748046875000000, 87332, 33.2, 282192
Lua, mandelbrot, 25,2163.546447753906250000, 1408.867248535156250000, 0.001831054687500000, 214.869506835937500000, 88555, 33.0, 282280
Lua, mandelbrot, 25,2132.577697753906250000, 1394.980957031250000000, 0.001770019531250000, 210.632263183593750000, 86800, 33.2, 282244
Lua, mandelbrot, 25,2128.346618652343750000, 1393.333129882812500000, 0.001708984375000000, 209.929138183593750000, 86510, 33.2, 282204
Lua, mandelbrot, 25,2154.158142089843750000, 1408.580200195312500000, 0.001708984375000000, 212.447814941406250000, 87553, 34.0, 282092
Lua, mandelbrot, 25,2187.474853515625000000, 1415.150451660156250000, 0.001770019531250000, 219.177856445312500000, 90338, 33.0, 282192
Lua, mandelbrot, 25,2132.170349121093750000, 1394.574584960937500000, 0.001770019531250000, 210.589599609375000000, 86784, 32.8, 282096
Lua, mandelbrot, 25,2140.564758300781250000, 1400.590270996093750000, 0.001708984375000000, 211.092712402343750000, 86992, 33.0, 282260
Lua, mandelbrot, 25,2134.408996582031250000, 1391.895874023437500000, 0.001831054687500000, 211.679565429687500000, 87236, 32.8, 282248
Lua, mandelbrot, 25,2148.526428222656250000, 1403.763122558593750000, 0.001708984375000000, 212.240539550781250000, 87467, 32.5, 282196
Lua, mandelbrot, 25,2161.061218261718750000, 1409.111816406250000000, 0.001831054687500000, 214.169494628906250000, 88266, 33.2, 282236
Lua, mandelbrot, 25,2155.126953125000000000, 1402.202819824218750000, 0.001708984375000000, 214.188232421875000000, 88274, 33.0, 282236
Lua, mandelbrot, 25,2137.051269531250000000, 1399.830078125000000000, 0.001647949218750000, 210.712585449218750000, 86835, 32.2, 282192
Lua, mandelbrot, 25,2133.888793945312500000, 1397.247497558593750000, 0.001647949218750000, 210.359252929687500000, 86690, 33.0, 282208
