Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Lua, regex-redux, 25,44.708068847656250000, 22.564086914062500000, 0.000000000000000000, 6.056762695312500000, 2341, 31.2, 350156
Lua, regex-redux, 25,44.240600585937500000, 22.311828613281250000, 0.000000000000000000, 6.028869628906250000, 2330, 30.5, 350052
Lua, regex-redux, 25,44.354431152343750000, 22.375183105468750000, 0.000000000000000000, 6.036926269531250000, 2332, 31.0, 350144
Lua, regex-redux, 25,44.560119628906250000, 22.444396972656250000, 0.000000000000000000, 6.048156738281250000, 2334, 30.2, 350152
Lua, regex-redux, 25,44.528381347656250000, 22.437744140625000000, 0.000000000000000000, 6.036071777343750000, 2332, 29.8, 350128
Lua, regex-redux, 25,44.537536621093750000, 22.433471679687500000, 0.000000000000000000, 6.044311523437500000, 2334, 29.8, 350212
Lua, regex-redux, 25,44.531188964843750000, 22.439208984375000000, 0.000000000000000000, 6.037048339843750000, 2333, 30.0, 350124
Lua, regex-redux, 25,44.477172851562500000, 22.435119628906250000, 0.000000000000000000, 6.036743164062500000, 2332, 30.8, 350024
Lua, regex-redux, 25,44.530151367187500000, 22.452392578125000000, 0.000000000000000000, 6.034667968750000000, 2332, 29.2, 350060
Lua, regex-redux, 25,44.335083007812500000, 22.367736816406250000, 0.000793457031250000, 6.042297363281250000, 2334, 30.8, 350144
Lua, regex-redux, 25,44.654174804687500000, 22.506347656250000000, 0.000000000000000000, 6.040344238281250000, 2333, 29.5, 350208
Lua, regex-redux, 25,44.712158203125000000, 22.468872070312500000, 0.000000000000000000, 6.091613769531250000, 2354, 29.5, 350156
Lua, regex-redux, 25,44.559570312500000000, 22.481323242187500000, 0.000000000000000000, 6.056579589843750000, 2338, 30.0, 350204
Lua, regex-redux, 25,44.512756347656250000, 22.408996582031250000, 0.000000000000000000, 6.047851562500000000, 2335, 28.5, 350060
Lua, regex-redux, 25,44.749206542968750000, 22.612182617187500000, 0.000000000000000000, 6.073425292968750000, 2348, 28.2, 350180
Lua, regex-redux, 25,44.663024902343750000, 22.506286621093750000, 0.000000000000000000, 6.045593261718750000, 2335, 29.8, 350092
Lua, regex-redux, 25,44.530456542968750000, 22.439758300781250000, 0.000000000000000000, 6.040710449218750000, 2333, 29.2, 350128
Lua, regex-redux, 25,44.520690917968750000, 22.439025878906250000, 0.000000000000000000, 6.049987792968750000, 2335, 29.8, 350140
Lua, regex-redux, 25,44.720153808593750000, 22.542785644531250000, 0.000000000000000000, 6.057617187500000000, 2339, 29.5, 350060
Lua, regex-redux, 25,44.576599121093750000, 22.459960937500000000, 0.000000000000000000, 6.049316406250000000, 2336, 29.0, 350152
