Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Lua, spectral-norm, 25,1225.806213378906250000, 649.205322265625000000, 0.000854492187500000, 150.977966308593750000, 62493, 31.2, 2784
Lua, spectral-norm, 25,1225.784301757812500000, 649.178771972656250000, 0.001708984375000000, 150.976135253906250000, 62492, 31.8, 2732
Lua, spectral-norm, 25,1225.917724609375000000, 649.180603027343750000, 0.000854492187500000, 150.975280761718750000, 62492, 31.5, 2708
Lua, spectral-norm, 25,1228.392028808593750000, 652.005310058593750000, 0.001708984375000000, 151.091369628906250000, 62540, 31.2, 2676
Lua, spectral-norm, 25,1239.317382812500000000, 655.839904785156250000, 0.000854492187500000, 152.679321289062500000, 63196, 31.5, 2620
Lua, spectral-norm, 25,1298.185119628906250000, 680.333923339843750000, 0.001647949218750000, 159.997497558593750000, 66226, 31.2, 2680
Lua, spectral-norm, 25,1227.754028320312500000, 650.259399414062500000, 0.001708984375000000, 151.262329101562500000, 62610, 31.0, 2728
Lua, spectral-norm, 25,1225.143310546875000000, 648.565612792968750000, 0.000915527343750000, 150.975219726562500000, 62491, 31.5, 2724
Lua, spectral-norm, 25,1225.808349609375000000, 649.218750000000000000, 0.001708984375000000, 150.971313476562500000, 62490, 31.5, 2776
Lua, spectral-norm, 25,1225.782531738281250000, 649.062561035156250000, 0.000854492187500000, 150.977966308593750000, 62493, 31.5, 2632
Lua, spectral-norm, 25,1225.302062988281250000, 648.492858886718750000, 0.001708984375000000, 150.973754882812500000, 62491, 31.8, 2640
Lua, spectral-norm, 25,1225.354370117187500000, 648.501159667968750000, 0.000793457031250000, 151.033447265625000000, 62516, 32.0, 2700
Lua, spectral-norm, 25,1225.606750488281250000, 648.685791015625000000, 0.001708984375000000, 150.975280761718750000, 62491, 31.8, 2724
Lua, spectral-norm, 25,1226.144653320312500000, 649.371948242187500000, 0.000854492187500000, 150.996398925781250000, 62500, 31.2, 2696
Lua, spectral-norm, 25,1226.085571289062500000, 649.157775878906250000, 0.001647949218750000, 150.977722167968750000, 62492, 31.5, 2688
Lua, spectral-norm, 25,1226.354614257812500000, 649.216674804687500000, 0.000854492187500000, 150.981018066406250000, 62494, 32.0, 2576
Lua, spectral-norm, 25,1228.838012695312500000, 650.709289550781250000, 0.001708984375000000, 150.958374023437500000, 62485, 32.2, 2684
Lua, spectral-norm, 25,1225.377868652343750000, 648.408447265625000000, 0.000793457031250000, 150.976318359375000000, 62491, 31.5, 2768
Lua, spectral-norm, 25,1231.660644531250000000, 651.982116699218750000, 0.001708984375000000, 151.653686523437500000, 62772, 31.8, 2724
Lua, spectral-norm, 25,1225.920898437500000000, 649.146972656250000000, 0.000915527343750000, 150.975280761718750000, 62492, 32.0, 2708
