Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
OCaml, binary-trees, 25,112.412292480468750000, 68.555603027343750000, 0.000000000000000000, 18.567626953125000000, 4651, 31.8, 175548
OCaml, binary-trees, 25,111.489746093750000000, 68.006164550781250000, 0.000000000000000000, 18.455444335937500000, 4613, 31.0, 175412
OCaml, binary-trees, 25,111.791931152343750000, 68.297851562500000000, 0.000000000000000000, 18.459045410156250000, 4619, 31.5, 175480
OCaml, binary-trees, 25,112.145385742187500000, 68.137207031250000000, 0.000000000000000000, 18.906555175781250000, 4650, 31.2, 175456
OCaml, binary-trees, 25,111.687438964843750000, 68.200195312500000000, 0.000000000000000000, 18.563476562500000000, 4621, 31.5, 175492
OCaml, binary-trees, 25,112.168273925781250000, 68.374450683593750000, 0.000000000000000000, 18.692749023437500000, 4639, 31.5, 175548
OCaml, binary-trees, 25,111.450073242187500000, 67.852416992187500000, 0.000000000000000000, 18.891601562500000000, 4610, 31.5, 175552
OCaml, binary-trees, 25,111.359069824218750000, 67.971374511718750000, 0.000000000000000000, 18.640502929687500000, 4595, 31.5, 175472
OCaml, binary-trees, 25,111.593688964843750000, 67.996398925781250000, 0.000000000000000000, 18.599060058593750000, 4615, 31.2, 175440
OCaml, binary-trees, 25,111.517150878906250000, 68.020202636718750000, 0.000000000000000000, 18.722229003906250000, 4604, 31.5, 175504
OCaml, binary-trees, 25,112.464050292968750000, 68.356384277343750000, 0.000854492187500000, 18.803649902343750000, 4660, 31.0, 175516
OCaml, binary-trees, 25,111.343872070312500000, 67.791442871093750000, 0.000000000000000000, 18.793334960937500000, 4617, 31.8, 175580
OCaml, binary-trees, 25,112.140380859375000000, 68.112976074218750000, 0.000000000000000000, 18.760375976562500000, 4659, 31.2, 175564
OCaml, binary-trees, 25,112.212158203125000000, 68.371948242187500000, 0.000000000000000000, 18.559387207031250000, 4641, 31.0, 175504
OCaml, binary-trees, 25,111.192810058593750000, 67.862548828125000000, 0.000000000000000000, 18.632263183593750000, 4597, 31.5, 175468
OCaml, binary-trees, 25,112.762817382812500000, 68.571350097656250000, 0.000000000000000000, 18.839782714843750000, 4669, 31.5, 175428
OCaml, binary-trees, 25,111.364929199218750000, 68.024475097656250000, 0.000854492187500000, 18.406250000000000000, 4594, 31.0, 175508
OCaml, binary-trees, 25,112.175231933593750000, 68.266235351562500000, 0.000000000000000000, 18.764221191406250000, 4640, 30.8, 175436
OCaml, binary-trees, 25,111.690917968750000000, 68.208984375000000000, 0.000000000000000000, 18.645568847656250000, 4608, 30.5, 175548
OCaml, binary-trees, 25,112.386962890625000000, 68.431762695312500000, 0.000000000000000000, 18.598449707031250000, 4663, 31.2, 175476
