Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
OCaml, fannkuch-redux, 25,277.805541992187500000, 183.032104492187500000, 0.000732421875000000, 26.942932128906250000, 11148, 32.8, 3396
OCaml, fannkuch-redux, 25,277.690246582031250000, 182.973754882812500000, 0.000000000000000000, 26.931091308593750000, 11142, 33.0, 3244
OCaml, fannkuch-redux, 25,277.953002929687500000, 183.055419921875000000, 0.000793457031250000, 26.959899902343750000, 11155, 32.5, 3248
OCaml, fannkuch-redux, 25,277.734313964843750000, 182.919067382812500000, 0.000000000000000000, 26.942871093750000000, 11148, 33.0, 3332
OCaml, fannkuch-redux, 25,277.786315917968750000, 182.975646972656250000, 0.000000000000000000, 26.943054199218750000, 11148, 32.8, 3300
OCaml, fannkuch-redux, 25,277.823730468750000000, 182.948486328125000000, 0.000793457031250000, 26.955078125000000000, 11153, 32.5, 3296
OCaml, fannkuch-redux, 25,277.977661132812500000, 183.124328613281250000, 0.000000000000000000, 26.960754394531250000, 11155, 32.0, 3392
OCaml, fannkuch-redux, 25,278.022644042968750000, 183.097656250000000000, 0.000000000000000000, 26.971984863281250000, 11159, 33.8, 3280
OCaml, fannkuch-redux, 25,277.783264160156250000, 182.926452636718750000, 0.000793457031250000, 26.943237304687500000, 11148, 33.0, 3332
OCaml, fannkuch-redux, 25,277.779907226562500000, 182.951843261718750000, 0.000000000000000000, 26.947998046875000000, 11149, 32.8, 3364
OCaml, fannkuch-redux, 25,278.002319335937500000, 183.001037597656250000, 0.000000000000000000, 26.972167968750000000, 11160, 32.2, 3252
OCaml, fannkuch-redux, 25,277.920349121093750000, 182.945068359375000000, 0.000000000000000000, 26.986572265625000000, 11166, 33.0, 3368
OCaml, fannkuch-redux, 25,277.783203125000000000, 182.924743652343750000, 0.000000000000000000, 26.945739746093750000, 11149, 32.2, 3240
OCaml, fannkuch-redux, 25,277.768981933593750000, 182.938903808593750000, 0.000793457031250000, 26.942932128906250000, 11148, 33.0, 3288
OCaml, fannkuch-redux, 25,277.782531738281250000, 182.963867187500000000, 0.000000000000000000, 26.940429687500000000, 11148, 32.2, 3316
OCaml, fannkuch-redux, 25,277.948730468750000000, 183.048706054687500000, 0.000000000000000000, 26.960083007812500000, 11155, 32.5, 3396
OCaml, fannkuch-redux, 25,277.791137695312500000, 182.959716796875000000, 0.000000000000000000, 26.942871093750000000, 11148, 32.8, 3304
OCaml, fannkuch-redux, 25,277.937744140625000000, 183.000610351562500000, 0.000000000000000000, 26.963256835937500000, 11155, 32.2, 3352
OCaml, fannkuch-redux, 25,277.962585449218750000, 183.085449218750000000, 0.000793457031250000, 26.964782714843750000, 11158, 32.8, 3272
OCaml, fannkuch-redux, 25,277.859558105468750000, 183.008789062500000000, 0.000000000000000000, 26.958129882812500000, 11154, 32.2, 3300
