Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
OCaml, n-body, 25,106.324340820312500000, 52.856811523437500000, 0.000000000000000000, 14.268005371093750000, 5905, 30.8, 2832
OCaml, n-body, 25,106.373107910156250000, 52.891357421875000000, 0.000000000000000000, 14.270935058593750000, 5906, 29.8, 2972
OCaml, n-body, 25,106.779113769531250000, 53.273681640625000000, 0.000000000000000000, 14.280334472656250000, 5910, 30.0, 2756
OCaml, n-body, 25,106.384765625000000000, 52.884521484375000000, 0.000000000000000000, 14.270263671875000000, 5906, 30.2, 2928
OCaml, n-body, 25,106.353637695312500000, 52.868103027343750000, 0.000000000000000000, 14.270019531250000000, 5906, 30.0, 2888
OCaml, n-body, 25,106.336364746093750000, 52.868469238281250000, 0.000000000000000000, 14.275573730468750000, 5907, 30.0, 2944
OCaml, n-body, 25,106.302734375000000000, 52.836059570312500000, 0.000000000000000000, 14.267639160156250000, 5905, 30.0, 2928
OCaml, n-body, 25,106.290954589843750000, 52.836303710937500000, 0.000000000000000000, 14.272583007812500000, 5907, 30.0, 2864
OCaml, n-body, 25,106.316162109375000000, 52.842590332031250000, 0.000000000000000000, 14.267639160156250000, 5905, 29.5, 2800
OCaml, n-body, 25,106.303955078125000000, 52.838317871093750000, 0.000000000000000000, 14.270141601562500000, 5905, 29.8, 2768
OCaml, n-body, 25,106.305908203125000000, 52.873291015625000000, 0.000793457031250000, 14.270019531250000000, 5906, 30.2, 2748
OCaml, n-body, 25,106.433044433593750000, 52.858581542968750000, 0.000000000000000000, 14.304016113281250000, 5920, 30.2, 2812
OCaml, n-body, 25,106.305969238281250000, 52.837341308593750000, 0.000000000000000000, 14.267639160156250000, 5905, 30.0, 2860
OCaml, n-body, 25,106.311401367187500000, 52.839294433593750000, 0.000000000000000000, 14.272644042968750000, 5906, 29.2, 2860
OCaml, n-body, 25,106.306701660156250000, 52.831604003906250000, 0.000000000000000000, 14.272583007812500000, 5906, 28.8, 2908
OCaml, n-body, 25,106.302978515625000000, 52.827087402343750000, 0.000000000000000000, 14.272521972656250000, 5907, 28.8, 2856
OCaml, n-body, 25,106.310913085937500000, 52.884399414062500000, 0.000732421875000000, 14.270141601562500000, 5905, 30.2, 2928
OCaml, n-body, 25,106.395568847656250000, 52.886596679687500000, 0.000000000000000000, 14.274963378906250000, 5907, 29.2, 2860
OCaml, n-body, 25,106.345947265625000000, 52.859802246093750000, 0.000000000000000000, 14.274963378906250000, 5908, 29.5, 2752
OCaml, n-body, 25,106.345092773437500000, 52.861999511718750000, 0.000000000000000000, 14.272460937500000000, 5907, 29.5, 2812
