Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
PHP, binary-trees, 25,663.032836914062500000, 422.215209960937500000, 0.000793457031250000, 95.137878417968750000, 27120, 32.5, 948120
PHP, binary-trees, 25,657.260437011718750000, 418.632202148437500000, 0.000000000000000000, 94.434020996093750000, 26894, 32.2, 948340
PHP, binary-trees, 25,659.884399414062500000, 420.447814941406250000, 0.000000000000000000, 94.495239257812500000, 26936, 32.8, 948348
PHP, binary-trees, 25,667.281921386718750000, 424.255004882812500000, 0.000793457031250000, 95.470581054687500000, 27251, 32.2, 948348
PHP, binary-trees, 25,659.873535156250000000, 419.444702148437500000, 0.000854492187500000, 94.641296386718750000, 26952, 32.5, 948236
PHP, binary-trees, 25,659.007751464843750000, 418.609375000000000000, 0.000793457031250000, 94.674377441406250000, 27000, 32.2, 948124
PHP, binary-trees, 25,657.061706542968750000, 417.821960449218750000, 0.000793457031250000, 94.479858398437500000, 26868, 32.5, 948296
PHP, binary-trees, 25,663.058654785156250000, 420.973083496093750000, 0.000854492187500000, 95.200805664062500000, 27121, 32.0, 948236
PHP, binary-trees, 25,661.102661132812500000, 419.216552734375000000, 0.000000000000000000, 94.950378417968750000, 27060, 32.2, 948284
PHP, binary-trees, 25,659.289794921875000000, 418.709472656250000000, 0.000000000000000000, 94.758605957031250000, 26966, 31.5, 948352
PHP, binary-trees, 25,660.130004882812500000, 419.766418457031250000, 0.000000000000000000, 94.583557128906250000, 26943, 32.2, 948240
PHP, binary-trees, 25,661.322143554687500000, 419.085937500000000000, 0.000854492187500000, 95.145812988281250000, 27102, 32.0, 948164
PHP, binary-trees, 25,664.941711425781250000, 422.456115722656250000, 0.000793457031250000, 95.234802246093750000, 27136, 32.2, 948424
PHP, binary-trees, 25,663.272216796875000000, 421.136901855468750000, 0.000793457031250000, 95.101684570312500000, 27097, 32.8, 948280
PHP, binary-trees, 25,662.658996582031250000, 420.439453125000000000, 0.000854492187500000, 94.874938964843750000, 27088, 33.0, 948268
PHP, binary-trees, 25,661.442749023437500000, 419.806335449218750000, 0.000793457031250000, 94.951660156250000000, 27040, 31.5, 948284
PHP, binary-trees, 25,661.848937988281250000, 420.270996093750000000, 0.000854492187500000, 94.723876953125000000, 27083, 32.8, 948324
PHP, binary-trees, 25,661.155334472656250000, 419.496398925781250000, 0.000000000000000000, 95.112854003906250000, 27020, 32.2, 948324
PHP, binary-trees, 25,659.981872558593750000, 418.791931152343750000, 0.000000000000000000, 94.906982421875000000, 27010, 33.2, 948052
PHP, binary-trees, 25,679.151000976562500000, 430.383056640625000000, 0.000000000000000000, 97.922180175781250000, 27841, 32.8, 948264
