Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
PHP, fannkuch-redux, 25,4316.090881347656250000, 2855.971679687500000000, 0.003356933593750000, 418.534851074218750000, 173236, 34.5, 13340
PHP, fannkuch-redux, 25,4408.079040527343750000, 2923.747375488281250000, 0.003417968750000000, 427.434204101562500000, 176922, 34.5, 13344
PHP, fannkuch-redux, 25,4352.837097167968750000, 2890.822875976562500000, 0.003356933593750000, 422.057495117187500000, 174696, 34.8, 13372
PHP, fannkuch-redux, 25,4330.856384277343750000, 2863.917480468750000000, 0.003601074218750000, 420.102355957031250000, 173857, 35.2, 13288
PHP, fannkuch-redux, 25,4331.914001464843750000, 2861.341796875000000000, 0.003417968750000000, 420.078613281250000000, 173876, 34.8, 13072
PHP, fannkuch-redux, 25,4333.060180664062500000, 2862.071411132812500000, 0.003417968750000000, 420.523498535156250000, 174061, 34.0, 13176
PHP, fannkuch-redux, 25,4337.692077636718750000, 2863.264709472656250000, 0.003356933593750000, 420.636779785156250000, 174107, 34.5, 13068
PHP, fannkuch-redux, 25,4335.216674804687500000, 2863.429748535156250000, 0.003479003906250000, 420.354980468750000000, 173992, 35.5, 13308
PHP, fannkuch-redux, 25,4331.223449707031250000, 2864.486389160156250000, 0.003417968750000000, 419.963989257812500000, 173827, 35.5, 13372
PHP, fannkuch-redux, 25,4326.483764648437500000, 2860.406677246093750000, 0.003356933593750000, 419.587158203125000000, 173671, 34.2, 13264
PHP, fannkuch-redux, 25,4352.636108398437500000, 2871.492248535156250000, 0.003601074218750000, 422.042297363281250000, 174689, 34.8, 13216
PHP, fannkuch-redux, 25,4365.224853515625000000, 2880.397338867187500000, 0.003540039062500000, 423.404052734375000000, 175253, 34.2, 13284
PHP, fannkuch-redux, 25,4306.168029785156250000, 2853.479919433593750000, 0.003295898437500000, 417.699035644531250000, 172891, 35.0, 13452
PHP, fannkuch-redux, 25,4336.539550781250000000, 2866.406738281250000000, 0.003356933593750000, 420.721008300781250000, 174143, 34.2, 13232
PHP, fannkuch-redux, 25,4326.434143066406250000, 2858.171325683593750000, 0.003417968750000000, 419.470947265625000000, 173625, 34.8, 13280
PHP, fannkuch-redux, 25,4334.977661132812500000, 2864.401794433593750000, 0.003540039062500000, 420.275695800781250000, 173958, 35.5, 13344
PHP, fannkuch-redux, 25,4335.481323242187500000, 2862.683837890625000000, 0.003417968750000000, 420.369079589843750000, 173997, 33.8, 13328
PHP, fannkuch-redux, 25,4341.706542968750000000, 2864.663330078125000000, 0.003540039062500000, 420.983337402343750000, 174250, 35.0, 13368
PHP, fannkuch-redux, 25,4348.236389160156250000, 2872.514587402343750000, 0.003540039062500000, 421.585571289062500000, 174502, 35.0, 13280
PHP, fannkuch-redux, 25,4337.487670898437500000, 2870.689086914062500000, 0.003479003906250000, 420.666809082031250000, 174122, 34.8, 13268
