Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
PHP, n-body, 25,3029.195861816406250000, 1611.470275878906250000, 0.002746582031250000, 358.668029785156250000, 148459, 33.8, 12944
PHP, n-body, 25,3026.665222167968750000, 1608.341003417968750000, 0.002685546875000000, 358.373168945312500000, 148338, 32.8, 12828
PHP, n-body, 25,3034.191406250000000000, 1613.497192382812500000, 0.003601074218750000, 359.304748535156250000, 148723, 32.5, 12852
PHP, n-body, 25,3037.139160156250000000, 1615.657470703125000000, 0.002746582031250000, 359.653564453125000000, 148868, 32.8, 12852
PHP, n-body, 25,3037.434936523437500000, 1613.929199218750000000, 0.002746582031250000, 359.667907714843750000, 148874, 32.0, 13024
PHP, n-body, 25,3056.824279785156250000, 1624.494384765625000000, 0.003601074218750000, 361.151794433593750000, 149469, 31.5, 12716
PHP, n-body, 25,3065.204040527343750000, 1626.065124511718750000, 0.002746582031250000, 363.043823242187500000, 150271, 32.2, 12712
PHP, n-body, 25,3040.524719238281250000, 1614.314514160156250000, 0.002746582031250000, 360.049743652343750000, 149031, 31.8, 12856
PHP, n-body, 25,3028.532226562500000000, 1608.599548339843750000, 0.003601074218750000, 358.662963867187500000, 148458, 32.0, 12904
PHP, n-body, 25,3028.663513183593750000, 1611.760559082031250000, 0.003662109375000000, 358.060852050781250000, 148209, 32.2, 12752
PHP, n-body, 25,3022.758972167968750000, 1608.314147949218750000, 0.002746582031250000, 357.762145996093750000, 148085, 32.0, 12856
PHP, n-body, 25,3072.169311523437500000, 1634.444885253906250000, 0.003662109375000000, 361.549804687500000000, 149652, 33.0, 12852
PHP, n-body, 25,3044.171691894531250000, 1616.637207031250000000, 0.002685546875000000, 360.382141113281250000, 149171, 32.8, 12852
PHP, n-body, 25,3013.354003906250000000, 1601.759521484375000000, 0.002685546875000000, 356.828369140625000000, 147699, 32.2, 12940
PHP, n-body, 25,3019.948913574218750000, 1604.710449218750000000, 0.003662109375000000, 357.388977050781250000, 147932, 32.2, 12612
PHP, n-body, 25,3039.414123535156250000, 1616.405883789062500000, 0.003662109375000000, 359.249206542968750000, 148700, 32.5, 12700
PHP, n-body, 25,3131.434997558593750000, 1656.740905761718750000, 0.002746582031250000, 370.799621582031250000, 153482, 32.2, 12852
PHP, n-body, 25,3038.374206542968750000, 1613.769287109375000000, 0.002746582031250000, 359.733703613281250000, 148901, 32.2, 12776
PHP, n-body, 25,3029.775329589843750000, 1610.065673828125000000, 0.003662109375000000, 358.779235839843750000, 148506, 33.0, 12852
PHP, n-body, 25,3007.221740722656250000, 1600.812133789062500000, 0.003662109375000000, 356.164062500000000000, 147423, 32.5, 12944
