Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Pascal, fannkuch-redux, 25,329.319885253906250000, 224.400939941406250000, 0.000000000000000000, 31.925292968750000000, 13214, 32.5, 1912
Pascal, fannkuch-redux, 25,329.910644531250000000, 224.665405273437500000, 0.000000000000000000, 31.987915039062500000, 13240, 33.0, 1992
Pascal, fannkuch-redux, 25,329.986511230468750000, 224.703002929687500000, 0.000000000000000000, 31.998779296875000000, 13244, 32.5, 1992
Pascal, fannkuch-redux, 25,329.833679199218750000, 224.633972167968750000, 0.000000000000000000, 31.980651855468750000, 13237, 32.5, 2024
Pascal, fannkuch-redux, 25,329.784301757812500000, 224.615966796875000000, 0.000732421875000000, 31.978271484375000000, 13236, 31.8, 1788
Pascal, fannkuch-redux, 25,329.638854980468750000, 224.523986816406250000, 0.000000000000000000, 31.961425781250000000, 13228, 32.8, 2132
Pascal, fannkuch-redux, 25,329.795043945312500000, 224.583801269531250000, 0.000732421875000000, 31.978332519531250000, 13236, 33.0, 2032
Pascal, fannkuch-redux, 25,330.024047851562500000, 224.739746093750000000, 0.000000000000000000, 32.000122070312500000, 13244, 32.2, 2068
Pascal, fannkuch-redux, 25,329.759277343750000000, 224.602783203125000000, 0.000793457031250000, 31.968688964843750000, 13232, 33.2, 2032
Pascal, fannkuch-redux, 25,329.984558105468750000, 224.678527832031250000, 0.000000000000000000, 32.003723144531250000, 13245, 32.5, 2032
Pascal, fannkuch-redux, 25,329.845581054687500000, 224.636291503906250000, 0.000793457031250000, 31.980712890625000000, 13237, 33.2, 1912
Pascal, fannkuch-redux, 25,329.861083984375000000, 224.559448242187500000, 0.000000000000000000, 32.027099609375000000, 13256, 33.5, 1992
Pascal, fannkuch-redux, 25,329.445312500000000000, 224.424560546875000000, 0.000732421875000000, 31.949462890625000000, 13223, 32.2, 1992
Pascal, fannkuch-redux, 25,329.541137695312500000, 224.469177246093750000, 0.000000000000000000, 31.951599121093750000, 13225, 33.0, 2076
Pascal, fannkuch-redux, 25,329.565124511718750000, 224.506408691406250000, 0.000854492187500000, 31.951721191406250000, 13224, 33.2, 2032
Pascal, fannkuch-redux, 25,329.381408691406250000, 224.399291992187500000, 0.000000000000000000, 31.932434082031250000, 13217, 33.0, 1784
Pascal, fannkuch-redux, 25,329.741516113281250000, 224.560363769531250000, 0.000000000000000000, 31.973388671875000000, 13234, 32.8, 2024
Pascal, fannkuch-redux, 25,330.251403808593750000, 224.910949707031250000, 0.000000000000000000, 32.029724121093750000, 13257, 31.8, 2076
Pascal, fannkuch-redux, 25,329.675781250000000000, 224.528808593750000000, 0.000000000000000000, 31.964355468750000000, 13230, 32.5, 2020
Pascal, fannkuch-redux, 25,329.721069335937500000, 224.605895996093750000, 0.000000000000000000, 31.966064453125000000, 13231, 32.8, 1908
