Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Perl, binary-trees, 25,1197.433532714843750000, 783.445983886718750000, 0.000793457031250000, 133.994018554687500000, 48722, 32.8, 760380
Perl, binary-trees, 25,1203.238342285156250000, 786.123901367187500000, 0.000854492187500000, 134.715209960937500000, 48961, 33.5, 760548
Perl, binary-trees, 25,1213.464721679687500000, 792.065490722656250000, 0.001708984375000000, 135.263244628906250000, 49365, 33.5, 760468
Perl, binary-trees, 25,1205.174743652343750000, 787.402526855468750000, 0.000793457031250000, 134.985534667968750000, 49021, 33.2, 760488
Perl, binary-trees, 25,1204.000549316406250000, 785.997314453125000000, 0.000854492187500000, 134.599609375000000000, 48999, 33.0, 760432
Perl, binary-trees, 25,1212.721984863281250000, 791.405700683593750000, 0.000854492187500000, 135.360412597656250000, 49333, 33.2, 760200
Perl, binary-trees, 25,1212.386108398437500000, 790.412475585937500000, 0.000793457031250000, 135.575073242187500000, 49361, 33.5, 760280
Perl, binary-trees, 25,1210.393188476562500000, 789.520568847656250000, 0.000793457031250000, 135.643371582031250000, 49271, 33.5, 760396
Perl, binary-trees, 25,1220.565795898437500000, 796.076171875000000000, 0.000854492187500000, 136.380432128906250000, 49707, 32.8, 760152
Perl, binary-trees, 25,1207.342041015625000000, 788.131286621093750000, 0.000793457031250000, 135.238342285156250000, 49159, 33.0, 760252
Perl, binary-trees, 25,1204.140625000000000000, 787.200744628906250000, 0.000854492187500000, 134.434753417968750000, 48988, 33.0, 760336
Perl, binary-trees, 25,1210.754028320312500000, 790.158935546875000000, 0.000915527343750000, 135.053283691406250000, 49255, 33.5, 760328
Perl, binary-trees, 25,1205.645751953125000000, 786.132568359375000000, 0.000854492187500000, 134.883544921875000000, 49113, 33.8, 760280
Perl, binary-trees, 25,1211.368835449218750000, 790.800109863281250000, 0.000854492187500000, 135.596740722656250000, 49280, 33.0, 760400
Perl, binary-trees, 25,1207.538024902343750000, 787.946105957031250000, 0.001647949218750000, 134.593383789062500000, 49130, 33.0, 760488
Perl, binary-trees, 25,1206.781738281250000000, 787.248779296875000000, 0.000793457031250000, 134.931823730468750000, 49165, 33.8, 760220
Perl, binary-trees, 25,1209.742126464843750000, 788.628051757812500000, 0.000793457031250000, 135.260253906250000000, 49322, 33.5, 760152
Perl, binary-trees, 25,1207.510742187500000000, 788.425781250000000000, 0.001708984375000000, 135.071472167968750000, 49116, 33.2, 760328
Perl, binary-trees, 25,1210.354309082031250000, 789.796875000000000000, 0.000854492187500000, 135.201538085937500000, 49268, 33.5, 760300
Perl, binary-trees, 25,1212.898803710937500000, 791.521423339843750000, 0.000793457031250000, 135.704101562500000000, 49341, 33.2, 760132
