Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Perl, k-nucleotide, 25,1098.760437011718750000, 712.027648925781250000, 0.000793457031250000, 126.565429687500000000, 44734, 33.0, 1251660
Perl, k-nucleotide, 25,1106.022949218750000000, 716.823547363281250000, 0.000854492187500000, 127.184997558593750000, 44975, 33.2, 1251304
Perl, k-nucleotide, 25,1113.197082519531250000, 721.854980468750000000, 0.000915527343750000, 127.966491699218750000, 45295, 33.0, 1251616
Perl, k-nucleotide, 25,1087.312194824218750000, 705.165039062500000000, 0.000854492187500000, 125.288269042968750000, 44195, 33.5, 1251484
Perl, k-nucleotide, 25,1098.766906738281250000, 712.054443359375000000, 0.000793457031250000, 126.538818359375000000, 44639, 33.2, 1251316
Perl, k-nucleotide, 25,1091.433227539062500000, 707.521179199218750000, 0.000793457031250000, 125.825988769531250000, 44429, 32.5, 1251416
Perl, k-nucleotide, 25,1104.698974609375000000, 716.845825195312500000, 0.000793457031250000, 127.137268066406250000, 44879, 33.0, 1251428
Perl, k-nucleotide, 25,1099.048522949218750000, 711.986816406250000000, 0.000854492187500000, 126.666564941406250000, 44724, 33.5, 1251580
Perl, k-nucleotide, 25,1095.978393554687500000, 710.637023925781250000, 0.000854492187500000, 126.422363281250000000, 44569, 32.5, 1251420
Perl, k-nucleotide, 25,1106.154968261718750000, 715.631713867187500000, 0.000854492187500000, 127.425476074218750000, 45050, 33.2, 1251820
Perl, k-nucleotide, 25,1109.561889648437500000, 718.104736328125000000, 0.000793457031250000, 127.546020507812500000, 45152, 32.8, 1247712
Perl, k-nucleotide, 25,1107.416320800781250000, 716.675354003906250000, 0.000793457031250000, 127.548950195312500000, 45126, 32.2, 1253616
Perl, k-nucleotide, 25,1091.054748535156250000, 706.725219726562500000, 0.000854492187500000, 125.710144042968750000, 44370, 33.5, 1251340
Perl, k-nucleotide, 25,1124.097473144531250000, 727.936523437500000000, 0.000793457031250000, 129.054931640625000000, 45712, 33.0, 1247864
Perl, k-nucleotide, 25,1097.439575195312500000, 711.222473144531250000, 0.000793457031250000, 126.355346679687500000, 44627, 33.5, 1247648
Perl, k-nucleotide, 25,1102.196105957031250000, 713.916625976562500000, 0.000793457031250000, 126.765625000000000000, 44823, 32.8, 1247532
Perl, k-nucleotide, 25,1107.178833007812500000, 716.371887207031250000, 0.000854492187500000, 127.536376953125000000, 45135, 32.8, 1251556
Perl, k-nucleotide, 25,1104.461547851562500000, 715.876159667968750000, 0.001708984375000000, 127.084472656250000000, 44903, 33.0, 1251208
Perl, k-nucleotide, 25,1106.525329589843750000, 716.822875976562500000, 0.000793457031250000, 127.365051269531250000, 44997, 33.0, 1247436
Perl, k-nucleotide, 25,1103.959533691406250000, 714.874084472656250000, 0.000854492187500000, 127.172241210937500000, 44886, 32.8, 1251392
