Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Python, fasta, 25,995.149841308593750000, 537.700561523437500000, 0.001770019531250000, 118.061523437500000000, 48866, 32.0, 9696
Python, fasta, 25,965.422973632812500000, 520.350036621093750000, 0.000854492187500000, 118.104125976562500000, 48884, 31.5, 9684
Python, fasta, 25,978.826354980468750000, 527.809509277343750000, 0.000793457031250000, 118.077453613281250000, 48874, 31.5, 9636
Python, fasta, 25,961.859985351562500000, 518.717590332031250000, 0.000854492187500000, 118.184936523437500000, 48918, 31.8, 9600
Python, fasta, 25,988.061889648437500000, 533.540588378906250000, 0.001708984375000000, 118.162719726562500000, 48908, 31.0, 9692
Python, fasta, 25,962.932556152343750000, 518.192382812500000000, 0.000854492187500000, 118.125671386718750000, 48894, 31.2, 9576
Python, fasta, 25,960.482116699218750000, 517.731323242187500000, 0.000793457031250000, 118.020324707031250000, 48849, 31.2, 9604
Python, fasta, 25,961.217407226562500000, 518.599426269531250000, 0.000793457031250000, 118.186340332031250000, 48918, 31.8, 9740
Python, fasta, 25,961.532348632812500000, 518.562011718750000000, 0.000793457031250000, 118.106384277343750000, 48885, 31.5, 9772
Python, fasta, 25,985.448730468750000000, 532.222900390625000000, 0.000854492187500000, 118.246948242187500000, 48943, 31.2, 9760
Python, fasta, 25,962.999572753906250000, 518.356262207031250000, 0.001647949218750000, 118.475036621093750000, 49032, 30.8, 9724
Python, fasta, 25,961.351928710937500000, 518.033386230468750000, 0.000793457031250000, 118.288269042968750000, 48960, 31.0, 9776
Python, fasta, 25,960.237487792968750000, 517.188964843750000000, 0.000793457031250000, 118.080932617187500000, 48875, 30.8, 9636
Python, fasta, 25,962.856506347656250000, 519.016906738281250000, 0.000793457031250000, 118.050964355468750000, 48863, 31.2, 9552
Python, fasta, 25,959.255004882812500000, 517.337097167968750000, 0.000854492187500000, 118.089721679687500000, 48878, 31.5, 9808
Python, fasta, 25,969.552551269531250000, 523.888305664062500000, 0.001647949218750000, 118.219116210937500000, 48932, 31.0, 9728
Python, fasta, 25,960.574462890625000000, 517.807983398437500000, 0.000793457031250000, 118.189514160156250000, 48919, 31.2, 9692
Python, fasta, 25,966.652709960937500000, 520.852539062500000000, 0.000854492187500000, 118.166992187500000000, 48910, 30.8, 9632
Python, fasta, 25,960.364929199218750000, 517.693908691406250000, 0.000793457031250000, 118.100280761718750000, 48882, 31.2, 9712
Python, fasta, 25,967.005126953125000000, 521.579223632812500000, 0.000793457031250000, 118.273376464843750000, 48954, 31.2, 9724
