Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Racket, n-body, 25,238.748840332031250000, 116.397338867187500000, 0.000854492187500000, 38.507263183593750000, 12630, 30.8, 69004
Racket, n-body, 25,238.668457031250000000, 116.364318847656250000, 0.000000000000000000, 38.245361328125000000, 12628, 30.8, 69092
Racket, n-body, 25,238.215209960937500000, 116.126342773437500000, 0.000000000000000000, 38.151000976562500000, 12623, 30.5, 68788
Racket, n-body, 25,237.668579101562500000, 115.909790039062500000, 0.000854492187500000, 38.118713378906250000, 12621, 30.2, 69036
Racket, n-body, 25,237.652099609375000000, 115.805114746093750000, 0.000000000000000000, 38.675170898437500000, 12632, 30.5, 69232
Racket, n-body, 25,237.642028808593750000, 115.831787109375000000, 0.000000000000000000, 38.373229980468750000, 12627, 30.2, 68992
Racket, n-body, 25,238.700073242187500000, 116.396484375000000000, 0.000000000000000000, 38.561889648437500000, 12636, 29.5, 69020
Racket, n-body, 25,238.809875488281250000, 116.386962890625000000, 0.000854492187500000, 38.555358886718750000, 12651, 30.0, 68972
Racket, n-body, 25,238.493774414062500000, 116.279724121093750000, 0.000000000000000000, 38.524291992187500000, 12634, 30.0, 68912
Racket, n-body, 25,238.300781250000000000, 116.111877441406250000, 0.000000000000000000, 38.772338867187500000, 12638, 29.8, 68824
Racket, n-body, 25,237.294311523437500000, 115.635681152343750000, 0.000854492187500000, 38.308288574218750000, 12636, 29.5, 68972
Racket, n-body, 25,238.884521484375000000, 116.344787597656250000, 0.000000000000000000, 38.974975585937500000, 12671, 30.0, 68968
Racket, n-body, 25,236.400512695312500000, 115.206420898437500000, 0.000000000000000000, 38.318969726562500000, 12623, 30.0, 68960
Racket, n-body, 25,237.716613769531250000, 115.819213867187500000, 0.000854492187500000, 38.556823730468750000, 12632, 30.2, 68924
Racket, n-body, 25,238.448852539062500000, 116.264038085937500000, 0.000000000000000000, 38.555847167968750000, 12640, 30.0, 69048
Racket, n-body, 25,237.043090820312500000, 115.532836914062500000, 0.000000000000000000, 38.551147460937500000, 12637, 30.0, 68556
Racket, n-body, 25,238.233642578125000000, 116.129760742187500000, 0.000793457031250000, 38.704345703125000000, 12662, 29.5, 68984
Racket, n-body, 25,237.536865234375000000, 115.788757324218750000, 0.000000000000000000, 38.531555175781250000, 12639, 29.8, 68956
Racket, n-body, 25,235.947631835937500000, 114.909240722656250000, 0.000000000000000000, 38.497619628906250000, 12646, 29.8, 68808
Racket, n-body, 25,237.985839843750000000, 115.988830566406250000, 0.000854492187500000, 38.673828125000000000, 12645, 30.2, 68940
