Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Ruby, binary-trees, 25,945.112426757812500000, 585.709716796875000000, 0.000915527343750000, 114.451599121093750000, 40129, 31.8, 552548
Ruby, binary-trees, 25,934.238586425781250000, 581.709716796875000000, 0.000915527343750000, 113.055786132812500000, 39607, 31.0, 557100
Ruby, binary-trees, 25,928.888183593750000000, 577.176696777343750000, 0.000854492187500000, 112.470092773437500000, 39383, 31.5, 556932
Ruby, binary-trees, 25,933.490356445312500000, 580.480285644531250000, 0.000854492187500000, 112.829040527343750000, 39512, 31.8, 556956
Ruby, binary-trees, 25,937.889404296875000000, 581.627441406250000000, 0.000793457031250000, 113.628784179687500000, 39861, 31.5, 552592
Ruby, binary-trees, 25,929.772277832031250000, 578.331115722656250000, 0.000854492187500000, 112.685974121093750000, 39432, 31.5, 557092
Ruby, binary-trees, 25,948.119995117187500000, 588.138000488281250000, 0.000854492187500000, 114.261840820312500000, 40187, 32.0, 556956
Ruby, binary-trees, 25,933.125000000000000000, 579.517700195312500000, 0.000793457031250000, 112.931701660156250000, 39552, 31.5, 556956
Ruby, binary-trees, 25,941.662414550781250000, 584.625549316406250000, 0.000000000000000000, 113.872314453125000000, 39972, 31.0, 552600
Ruby, binary-trees, 25,933.917663574218750000, 579.557250976562500000, 0.000915527343750000, 113.114135742187500000, 39551, 31.8, 556948
Ruby, binary-trees, 25,939.377929687500000000, 582.803100585937500000, 0.000915527343750000, 113.741943359375000000, 39869, 31.2, 552544
Ruby, binary-trees, 25,936.420715332031250000, 581.034423828125000000, 0.000854492187500000, 113.298156738281250000, 39725, 31.2, 556984
Ruby, binary-trees, 25,929.838684082031250000, 578.355224609375000000, 0.000854492187500000, 112.540771484375000000, 39415, 31.2, 557188
Ruby, binary-trees, 25,941.378845214843750000, 583.438171386718750000, 0.000854492187500000, 113.802490234375000000, 39907, 32.0, 552520
Ruby, binary-trees, 25,940.438720703125000000, 583.981262207031250000, 0.000793457031250000, 113.846862792968750000, 39928, 31.8, 552660
Ruby, binary-trees, 25,942.700561523437500000, 584.397338867187500000, 0.000854492187500000, 113.887634277343750000, 39963, 31.2, 556868
Ruby, binary-trees, 25,928.578063964843750000, 577.232666015625000000, 0.000793457031250000, 112.375427246093750000, 39357, 31.5, 556932
Ruby, binary-trees, 25,941.517639160156250000, 584.727355957031250000, 0.000915527343750000, 113.929382324218750000, 39988, 32.0, 552508
Ruby, binary-trees, 25,932.596313476562500000, 578.750854492187500000, 0.000854492187500000, 112.852966308593750000, 39512, 31.8, 557084
Ruby, binary-trees, 25,941.070373535156250000, 584.471557617187500000, 0.000854492187500000, 113.544128417968750000, 39895, 31.5, 557024
