Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Ruby, fasta, 25,803.050109863281250000, 435.821594238281250000, 0.000976562500000000, 91.707275390625000000, 37929, 32.8, 115540
Ruby, fasta, 25,817.602355957031250000, 442.019165039062500000, 0.000976562500000000, 94.023254394531250000, 38891, 33.8, 115544
Ruby, fasta, 25,796.391662597656250000, 431.833435058593750000, 0.000976562500000000, 91.964355468750000000, 38039, 33.0, 115380
Ruby, fasta, 25,828.193603515625000000, 447.339904785156250000, 0.000915527343750000, 94.714111328125000000, 39175, 33.0, 115420
Ruby, fasta, 25,808.584289550781250000, 437.874755859375000000, 0.001037597656250000, 93.188659667968750000, 38546, 34.2, 115380
Ruby, fasta, 25,811.751892089843750000, 439.232727050781250000, 0.000915527343750000, 95.536071777343750000, 39518, 33.2, 115540
Ruby, fasta, 25,789.341735839843750000, 428.404846191406250000, 0.000915527343750000, 91.354248046875000000, 37788, 34.5, 115424
Ruby, fasta, 25,802.898559570312500000, 435.616333007812500000, 0.000976562500000000, 92.338745117187500000, 38191, 34.0, 115408
Ruby, fasta, 25,797.338439941406250000, 432.572387695312500000, 0.000915527343750000, 91.406738281250000000, 37804, 33.2, 115544
Ruby, fasta, 25,804.949890136718750000, 436.369201660156250000, 0.000000000000000000, 92.698974609375000000, 38344, 33.2, 115396
Ruby, fasta, 25,795.592651367187500000, 430.632690429687500000, 0.000976562500000000, 92.888244628906250000, 38419, 32.8, 115456
Ruby, fasta, 25,802.628356933593750000, 435.659912109375000000, 0.000915527343750000, 91.999816894531250000, 38053, 32.2, 115468
Ruby, fasta, 25,809.280639648437500000, 438.600708007812500000, 0.000000000000000000, 92.707214355468750000, 38348, 34.0, 115572
Ruby, fasta, 25,809.887084960937500000, 437.879882812500000000, 0.000915527343750000, 94.798095703125000000, 39211, 33.2, 115500
Ruby, fasta, 25,805.410278320312500000, 435.489440917968750000, 0.000915527343750000, 94.515441894531250000, 39095, 33.2, 115428
Ruby, fasta, 25,823.998840332031250000, 444.562011718750000000, 0.000915527343750000, 95.930297851562500000, 39680, 33.2, 115496
Ruby, fasta, 25,807.681396484375000000, 438.175964355468750000, 0.000915527343750000, 92.476806640625000000, 38251, 33.2, 115576
Ruby, fasta, 25,783.833923339843750000, 424.869506835937500000, 0.000915527343750000, 91.757690429687500000, 37952, 33.8, 115432
Ruby, fasta, 25,787.128540039062500000, 426.897949218750000000, 0.000915527343750000, 91.652954101562500000, 37909, 33.0, 115404
Ruby, fasta, 25,787.515197753906250000, 426.376892089843750000, 0.000915527343750000, 92.202575683593750000, 38138, 32.5, 115440
