Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Ruby, k-nucleotide, 25,2964.910156250000000000, 1938.434509277343750000, 0.002685546875000000, 336.684020996093750000, 119423, 36.2, 165516
Ruby, k-nucleotide, 25,2967.338623046875000000, 1927.866760253906250000, 0.001831054687500000, 339.682678222656250000, 120600, 36.0, 165504
Ruby, k-nucleotide, 25,2963.007385253906250000, 1923.043518066406250000, 0.002685546875000000, 341.805969238281250000, 120479, 35.8, 165688
Ruby, k-nucleotide, 25,2935.690917968750000000, 1915.186828613281250000, 0.002746582031250000, 336.012268066406250000, 118630, 35.2, 165328
Ruby, k-nucleotide, 25,2937.460998535156250000, 1921.199707031250000000, 0.001892089843750000, 334.367797851562500000, 118240, 36.2, 165748
Ruby, k-nucleotide, 25,2987.041870117187500000, 1939.833312988281250000, 0.002929687500000000, 341.354187011718750000, 121262, 36.5, 165476
Ruby, k-nucleotide, 25,2925.591186523437500000, 1914.672363281250000000, 0.002807617187500000, 332.960205078125000000, 117695, 36.8, 165484
Ruby, k-nucleotide, 25,2941.794555664062500000, 1918.213684082031250000, 0.002746582031250000, 339.669250488281250000, 118851, 36.5, 165624
Ruby, k-nucleotide, 25,2927.735900878906250000, 1907.725524902343750000, 0.002685546875000000, 338.700012207031250000, 118570, 36.5, 165532
Ruby, k-nucleotide, 25,2931.214599609375000000, 1910.409179687500000000, 0.002624511718750000, 337.517028808593750000, 118490, 36.8, 165576
Ruby, k-nucleotide, 25,2960.998596191406250000, 1929.676635742187500000, 0.002685546875000000, 340.633789062500000000, 119608, 37.0, 165340
Ruby, k-nucleotide, 25,2962.005249023437500000, 1932.686340332031250000, 0.001892089843750000, 340.142028808593750000, 119493, 36.8, 165696
Ruby, k-nucleotide, 25,2939.030273437500000000, 1920.352111816406250000, 0.001892089843750000, 338.582031250000000000, 118425, 36.2, 165704
Ruby, k-nucleotide, 25,2981.799438476562500000, 1936.904235839843750000, 0.002685546875000000, 341.678222656250000000, 121033, 36.2, 165484
Ruby, k-nucleotide, 25,2924.284484863281250000, 1908.049621582031250000, 0.002807617187500000, 338.042053222656250000, 118185, 36.2, 165628
Ruby, k-nucleotide, 25,2932.818420410156250000, 1909.578674316406250000, 0.002685546875000000, 338.962341308593750000, 118816, 36.2, 165480
Ruby, k-nucleotide, 25,2893.532958984375000000, 1891.530090332031250000, 0.002685546875000000, 334.601135253906250000, 116577, 37.0, 165552
Ruby, k-nucleotide, 25,2931.141967773437500000, 1912.624877929687500000, 0.002685546875000000, 337.880859375000000000, 118351, 36.5, 165396
Ruby, k-nucleotide, 25,2942.153442382812500000, 1917.525329589843750000, 0.002685546875000000, 337.198486328125000000, 119047, 37.0, 165696
Ruby, k-nucleotide, 25,2961.003479003906250000, 1927.092773437500000000, 0.002746582031250000, 338.272033691406250000, 119793, 36.0, 165540
