Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Ruby, n-body, 2,8865.939636230468750000, 988.530761718750000000, 0.014038085937500000, 2908.445434570312500000, 1.20387E+06, 27.0, 16368
Ruby, n-body, 2,8832.961303710937500000, 978.433654785156250000, 0.013732910156250000, 2930.082336425781250000, 1.2128E+06, 26.0, 16492
Ruby, n-body, 2,8845.606445312500000000, 978.288635253906250000, 0.013977050781250000, 2938.098083496093750000, 1.21616E+06, 26.8, 16372
Ruby, n-body, 2,9042.573608398437500000, 991.449401855468750000, 0.014648437500000000, -259151.861633300781250000, 1.23852E+06, 26.8, 16392
Ruby, n-body, 2,8948.242980957031250000, 994.287231445312500000, 0.014465332031250000, 2935.769958496093750000, 1.21518E+06, 26.5, 16364
Ruby, n-body, 2,8795.990234375000000000, 975.847473144531250000, 0.013854980468750000, 2931.382934570312500000, 1.2133E+06, 26.0, 16388
Ruby, n-body, 2,8912.137695312500000000, 992.031127929687500000, 0.014465332031250000, 2933.975524902343750000, 1.21442E+06, 26.2, 16388
Ruby, n-body, 2,8938.320068359375000000, 985.728637695312500000, 0.013793945312500000, 2972.395385742187500000, 1.23035E+06, 26.8, 16256
Ruby, n-body, 2,8972.726257324218750000, 997.215026855468750000, 0.013793945312500000, 2933.797424316406250000, 1.21437E+06, 27.5, 16388
Ruby, n-body, 2,8899.256286621093750000, 987.075927734375000000, 0.014160156250000000, 2939.799865722656250000, 1.21686E+06, 26.5, 16244
Ruby, n-body, 2,8950.365173339843750000, 996.056762695312500000, 0.013977050781250000, 2932.204284667968750000, 1.21371E+06, 26.2, 16248
Ruby, n-body, 2,8863.506835937500000000, 986.121887207031250000, 0.013610839843750000, 2921.144409179687500000, 1.20912E+06, 26.5, 16360
Ruby, n-body, 2,8858.602172851562500000, 978.904846191406250000, 0.013793945312500000, 2948.475769042968750000, 1.22045E+06, 27.0, 16212
Ruby, n-body, 2,8787.949707031250000000, 971.552612304687500000, 0.013549804687500000, 2933.247619628906250000, 1.21414E+06, 26.0, 16200
Ruby, n-body, 2,8903.503112792968750000, 986.285339355468750000, 0.014160156250000000, 2951.804748535156250000, 1.22182E+06, 26.2, 16292
Ruby, n-body, 2,8946.984497070312500000, 993.570007324218750000, 0.013488769531250000, 2967.239685058593750000, 1.2282E+06, 26.2, 16396
Ruby, n-body, 2,9141.097656250000000000, 1037.656494140625000000, 0.014282226562500000, 2995.587890625000000000, 1.23941E+06, 26.5, 16416
Ruby, n-body, 2,8929.346374511718750000, 995.020507812500000000, 0.013549804687500000, 2932.163269042968750000, 1.21369E+06, 26.8, 16216
Ruby, n-body, 2,9141.174743652343750000, 1011.180541992187500000, 0.014038085937500000, 3011.002014160156250000, 1.24633E+06, 25.8, 16392
Ruby, n-body, 2,-253090.717895507812500000, 1000.982849121093750000, 0.014404296875000000, 2994.073547363281250000, 1.23929E+06, 26.2, 16360
