Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Ruby, regex-redux, 25,252.899658203125000000, 148.672607421875000000, 0.000915527343750000, 28.012695312500000000, 11299, 32.2, 207700
Ruby, regex-redux, 25,257.453613281250000000, 150.799743652343750000, 0.000000000000000000, 28.650085449218750000, 11567, 32.0, 207644
Ruby, regex-redux, 25,251.850708007812500000, 148.085937500000000000, 0.000000000000000000, 28.028564453125000000, 11309, 32.2, 207728
Ruby, regex-redux, 25,252.342529296875000000, 148.270385742187500000, 0.000000000000000000, 28.167236328125000000, 11338, 32.0, 207612
Ruby, regex-redux, 25,253.542419433593750000, 149.135375976562500000, 0.000915527343750000, 28.246520996093750000, 11384, 32.5, 207696
Ruby, regex-redux, 25,254.546691894531250000, 149.537292480468750000, 0.000000000000000000, 28.300476074218750000, 11408, 32.2, 207520
Ruby, regex-redux, 25,253.791625976562500000, 149.099243164062500000, 0.000000000000000000, 28.240417480468750000, 11385, 32.2, 207572
Ruby, regex-redux, 25,253.367309570312500000, 148.850646972656250000, 0.000000000000000000, 28.172058105468750000, 11356, 32.2, 207520
Ruby, regex-redux, 25,253.155761718750000000, 148.587280273437500000, 0.000000000000000000, 28.213928222656250000, 11374, 32.5, 207700
Ruby, regex-redux, 25,253.355285644531250000, 148.970092773437500000, 0.000000000000000000, 28.202636718750000000, 11374, 32.0, 207676
Ruby, regex-redux, 25,254.001281738281250000, 149.033020019531250000, 0.000000000000000000, 28.279113769531250000, 11408, 33.0, 207552
Ruby, regex-redux, 25,251.901550292968750000, 148.029968261718750000, 0.000000000000000000, 28.160888671875000000, 11347, 33.2, 207540
Ruby, regex-redux, 25,252.595581054687500000, 148.486145019531250000, 0.000000000000000000, 28.142272949218750000, 11342, 33.2, 207660
Ruby, regex-redux, 25,252.805480957031250000, 148.522888183593750000, 0.000854492187500000, 28.208862304687500000, 11374, 32.5, 207556
Ruby, regex-redux, 25,251.095458984375000000, 147.755187988281250000, 0.000000000000000000, 28.006042480468750000, 11302, 33.0, 207608
Ruby, regex-redux, 25,251.679504394531250000, 148.160034179687500000, 0.000000000000000000, 28.033264160156250000, 11302, 33.0, 207564
Ruby, regex-redux, 25,251.648376464843750000, 148.034973144531250000, 0.000854492187500000, 28.122009277343750000, 11330, 33.0, 207632
Ruby, regex-redux, 25,252.050109863281250000, 148.349914550781250000, 0.000000000000000000, 28.151489257812500000, 11355, 31.5, 207508
Ruby, regex-redux, 25,252.261230468750000000, 148.309448242187500000, 0.000915527343750000, 28.226806640625000000, 11371, 32.5, 207592
Ruby, regex-redux, 25,251.319396972656250000, 147.836547851562500000, 0.000000000000000000, 27.990234375000000000, 11289, 32.0, 207504
