Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Ruby, spectral-norm, 10,3412.005432128906250000, 1166.122009277343750000, 0.004821777343750000, 749.222717285156250000, 309897, 28.0, 19676
Ruby, spectral-norm, 10,3406.368286132812500000, 1166.224121093750000000, 0.004272460937500000, 747.079895019531250000, 309007, 28.0, 19444
Ruby, spectral-norm, 10,3420.934204101562500000, 1170.123168945312500000, 0.004272460937500000, 751.817993164062500000, 310903, 28.0, 19484
Ruby, spectral-norm, 10,3406.953247070312500000, 1166.873962402343750000, 0.004211425781250000, 746.624328613281250000, 308790, 28.2, 19596
Ruby, spectral-norm, 10,3392.918090820312500000, 1161.681884765625000000, 0.004272460937500000, 745.611694335937500000, 308381, 27.8, 19484
Ruby, spectral-norm, 10,3400.273437500000000000, 1162.853393554687500000, 0.004272460937500000, 745.853149414062500000, 308481, 27.8, 19528
Ruby, spectral-norm, 10,3420.499084472656250000, 1170.644531250000000000, 0.004943847656250000, 747.761230468750000000, 309274, 28.2, 19500
Ruby, spectral-norm, 10,3431.023620605468750000, 1171.965759277343750000, 0.004272460937500000, 750.783447265625000000, 310520, 28.2, 19528
Ruby, spectral-norm, 10,3411.358703613281250000, 1167.102355957031250000, 0.004333496093750000, 747.496032714843750000, 309159, 28.0, 19620
Ruby, spectral-norm, 10,3424.303955078125000000, 1170.130554199218750000, 0.004272460937500000, 750.865478515625000000, 310551, 27.8, 19648
Ruby, spectral-norm, 10,3410.755615234375000000, 1166.805908203125000000, 0.004394531250000000, 746.377197265625000000, 308689, 28.0, 19552
Ruby, spectral-norm, 10,3471.810485839843750000, 1182.803161621093750000, 0.004699707031250000, 761.594360351562500000, 314997, 28.2, 19532
Ruby, spectral-norm, 10,3420.550598144531250000, 1169.429687500000000000, 0.004211425781250000, 748.211914062500000000, 309462, 27.5, 19524
Ruby, spectral-norm, 10,3399.162658691406250000, 1164.075988769531250000, 0.004150390625000000, 744.780334472656250000, 308043, 27.8, 19668
Ruby, spectral-norm, 10,3490.285156250000000000, 1187.084838867187500000, 0.004333496093750000, 765.439331054687500000, 316595, 28.0, 19652
Ruby, spectral-norm, 10,3415.065795898437500000, 1166.852722167968750000, 0.005004882812500000, 749.212036132812500000, 309876, 28.0, 19576
Ruby, spectral-norm, 10,3412.221618652343750000, 1165.556152343750000000, 0.004211425781250000, 749.893615722656250000, 310159, 28.0, 19700
Ruby, spectral-norm, 10,3396.172973632812500000, 1161.603027343750000000, 0.004150390625000000, 746.706970214843750000, 308836, 28.0, 19484
Ruby, spectral-norm, 10,3451.438903808593750000, 1176.919616699218750000, 0.004516601562500000, 758.259765625000000000, 313617, 27.2, 19636
Ruby, spectral-norm, 10,3453.851806640625000000, 1179.523864746093750000, 0.004943847656250000, 758.952941894531250000, 313848, 27.8, 19532
