Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Rust, binary-trees, 10,492.957275390625000000, 153.683532714843750000, 0.000610351562500000, 115.904174804687500000, 47211, 28.0, 199236
Rust, binary-trees, 10,491.050598144531250000, 154.206237792968750000, 0.000610351562500000, 114.676818847656250000, 46697, 27.5, 199460
Rust, binary-trees, 10,492.449279785156250000, 153.813293457031250000, 0.000610351562500000, 115.140319824218750000, 46992, 27.5, 133404
Rust, binary-trees, 10,492.561584472656250000, 154.325012207031250000, 0.000610351562500000, 115.108337402343750000, 46889, 27.2, 199360
Rust, binary-trees, 10,493.249023437500000000, 154.448608398437500000, 0.001098632812500000, 114.703491210937500000, 46891, 27.8, 166544
Rust, binary-trees, 10,495.790710449218750000, 154.366149902343750000, 0.000610351562500000, 116.180297851562500000, 47429, 27.5, 174728
Rust, binary-trees, 10,491.144836425781250000, 154.312927246093750000, 0.000610351562500000, 114.531494140625000000, 46652, 27.5, 199236
Rust, binary-trees, 10,490.363769531250000000, 153.846435546875000000, 0.000549316406250000, 114.228698730468750000, 46693, 28.5, 199460
Rust, binary-trees, 10,492.490600585937500000, 153.868164062500000000, 0.000549316406250000, 115.036254882812500000, 47028, 27.2, 166452
Rust, binary-trees, 10,490.538635253906250000, 153.756408691406250000, 0.000549316406250000, 114.380310058593750000, 46758, 27.5, 199192
Rust, binary-trees, 10,493.440856933593750000, 154.719665527343750000, 0.000549316406250000, 115.048583984375000000, 46868, 27.0, 199252
Rust, binary-trees, 10,493.893005371093750000, 154.406921386718750000, 0.000610351562500000, 115.539245605468750000, 47077, 27.2, 199376
Rust, binary-trees, 10,491.547363281250000000, 154.660034179687500000, 0.000549316406250000, 114.073303222656250000, 46557, 27.5, 141964
Rust, binary-trees, 10,492.334655761718750000, 154.052673339843750000, 0.000610351562500000, 115.270385742187500000, 46947, 26.5, 150072
Rust, binary-trees, 10,496.518798828125000000, 155.013366699218750000, 0.000610351562500000, 115.531677246093750000, 47143, 27.0, 199388
Rust, binary-trees, 10,494.592773437500000000, 154.526855468750000000, 0.001159667968750000, 115.500915527343750000, 47050, 26.5, 199380
Rust, binary-trees, 10,492.902954101562500000, 154.205810546875000000, 0.000610351562500000, 114.882812500000000000, 46967, 27.2, 199388
Rust, binary-trees, 10,494.401550292968750000, 154.500488281250000000, 0.000610351562500000, 115.053710937500000000, 47036, 26.5, 166388
Rust, binary-trees, 10,493.559692382812500000, 154.916687011718750000, 0.000610351562500000, 114.839416503906250000, 46843, 27.2, 199368
Rust, binary-trees, 10,491.948425292968750000, 153.508666992187500000, 0.000549316406250000, 115.235595703125000000, 47110, 27.2, 166560
