Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Rust, fannkuch-redux, 10,1410.547668457031250000, 432.835876464843750000, 0.001647949218750000, 329.995422363281250000, 136585, 26.8, 31844
Rust, fannkuch-redux, 10,1410.160827636718750000, 432.685668945312500000, 0.001647949218750000, 330.470642089843750000, 136782, 28.0, 31768
Rust, fannkuch-redux, 10,1406.030090332031250000, 431.221191406250000000, 0.001647949218750000, 330.256164550781250000, 136692, 27.8, 31428
Rust, fannkuch-redux, 10,1395.369201660156250000, 427.699218750000000000, 0.002258300781250000, 329.744201660156250000, 136480, 27.5, 31656
Rust, fannkuch-redux, 10,1402.332092285156250000, 429.855468750000000000, 0.001770019531250000, 330.119812011718750000, 136637, 27.5, 31616
Rust, fannkuch-redux, 10,1403.394714355468750000, 430.572998046875000000, 0.001770019531250000, 330.260009765625000000, 136695, 27.8, 31704
Rust, fannkuch-redux, 10,1405.702819824218750000, 430.852050781250000000, 0.001647949218750000, 330.817626953125000000, 136926, 27.5, 31588
Rust, fannkuch-redux, 10,1406.319213867187500000, 431.297424316406250000, 0.001708984375000000, 330.591552734375000000, 136832, 27.2, 31568
Rust, fannkuch-redux, 10,1419.463073730468750000, 434.109008789062500000, 0.002380371093750000, 332.298706054687500000, 137539, 27.5, 31880
Rust, fannkuch-redux, 10,1405.685424804687500000, 430.985900878906250000, 0.001770019531250000, 329.901489257812500000, 136546, 26.8, 31848
Rust, fannkuch-redux, 10,1414.964233398437500000, 434.008117675781250000, 0.001831054687500000, 330.848144531250000000, 136938, 27.0, 31644
Rust, fannkuch-redux, 10,1393.234313964843750000, 427.034484863281250000, 0.001708984375000000, 329.940002441406250000, 136562, 27.5, 31392
Rust, fannkuch-redux, 10,1395.362609863281250000, 427.437744140625000000, 0.001708984375000000, 330.591552734375000000, 136831, 28.2, 31732
Rust, fannkuch-redux, 10,1388.802246093750000000, 425.282836914062500000, 0.001708984375000000, 329.804992675781250000, 136505, 27.8, 31712
Rust, fannkuch-redux, 10,1401.332946777343750000, 429.410522460937500000, 0.002319335937500000, 330.124145507812500000, 136638, 27.5, 31924
Rust, fannkuch-redux, 10,1398.551208496093750000, 428.765930175781250000, 0.001770019531250000, 329.817504882812500000, 136511, 27.2, 31676
Rust, fannkuch-redux, 10,1390.759765625000000000, 426.450744628906250000, 0.001647949218750000, 329.404357910156250000, 136339, 27.5, 31600
Rust, fannkuch-redux, 10,1401.083251953125000000, 428.429260253906250000, 0.001831054687500000, 331.560363769531250000, 137233, 27.2, 31668
Rust, fannkuch-redux, 10,1398.962463378906250000, 428.663452148437500000, 0.001770019531250000, 329.981384277343750000, 136580, 28.0, 31572
Rust, fannkuch-redux, 10,1395.466796875000000000, 427.806884765625000000, 0.001831054687500000, 329.923950195312500000, 136555, 27.8, 31420
