Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Rust, fasta, 10,304.109863281250000000, 84.967346191406250000, 0.000610351562500000, 73.757629394531250000, 30520, 28.5, 31652
Rust, fasta, 10,305.171081542968750000, 84.886657714843750000, 0.000000000000000000, 74.023254394531250000, 30631, 28.0, 31668
Rust, fasta, 10,305.702026367187500000, 84.989196777343750000, 0.000610351562500000, 74.153442382812500000, 30686, 27.0, 31756
Rust, fasta, 10,303.810852050781250000, 84.866882324218750000, 0.000610351562500000, 73.688659667968750000, 30494, 27.2, 31708
Rust, fasta, 10,305.058105468750000000, 84.985046386718750000, 0.000610351562500000, 73.995788574218750000, 30620, 27.2, 31728
Rust, fasta, 10,306.301757812500000000, 84.956481933593750000, 0.000000000000000000, 74.301757812500000000, 30746, 28.0, 31612
Rust, fasta, 10,307.626220703125000000, 84.954711914062500000, 0.000610351562500000, 74.625915527343750000, 30881, 27.5, 31760
Rust, fasta, 10,307.570068359375000000, 84.994506835937500000, 0.000549316406250000, 74.620300292968750000, 30879, 27.2, 31992
Rust, fasta, 10,305.145141601562500000, 84.854064941406250000, 0.000000000000000000, 74.018005371093750000, 30629, 27.8, 31844
Rust, fasta, 10,307.395080566406250000, 84.853088378906250000, 0.000610351562500000, 74.567993164062500000, 30857, 28.2, 31588
Rust, fasta, 10,380.728393554687500000, 106.578369140625000000, 0.000549316406250000, 92.344299316406250000, 38215, 28.2, 32032
Rust, fasta, 10,304.325805664062500000, 84.902282714843750000, 0.000610351562500000, 73.843688964843750000, 30557, 27.5, 31848
Rust, fasta, 10,304.900085449218750000, 84.876770019531250000, 0.000000000000000000, 73.956970214843750000, 30605, 27.5, 31848
Rust, fasta, 10,304.504516601562500000, 84.875488281250000000, 0.000610351562500000, 73.863769531250000000, 30565, 27.0, 32044
Rust, fasta, 10,307.141174316406250000, 84.957580566406250000, 0.000610351562500000, 74.507995605468750000, 30831, 28.0, 31568
Rust, fasta, 10,307.858581542968750000, 85.323913574218750000, 0.000610351562500000, 74.676086425781250000, 30901, 27.8, 31312
Rust, fasta, 10,305.432189941406250000, 85.016174316406250000, 0.000000000000000000, 74.089782714843750000, 30659, 27.2, 31624
Rust, fasta, 10,306.175842285156250000, 84.869140625000000000, 0.000549316406250000, 74.271057128906250000, 30733, 26.8, 31612
Rust, fasta, 10,306.138549804687500000, 84.856018066406250000, 0.000610351562500000, 74.261291503906250000, 30730, 27.0, 32032
Rust, fasta, 10,307.318298339843750000, 84.799255371093750000, 0.000000000000000000, 74.548034667968750000, 30849, 27.2, 31524
