Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Rust, k-nucleotide, 10,2406.909179687500000000, 753.600463867187500000, 0.002990722656250000, 562.025756835937500000, 231922, 27.2, 134548
Rust, k-nucleotide, 10,2407.630859375000000000, 754.101013183593750000, 0.003417968750000000, 561.961914062500000000, 231897, 27.5, 134904
Rust, k-nucleotide, 10,2403.288024902343750000, 752.926208496093750000, 0.003051757812500000, 560.037170410156250000, 231600, 27.5, 133844
Rust, k-nucleotide, 10,2411.087890625000000000, 754.793212890625000000, 0.003417968750000000, 563.039672851562500000, 232279, 27.5, 134596
Rust, k-nucleotide, 10,2406.023437500000000000, 753.493835449218750000, 0.002929687500000000, 561.524902343750000000, 231840, 27.5, 134600
Rust, k-nucleotide, 10,2406.419738769531250000, 752.741821289062500000, 0.002990722656250000, 562.728942871093750000, 232174, 26.5, 134596
Rust, k-nucleotide, 10,2403.328002929687500000, 751.930236816406250000, 0.003479003906250000, 562.606994628906250000, 232091, 27.2, 134520
Rust, k-nucleotide, 10,2406.649475097656250000, 752.580444335937500000, 0.002929687500000000, 563.067871093750000000, 232300, 27.8, 134472
Rust, k-nucleotide, 10,2407.054443359375000000, 753.948425292968750000, 0.002929687500000000, 562.798400878906250000, 232176, 27.8, 134556
Rust, k-nucleotide, 10,2408.447204589843750000, 753.514587402343750000, 0.003479003906250000, 563.109252929687500000, 232260, 27.8, 134596
Rust, k-nucleotide, 10,2406.723144531250000000, 752.877624511718750000, 0.002868652343750000, 562.807800292968750000, 232216, 27.8, 134608
Rust, k-nucleotide, 10,2414.835693359375000000, 755.408630371093750000, 0.003417968750000000, 564.755737304687500000, 232992, 27.8, 134584
Rust, k-nucleotide, 10,2413.682800292968750000, 755.075073242187500000, 0.002929687500000000, 563.612060546875000000, 232700, 27.8, 134516
Rust, k-nucleotide, 10,2404.827087402343750000, 752.521850585937500000, 0.002868652343750000, 561.395507812500000000, 231824, 28.0, 134600
Rust, k-nucleotide, 10,2404.081970214843750000, 752.400146484375000000, 0.003479003906250000, 562.544311523437500000, 232030, 27.2, 134612
Rust, k-nucleotide, 10,2404.793029785156250000, 752.985534667968750000, 0.002746582031250000, 561.406250000000000000, 231832, 27.8, 134560
Rust, k-nucleotide, 10,2410.275634765625000000, 753.501159667968750000, 0.003479003906250000, 563.016906738281250000, 232241, 27.5, 134784
Rust, k-nucleotide, 10,2412.724609375000000000, 753.845275878906250000, 0.002929687500000000, 563.340148925781250000, 232380, 28.2, 134624
Rust, k-nucleotide, 10,2407.364501953125000000, 752.899597167968750000, 0.002990722656250000, 561.748291015625000000, 231903, 28.2, 134652
Rust, k-nucleotide, 10,2408.280273437500000000, 752.957641601562500000, 0.003479003906250000, 562.031921386718750000, 231991, 28.5, 134812
