Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Rust, mandelbrot, 10,976.193908691406250000, 319.536560058593750000, 0.001220703125000000, 216.487243652343750000, 89596, 28.2, 33388
Rust, mandelbrot, 10,986.296875000000000000, 322.319091796875000000, 0.001220703125000000, 218.579345703125000000, 90462, 28.2, 33368
Rust, mandelbrot, 10,971.574951171875000000, 317.896911621093750000, 0.001220703125000000, 216.796997070312500000, 89724, 28.2, 33360
Rust, mandelbrot, 10,978.400817871093750000, 319.688293457031250000, 0.001220703125000000, 218.224914550781250000, 90316, 28.8, 33340
Rust, mandelbrot, 10,980.573425292968750000, 321.001220703125000000, 0.001220703125000000, 216.833496093750000000, 89740, 28.2, 33380
Rust, mandelbrot, 10,976.335754394531250000, 319.611511230468750000, 0.001220703125000000, 216.468017578125000000, 89588, 28.2, 33636
Rust, mandelbrot, 10,992.631774902343750000, 323.220581054687500000, 0.001892089843750000, 218.874023437500000000, 90584, 28.5, 33612
Rust, mandelbrot, 10,981.013854980468750000, 320.539367675781250000, 0.001342773437500000, 218.088317871093750000, 90258, 28.2, 33620
Rust, mandelbrot, 10,978.295776367187500000, 320.059570312500000000, 0.001220703125000000, 216.888305664062500000, 89762, 28.8, 33660
Rust, mandelbrot, 10,983.786926269531250000, 322.007324218750000000, 0.001281738281250000, 216.871398925781250000, 89754, 29.2, 33300
Rust, mandelbrot, 10,973.349853515625000000, 318.056701660156250000, 0.001220703125000000, 217.438781738281250000, 89991, 27.5, 33416
Rust, mandelbrot, 10,984.885925292968750000, 322.282165527343750000, 0.001220703125000000, 217.477050781250000000, 90006, 28.5, 33608
Rust, mandelbrot, 10,981.887145996093750000, 320.824157714843750000, 0.001159667968750000, 218.531250000000000000, 90442, 28.5, 33644
Rust, mandelbrot, 10,968.660522460937500000, 316.710144042968750000, 0.001220703125000000, 216.759826660156250000, 89710, 28.5, 33316
Rust, mandelbrot, 10,976.668090820312500000, 317.624511718750000000, 0.001220703125000000, 218.914245605468750000, 90601, 27.8, 33332
Rust, mandelbrot, 10,988.175354003906250000, 321.424011230468750000, 0.001342773437500000, 218.843200683593750000, 90571, 27.8, 33548
Rust, mandelbrot, 10,988.004089355468750000, 322.706787109375000000, 0.001831054687500000, 218.171630859375000000, 90294, 28.8, 33436
Rust, mandelbrot, 10,980.550354003906250000, 320.465759277343750000, 0.001281738281250000, 217.174804687500000000, 89880, 28.2, 33356
Rust, mandelbrot, 10,986.776672363281250000, 321.003906250000000000, 0.001281738281250000, 218.781860351562500000, 90546, 28.2, 33444
Rust, mandelbrot, 10,981.601623535156250000, 318.991577148437500000, 0.001220703125000000, 218.845336914062500000, 90572, 27.5, 33424
