Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Rust, n-body, 10,1963.479553222656250000, 834.634765625000000000, 0.002319335937500000, 476.304565429687500000, 197146, 28.2, 33516
Rust, n-body, 10,1963.309082031250000000, 834.867797851562500000, 0.002380371093750000, 476.238220214843750000, 197119, 28.5, 33352
Rust, n-body, 10,1964.685119628906250000, 835.689147949218750000, 0.001892089843750000, 476.600036621093750000, 197268, 28.5, 33108
Rust, n-body, 10,1963.771484375000000000, 835.269531250000000000, 0.002319335937500000, 476.414855957031250000, 197191, 28.5, 33288
Rust, n-body, 10,1961.293762207031250000, 834.753295898437500000, 0.001892089843750000, 475.777954101562500000, 196928, 28.0, 33580
Rust, n-body, 10,1961.542236328125000000, 834.334167480468750000, 0.002380371093750000, 475.881896972656250000, 196969, 28.5, 33380
Rust, n-body, 10,1959.626281738281250000, 834.026977539062500000, 0.001892089843750000, 475.402954101562500000, 196773, 28.5, 33340
Rust, n-body, 10,1959.963623046875000000, 834.617126464843750000, 0.002441406250000000, 475.468139648437500000, 196800, 28.0, 33540
Rust, n-body, 10,1960.221679687500000000, 835.533996582031250000, 0.002441406250000000, 475.555908203125000000, 196836, 28.5, 33384
Rust, n-body, 10,1962.473083496093750000, 834.919860839843750000, 0.001831054687500000, 476.099487304687500000, 197061, 28.2, 33456
Rust, n-body, 10,1959.173950195312500000, 833.770507812500000000, 0.002319335937500000, 475.313598632812500000, 196736, 28.8, 33192
Rust, n-body, 10,1963.603210449218750000, 835.361328125000000000, 0.001892089843750000, 476.395629882812500000, 197183, 29.0, 33572
Rust, n-body, 10,1958.898071289062500000, 833.358947753906250000, 0.002319335937500000, 475.240295410156250000, 196706, 28.0, 33320
Rust, n-body, 10,1960.017944335937500000, 833.677978515625000000, 0.001953125000000000, 475.527587890625000000, 196823, 29.0, 33600
Rust, n-body, 10,1966.186218261718750000, 835.179260253906250000, 0.002441406250000000, 477.027343750000000000, 197443, 29.0, 33324
Rust, n-body, 10,1961.436401367187500000, 834.014221191406250000, 0.002380371093750000, 475.874084472656250000, 196965, 28.5, 33320
Rust, n-body, 10,1963.004882812500000000, 835.244812011718750000, 0.001953125000000000, 476.230957031250000000, 197114, 28.5, 33540
Rust, n-body, 10,1966.000183105468750000, 834.476440429687500000, 0.002441406250000000, 477.003540039062500000, 197433, 28.8, 33468
Rust, n-body, 10,1964.702880859375000000, 834.431945800781250000, 0.001953125000000000, 476.671813964843750000, 197297, 28.5, 33400
Rust, n-body, 10,1962.999694824218750000, 835.031066894531250000, 0.002380371093750000, 476.206054687500000000, 197104, 28.8, 33640
