Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Swift, binary-trees, 10,440.400329589843750000, 132.955505371093750000, 0.000610351562500000, 112.572448730468750000, 42292, 26.8, 704836
Swift, binary-trees, 10,444.416198730468750000, 134.001831054687500000, 0.000610351562500000, 113.866210937500000000, 42715, 27.5, 705112
Swift, binary-trees, 10,441.177856445312500000, 132.793334960937500000, 0.000610351562500000, 112.833374023437500000, 42351, 27.2, 705172
Swift, binary-trees, 10,447.282592773437500000, 134.197204589843750000, 0.000549316406250000, 114.546142578125000000, 42987, 27.5, 704888
Swift, binary-trees, 10,445.390380859375000000, 133.588623046875000000, 0.000610351562500000, 113.997985839843750000, 42752, 27.8, 705112
Swift, binary-trees, 10,446.266540527343750000, 133.769531250000000000, 0.000549316406250000, 114.242797851562500000, 42889, 27.8, 704724
Swift, binary-trees, 10,446.527221679687500000, 133.751220703125000000, 0.000610351562500000, 114.022644042968750000, 42845, 28.0, 704848
Swift, binary-trees, 10,446.212158203125000000, 134.135925292968750000, 0.000610351562500000, 113.947265625000000000, 42821, 28.2, 704800
Swift, binary-trees, 10,445.854736328125000000, 133.775939941406250000, 0.000549316406250000, 113.986938476562500000, 42831, 27.0, 705132
Swift, binary-trees, 10,446.109313964843750000, 133.798950195312500000, 0.000610351562500000, 114.131958007812500000, 42862, 28.2, 704836
Swift, binary-trees, 10,444.750915527343750000, 133.785644531250000000, 0.000549316406250000, 113.664001464843750000, 42716, 27.8, 705160
Swift, binary-trees, 10,444.010925292968750000, 133.358581542968750000, 0.000610351562500000, 113.206542968750000000, 42567, 27.2, 705120
Swift, binary-trees, 10,449.550476074218750000, 134.449768066406250000, 0.000610351562500000, 114.802001953125000000, 43144, 27.5, 705192
Swift, binary-trees, 10,448.325439453125000000, 134.465515136718750000, 0.000610351562500000, 114.550354003906250000, 43015, 27.2, 705120
Swift, binary-trees, 10,449.064086914062500000, 134.442871093750000000, 0.000549316406250000, 114.630920410156250000, 43088, 27.8, 704840
Swift, binary-trees, 10,444.481994628906250000, 133.568237304687500000, 0.000610351562500000, 113.493652343750000000, 42667, 27.5, 705132
Swift, binary-trees, 10,443.431213378906250000, 133.456787109375000000, 0.000610351562500000, 113.326110839843750000, 42531, 27.8, 704724
Swift, binary-trees, 10,445.218933105468750000, 133.808166503906250000, 0.000549316406250000, 113.774169921875000000, 42749, 27.5, 704664
Swift, binary-trees, 10,445.077514648437500000, 133.391296386718750000, 0.000549316406250000, 113.584350585937500000, 42715, 27.8, 704800
Swift, binary-trees, 10,445.530822753906250000, 133.173950195312500000, 0.000549316406250000, 113.824462890625000000, 42773, 27.5, 705128
