Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Swift, n-body, 10,90.631347656250000000, 22.895568847656250000, 0.000000000000000000, 21.974487304687500000, 9094, 27.8, 15044
Swift, n-body, 10,90.697204589843750000, 22.858337402343750000, 0.000610351562500000, 22.008422851562500000, 9108, 28.0, 14916
Swift, n-body, 10,90.874572753906250000, 22.885437011718750000, 0.000000000000000000, 22.049682617187500000, 9125, 27.0, 14960
Swift, n-body, 10,90.750854492187500000, 22.856994628906250000, 0.000000000000000000, 22.020385742187500000, 9113, 27.5, 14960
Swift, n-body, 10,90.734375000000000000, 22.838867187500000000, 0.000000000000000000, 22.015502929687500000, 9112, 27.2, 14868
Swift, n-body, 10,90.719421386718750000, 22.890747070312500000, 0.000000000000000000, 22.008178710937500000, 9109, 27.0, 14868
Swift, n-body, 10,90.728820800781250000, 22.844116210937500000, 0.000610351562500000, 22.015625000000000000, 9111, 27.2, 14776
Swift, n-body, 10,91.957702636718750000, 23.173645019531250000, 0.000000000000000000, 22.308532714843750000, 9233, 27.0, 14772
Swift, n-body, 10,90.827880859375000000, 22.874938964843750000, 0.000000000000000000, 22.034851074218750000, 9120, 26.8, 14600
Swift, n-body, 10,90.650085449218750000, 22.853454589843750000, 0.000000000000000000, 21.994384765625000000, 9102, 27.0, 14772
Swift, n-body, 10,92.337707519531250000, 23.338378906250000000, 0.000000000000000000, 22.402954101562500000, 9272, 27.8, 14960
Swift, n-body, 10,90.824890136718750000, 22.924987792968750000, 0.000610351562500000, 22.037292480468750000, 9120, 27.0, 14644
Swift, n-body, 10,90.675720214843750000, 22.858154296875000000, 0.000000000000000000, 22.001403808593750000, 9105, 27.2, 14972
Swift, n-body, 10,90.728576660156250000, 22.900329589843750000, 0.000000000000000000, 22.010620117187500000, 9109, 27.8, 14732
Swift, n-body, 10,90.720642089843750000, 22.867004394531250000, 0.000000000000000000, 22.013366699218750000, 9109, 28.2, 14644
Swift, n-body, 10,90.640136718750000000, 22.870178222656250000, 0.000610351562500000, 21.991271972656250000, 9101, 27.8, 15064
Swift, n-body, 10,90.683105468750000000, 22.898803710937500000, 0.000000000000000000, 22.005859375000000000, 9107, 28.0, 14868
Swift, n-body, 10,90.664428710937500000, 22.884338378906250000, 0.000000000000000000, 21.998535156250000000, 9105, 27.8, 14920
Swift, n-body, 10,90.641235351562500000, 22.877746582031250000, 0.000000000000000000, 21.988891601562500000, 9100, 27.2, 14844
Swift, n-body, 10,90.580139160156250000, 22.864562988281250000, 0.000000000000000000, 21.976745605468750000, 9095, 27.0, 14644
